time,open,high,low,close,volume
1704672000,2044.39,2044.615,2043.865,2044.095,218
1704672300,2044.095,2044.37,2044,2044.11,132
1704672600,2044.11,2045.275,2044.07,2045.13,233
1704672900,2045.13,2045.69,2045.095,2045.355,185
1704673200,2045.355,2045.99,2045.305,2045.67,235
1704673500,2045.67,2046.045,2045.065,2045.99,206
1704673800,2045.99,2046.24,2045.62,2046.1,166
1704674100,2046.1,2046.225,2045.555,2045.58,251
1704674400,2045.58,2046.385,2045.525,2046.135,138
1704674700,2046.135,2046.295,2045.75,2045.875,84
1704675000,2045.875,2046.145,2045.765,2045.93,130
1704675300,2045.93,2046.265,2045.585,2046.045,273
1704675600,2046.045,2046.045,2044.625,2044.85,583
1704675900,2044.85,2046.02,2044.72,2045.915,366
1704676200,2045.915,2046.57,2045.15,2045.46,407
1704676500,2045.46,2046.41,2045.03,2046.41,587
1704676800,2046.41,2046.685,2045.805,2045.975,526
1704677100,2045.975,2045.995,2045.38,2045.88,487
1704677400,2045.88,2045.92,2045.07,2045.315,580
1704677700,2045.315,2045.625,2043.925,2044.785,389
1704678000,2044.785,2044.815,2043.61,2043.805,485
1704678300,2043.805,2044.575,2043.01,2043.415,549
1704678600,2043.415,2044.24,2043.18,2043.375,493
1704678900,2043.375,2043.965,2042.985,2043.88,483
1704679200,2043.88,2043.92,2042.55,2043.22,462
1704679500,2043.22,2043.665,2041.735,2043.55,392
1704679800,2043.55,2043.695,2042.74,2042.985,305
1704680100,2042.985,2043.08,2042.24,2042.605,238
1704680400,2042.605,2043.36,2042.575,2042.98,227
1704680700,2042.98,2043.435,2042.44,2042.54,141
1704681000,2042.54,2043.035,2042.33,2042.99,403
1704681300,2042.99,2043.61,2042.77,2043.235,281
1704681600,2043.235,2043.44,2042.725,2043.085,276
1704681900,2043.085,2043.085,2042.42,2042.77,121
1704682200,2042.77,2043.165,2041.45,2041.935,212
1704682500,2041.935,2042.25,2041.315,2041.38,493
1704682800,2041.38,2041.55,2040.33,2040.57,428
1704683100,2040.57,2040.875,2039.59,2039.625,431
1704683400,2039.625,2040.485,2039.545,2040.43,563
1704683700,2040.43,2041.175,2040.43,2041.155,301
1704684000,2041.155,2041.235,2040.055,2040.08,343
1704684300,2040.08,2040.46,2039.86,2040.095,240
1704684600,2040.095,2040.365,2039.565,2040.365,252
1704684900,2040.365,2040.37,2039.665,2039.775,378
1704685200,2039.775,2039.775,2035.495,2037.575,714
1704685500,2037.575,2038.23,2036.025,2036.05,404
1704685800,2036.05,2036.98,2035.245,2035.685,563
1704686100,2035.685,2036.16,2035.135,2036.16,561
1704686400,2036.16,2037.73,2036.16,2036.335,556
1704686700,2036.335,2037.03,2035.955,2036.065,257
1704687000,2036.065,2036.235,2035.705,2036.1,253
1704687300,2036.1,2037.355,2035.975,2036.805,334
1704687600,2036.805,2036.915,2036.435,2036.815,166
1704687900,2036.815,2037.31,2036.33,2036.945,171
1704688200,2036.945,2036.945,2036.225,2036.275,335
1704688500,2036.275,2036.64,2036.195,2036.435,178
1704688800,2036.435,2036.935,2036,2036.06,183
1704689100,2036.06,2036.235,2035.83,2035.89,233
1704689400,2035.89,2036.39,2035.795,2036.145,271
1704689700,2036.145,2036.46,2035.71,2035.875,176
1704690000,2035.875,2036.225,2035.245,2035.71,265
1704690300,2035.71,2036.05,2034.9,2035.635,509
1704690600,2035.635,2035.665,2034.655,2034.86,264
1704690900,2034.86,2035.915,2034.735,2035.855,226
1704691200,2035.855,2035.9,2035.405,2035.635,266
1704691500,2035.635,2035.695,2034.955,2035.055,290
1704691800,2035.055,2035.28,2030.345,2031.545,873
1704692100,2031.545,2032.845,2027.11,2029.475,1152
1704692400,2029.475,2030.95,2028.975,2029.475,653
1704692700,2029.475,2029.815,2028.685,2029.49,563
1704693000,2029.49,2030.915,2029.35,2030.39,494
1704693300,2030.39,2030.975,2030.24,2030.845,358
1704693600,2030.845,2031.265,2030.425,2031.125,565
1704693900,2031.125,2032.19,2031.11,2032.01,772
1704694200,2032.01,2032.65,2031.355,2032.16,579
1704694500,2032.16,2032.625,2031.79,2032.565,300
1704694800,2032.565,2032.64,2030.56,2031.3,343
1704695100,2031.3,2032.135,2031.215,2032.005,404
1704695400,2032.005,2032.7,2031.355,2032.66,582
1704695700,2032.66,2033.11,2032.08,2032.675,700
1704696000,2032.675,2033.265,2032.565,2032.95,436
1704696300,2032.95,2033.335,2032.66,2032.865,489
1704696600,2032.865,2033.37,2032.55,2033.1,426
1704696900,2033.1,2033.355,2032.675,2033.07,436
1704697200,2033.07,2033.31,2031.73,2031.895,559
1704697500,2031.895,2032.435,2031.52,2031.725,398
1704697800,2031.725,2032.775,2031.41,2032.675,508
1704698100,2032.675,2033.225,2030.785,2031.04,671
1704698400,2031.04,2031.14,2029.685,2030.225,685
1704698700,2030.225,2030.84,2028.66,2030.33,658
1704699000,2030.33,2031.33,2029.48,2029.63,758
1704699300,2029.63,2030.21,2029.435,2029.575,563
1704699600,2029.575,2031.125,2029.05,2030.865,589
1704699900,2030.865,2032.675,2030.865,2032.105,656
1704700200,2032.105,2032.985,2031.925,2032.535,546
1704700500,2032.535,2032.68,2031.475,2031.485,471
1704700800,2031.485,2031.81,2029.695,2030.425,771
1704701100,2030.425,2030.62,2029.32,2029.845,772
1704701400,2029.845,2030.765,2027.885,2028.955,783
1704701700,2028.955,2030.05,2028.73,2029.475,761
1704702000,2029.475,2030.105,2029.33,2029.75,673
1704702300,2029.75,2029.9,2028.6,2029.41,600
1704702600,2029.41,2030.78,2029.14,2030.24,891
1704702900,2030.24,2030.44,2029.105,2029.39,782
1704703200,2029.39,2029.49,2027.79,2028.45,792
1704703500,2028.45,2029.04,2027.98,2028.85,679
1704703800,2028.85,2028.86,2027.55,2027.58,475
1704704100,2027.58,2028.865,2027.37,2028.355,588
1704704400,2028.355,2028.64,2027.875,2028.05,603
1704704700,2028.05,2030.215,2027.71,2029.53,633
1704705000,2029.53,2029.87,2027.915,2028.13,629
1704705300,2028.13,2028.55,2026.575,2027.205,653
1704705600,2027.205,2027.875,2027.025,2027.445,506
1704705900,2027.445,2028.335,2027.24,2028.315,579
1704706200,2028.315,2028.685,2027.46,2028.63,571
1704706500,2028.63,2029.53,2028.395,2029,633
1704706800,2029,2029.69,2028.555,2029.68,561
1704707100,2029.68,2031.82,2029.665,2031.45,796
1704707400,2031.45,2031.45,2030.13,2030.685,623
1704707700,2030.685,2031.175,2029.03,2029.115,874
1704708000,2029.115,2029.44,2028.235,2028.48,522
1704708300,2028.48,2029.44,2028.135,2029.295,421
1704708600,2029.295,2029.5,2028.405,2028.94,488
1704708900,2028.94,2029.58,2028.94,2029.09,455
1704709200,2029.09,2029.09,2027.92,2028.625,490
1704709500,2028.625,2028.655,2027.62,2028.165,537
1704709800,2028.165,2028.575,2027.835,2028.385,456
1704710100,2028.385,2028.385,2027.605,2028.11,491
1704710400,2028.11,2028.3,2027.05,2027.465,584
1704710700,2027.465,2028.055,2027.08,2027.84,345
1704711000,2027.84,2028.11,2027.26,2027.615,469
1704711300,2027.615,2027.93,2027.39,2027.66,190
1704711600,2027.66,2027.96,2027.01,2027.155,328
1704711900,2027.155,2027.175,2025.375,2025.57,663
1704712200,2025.57,2026.185,2025.445,2025.72,431
1704712500,2025.72,2025.925,2016.82,2021.615,1041
1704712800,2021.615,2023.78,2020.48,2020.775,1228
1704713100,2020.775,2022.915,2020.515,2022.555,673
1704713400,2022.555,2023.295,2021.265,2021.28,605
1704713700,2021.28,2021.3,2020.46,2020.73,618
1704714000,2020.73,2020.88,2019.75,2020.385,500
1704714300,2020.385,2020.725,2019.7,2020.455,507
1704714600,2020.455,2021.31,2020.18,2020.985,790
1704714900,2020.985,2021.57,2019.955,2020.1,711
1704715200,2020.1,2020.83,2019.715,2020.39,646
1704715500,2020.39,2020.975,2019.94,2020.505,680
1704715800,2020.505,2021.18,2019.92,2020.73,665
1704716100,2020.73,2020.82,2019.495,2020.31,652
1704716400,2020.31,2020.93,2020.19,2020.895,604
1704716700,2020.895,2020.895,2019.96,2020.125,470
1704717000,2020.125,2020.93,2018.995,2019.975,552
1704717300,2019.975,2020.09,2019.71,2019.75,352
1704717600,2019.75,2020.56,2019.74,2020.055,330
1704717900,2020.055,2021.895,2019.76,2021.71,469
1704718200,2021.71,2022.975,2021.48,2022.88,641
1704718500,2022.88,2024.99,2022.8,2024.71,957
1704718800,2024.71,2025.59,2023.18,2024.96,1478
1704719100,2024.96,2025.26,2021.63,2022.015,975
1704719400,2022.015,2022.335,2020.545,2020.945,873
1704719700,2020.945,2024.465,2020.905,2023.925,955
1704720000,2023.925,2024.17,2020.94,2022.32,1606
1704720300,2022.32,2022.87,2020.515,2022.12,1424
1704720600,2022.12,2023.415,2020.89,2021.06,1479
1704720900,2021.06,2022.29,2019.765,2019.86,1100
1704721200,2019.86,2022.74,2019.775,2022.44,1001
1704721500,2022.44,2022.44,2020.9,2021.405,1039
1704721800,2021.405,2021.72,2018.49,2019.065,1006
1704722100,2019.065,2019.675,2018.665,2019.05,827
1704722400,2019.05,2021.17,2018.965,2020.525,1165
1704722700,2020.525,2021.67,2020.11,2021.465,1172
1704723000,2021.465,2021.925,2020.63,2020.715,791
1704723300,2020.715,2020.915,2019.06,2019.28,709
1704723600,2019.28,2020.47,2018.54,2019.6,879
1704723900,2019.6,2020.48,2019.38,2020.325,784
1704724200,2020.325,2022.27,2019.29,2022.27,1378
1704724500,2022.27,2022.95,2021.2,2022.69,1603
1704724800,2022.69,2024.945,2022.675,2023.84,1685
1704725100,2023.84,2024.4,2022.665,2022.95,1643
1704725400,2022.95,2024.555,2022.945,2023.795,1609
1704725700,2023.795,2027.25,2023.135,2026.465,1442
1704726000,2026.465,2027.7,2025.58,2026.635,1599
1704726300,2026.635,2029.235,2026.465,2028.295,1476
1704726600,2028.295,2030.315,2028.265,2029.125,1011
1704726900,2029.125,2030.44,2028.845,2030.33,980
1704727200,2030.33,2030.41,2028.045,2029.135,1041
1704727500,2029.135,2030.585,2028.61,2030.41,759
1704727800,2030.41,2033.45,2030.41,2031.465,1417
1704728100,2031.465,2031.75,2030.205,2030.45,1150
1704728400,2030.45,2032.79,2030.45,2032.52,850
1704728700,2032.52,2034.555,2032.005,2034.045,1097
1704729000,2034.045,2034.795,2032.885,2033.24,1017
1704729300,2033.24,2034.885,2033.24,2034.27,835
1704729600,2034.27,2036.48,2033.86,2033.895,1104
1704729900,2033.895,2036.595,2033.785,2035.995,953
1704730200,2035.995,2036.93,2035.42,2036.555,918
1704730500,2036.555,2036.905,2035.325,2035.86,716
1704730800,2035.86,2036.62,2033.79,2033.91,912
1704731100,2033.91,2034.435,2033.695,2033.86,864
1704731400,2033.86,2034.385,2032.77,2032.905,694
1704731700,2032.905,2033.21,2031.49,2031.63,726
1704732000,2031.63,2033.455,2031.6,2032.92,760
1704732300,2032.92,2033.075,2031.72,2032.32,422
1704732600,2032.32,2033.39,2031.555,2032.875,728
1704732900,2032.875,2033.66,2032.06,2032.25,767
1704733200,2032.25,2033.16,2031.865,2032.27,862
1704733500,2032.27,2032.545,2030.505,2030.655,699
1704733800,2030.655,2031.51,2030.515,2030.81,665
1704734100,2030.81,2031.81,2030.62,2030.745,633
1704734400,2030.745,2030.805,2029.415,2029.7,578
1704734700,2029.7,2030.34,2029.61,2030.01,606
1704735000,2030.01,2030.01,2028.64,2028.995,527
1704735300,2028.995,2029.725,2028.67,2029.205,686
1704735600,2029.205,2029.35,2027.865,2028.04,586
1704735900,2028.04,2028.055,2027.22,2027.795,792
1704736200,2027.795,2027.99,2027.29,2027.605,471
1704736500,2027.605,2028.18,2027.17,2027.735,421
1704736800,2027.735,2028.1,2027.355,2027.815,576
1704737100,2027.815,2027.815,2026.485,2026.95,375
1704737400,2026.95,2027.495,2026.75,2027.32,426
1704737700,2027.32,2027.515,2026.985,2027.09,582
1704738000,2027.09,2027.385,2026.95,2027.365,300
1704738300,2027.365,2028.075,2026.685,2026.94,668
1704738600,2026.94,2028.24,2026.585,2028.175,598
1704738900,2028.175,2028.375,2027.91,2028.05,500
1704739200,2028.05,2028.155,2027.305,2027.385,450
1704739500,2027.385,2027.73,2027.21,2027.365,446
1704739800,2027.365,2027.615,2027.23,2027.34,303
1704740100,2027.34,2027.5,2026.445,2026.665,388
1704740400,2026.665,2027.375,2026.63,2027.19,527
1704740700,2027.19,2027.39,2026.815,2027.375,409
1704741000,2027.375,2028.355,2027.27,2028.355,433
1704741300,2028.355,2028.36,2027.76,2027.845,470
1704741600,2027.845,2028.4,2027.845,2028.36,159
1704741900,2028.36,2028.55,2028.01,2028.315,216
1704742200,2028.315,2029.025,2028.23,2028.68,314
1704742500,2028.68,2028.8,2028.36,2028.52,249
1704742800,2028.52,2028.63,2028.155,2028.165,252
1704743100,2028.165,2028.5,2027.935,2028.41,245
1704743400,2028.41,2029.135,2028.41,2029.025,161
1704743700,2029.025,2029.65,2028.98,2029.43,271
1704744000,2029.43,2029.86,2028.235,2028.57,126
1704744300,2028.57,2028.57,2027.48,2027.62,165
1704744600,2027.62,2027.73,2026.24,2026.56,291
1704744900,2026.56,2026.69,2026.33,2026.67,495
1704745200,2026.67,2027.045,2026.345,2026.97,256
1704745500,2026.97,2027.355,2026.755,2027.33,127
1704745800,2027.33,2027.445,2026.47,2026.965,165
1704746100,2026.965,2027.59,2026.875,2027.175,131
1704746400,2027.175,2027.325,2026.685,2027.18,125
1704746700,2027.18,2027.38,2026.615,2026.66,202
1704747000,2026.66,2027.135,2026.15,2026.205,405
1704747300,2026.205,2027.44,2026.15,2027.23,925
1704747600,2027.23,2027.94,2027.13,2027.92,191
1704747900,2027.92,2028.195,2027.79,2028.15,80
1704748200,2028.15,2028.15,2027.735,2027.99,83
1704748500,2027.99,2028.725,2027.94,2028.45,103
1704748800,2028.45,2028.755,2028.445,2028.62,139
1704749100,2028.62,2028.72,2028.435,2028.645,72
1704749400,2028.645,2028.755,2028.565,2028.635,268
1704749700,2028.635,2028.655,2028.45,2028.48,79
1704750000,2028.48,2028.485,2027.825,2028.175,117
1704750300,2028.175,2028.275,2027.985,2028.17,86
1704750600,2028.17,2028.55,2028.02,2028.03,121
1704750900,2028.03,2028.095,2027.64,2028.035,77
1704754800,2028.035,2028.54,2028.035,2028.445,56
1704755100,2028.445,2028.725,2028.005,2028.72,79
1704755400,2028.72,2028.72,2028.035,2028.25,72
1704755700,2028.25,2028.715,2028.135,2028.525,100
1704756000,2028.525,2028.73,2028.525,2028.615,59
1704756300,2028.615,2029,2028.615,2028.94,110
1704756600,2028.94,2029.075,2028.61,2028.825,83
1704756900,2028.825,2029.07,2028.705,2028.985,69
1704757200,2028.985,2029.345,2028.89,2029.305,59
1704757500,2029.305,2030.815,2029.155,2030.675,326
1704757800,2030.675,2030.935,2030.49,2030.7,217
1704758100,2030.7,2031.01,2030.64,2030.82,165
1704758400,2030.82,2031.81,2030.775,2031.625,241
1704758700,2031.625,2032.79,2031.375,2032.71,244
1704759000,2032.71,2033.31,2032.52,2033.09,390
1704759300,2033.09,2034.21,2032.67,2034.065,397
1704759600,2034.065,2034.95,2033.235,2033.86,463
1704759900,2033.86,2033.985,2033.36,2033.925,196
1704760200,2033.925,2034.83,2033.895,2034.52,401
1704760500,2034.52,2034.935,2034.18,2034.615,224
1704760800,2034.615,2034.86,2034.22,2034.54,375
1704761100,2034.54,2034.6,2033.885,2033.885,290
1704761400,2033.885,2034.975,2033.885,2034.63,422
1704761700,2034.63,2034.91,2034.28,2034.41,325
1704762000,2034.41,2035.655,2034.145,2035.085,491
1704762300,2035.085,2035.485,2034.54,2035.475,530
1704762600,2035.475,2035.66,2033.49,2033.495,684
1704762900,2033.495,2034.985,2033.3,2033.815,635
1704763200,2033.815,2034.04,2032.63,2032.64,445
1704763500,2032.64,2033.195,2032.165,2032.645,381
1704763800,2032.645,2032.87,2031.97,2032.155,392
1704764100,2032.155,2032.72,2031.285,2031.285,376
1704764400,2031.285,2032.57,2031.27,2032.025,446
1704764700,2032.025,2032.59,2031.665,2031.955,668
1704765000,2031.955,2033.58,2031.895,2033.245,634
1704765300,2033.245,2033.255,2032.095,2032.305,504
1704765600,2032.305,2034.655,2032.21,2034.61,595
1704765900,2034.61,2034.81,2033.43,2033.535,311
1704766200,2033.535,2035.34,2033.42,2035.01,506
1704766500,2035.01,2035.445,2034.52,2034.52,551
1704766800,2034.52,2035.91,2034.52,2035.87,339
1704767100,2035.87,2035.9,2034.965,2035.045,323
1704767400,2035.045,2035.405,2034.235,2034.56,297
1704767700,2034.56,2035.75,2034.55,2035.645,434
1704768000,2035.645,2035.71,2034.845,2035.145,201
1704768300,2035.145,2035.545,2034.45,2034.515,245
1704768600,2034.515,2034.645,2033.395,2033.75,328
1704768900,2033.75,2034.22,2033.565,2034.22,455
1704769200,2034.22,2034.455,2033.96,2034.345,269
1704769500,2034.345,2034.435,2033.105,2033.255,529
1704769800,2033.255,2034.19,2033.11,2033.89,432
1704770100,2033.89,2035.025,2033.86,2034.59,269
1704770400,2034.59,2034.965,2034.23,2034.35,296
1704770700,2034.35,2034.47,2034.02,2034.445,238
1704771000,2034.445,2034.6,2033.635,2033.725,285
1704771300,2033.725,2034.23,2033.45,2034.225,276
1704771600,2034.225,2034.325,2033.71,2033.965,273
1704771900,2033.965,2034.305,2033.665,2033.925,157
1704772200,2033.925,2033.99,2033.34,2033.45,178
1704772500,2033.45,2033.71,2033.17,2033.665,137
1704772800,2033.665,2035.04,2033.47,2034.325,637
1704773100,2034.325,2034.5,2033.675,2034,296
1704773400,2034,2034.03,2033.595,2033.66,164
1704773700,2033.66,2033.875,2032.95,2033.045,266
1704774000,2033.045,2033.76,2032.995,2033.405,302
1704774300,2033.405,2033.57,2032.94,2032.945,204
1704774600,2032.945,2033.57,2032.73,2033.475,150
1704774900,2033.475,2033.725,2033.12,2033.395,222
1704775200,2033.395,2033.865,2033.11,2033.18,227
1704775500,2033.18,2033.18,2032.28,2032.435,191
1704775800,2032.435,2033.24,2032.27,2032.645,321
1704776100,2032.645,2033.395,2032.635,2032.945,184
1704776400,2032.945,2033.14,2032.745,2033.06,68
1704776700,2033.06,2033.06,2032.81,2032.88,74
1704777000,2032.88,2032.99,2032.545,2032.8,183
1704777300,2032.8,2033.225,2032.575,2032.965,271
1704777600,2032.965,2032.965,2032.355,2032.67,289
1704777900,2032.67,2032.72,2031.78,2031.9,265
1704778200,2031.9,2032.185,2031.42,2032.09,288
1704778500,2032.09,2032.74,2032.09,2032.405,246
1704778800,2032.405,2032.58,2030.415,2031.56,470
1704779100,2031.56,2032.37,2031.365,2031.745,278
1704779400,2031.745,2033.475,2031.59,2032.815,512
1704779700,2032.815,2033.6,2032.58,2032.855,485
1704780000,2032.855,2033.315,2031.79,2031.79,260
1704780300,2031.79,2033.07,2031.275,2032.805,185
1704780600,2032.805,2032.915,2031.48,2031.595,358
1704780900,2031.595,2032.44,2031.595,2032.085,409
1704781200,2032.085,2032.725,2031.815,2032.665,434
1704781500,2032.665,2033.06,2032.33,2032.81,486
1704781800,2032.81,2032.935,2032.2,2032.87,411
1704782100,2032.87,2033.48,2031.65,2033.48,346
1704782400,2033.48,2035.295,2033.385,2034.495,822
1704782700,2034.495,2034.805,2032.445,2032.74,599
1704783000,2032.74,2033.35,2031.885,2032.48,335
1704783300,2032.48,2033.755,2032.445,2033.265,428
1704783600,2033.265,2033.54,2032.21,2033.08,480
1704783900,2033.08,2035.36,2033.03,2035.205,531
1704784200,2035.205,2035.225,2033.56,2033.77,407
1704784500,2033.77,2035.47,2033.355,2035.165,500
1704784800,2035.165,2035.886,2034.42,2035.886,388
1704785100,2035.886,2037.04,2035.886,2036.515,715
1704785400,2036.515,2036.75,2034.79,2035.94,494
1704785700,2035.94,2036.135,2035.19,2035.58,455
1704786000,2035.58,2037.305,2035.425,2036.1,643
1704786300,2036.1,2036.14,2035.12,2035.99,362
1704786600,2035.99,2036.4,2035.36,2036.285,429
1704786900,2036.285,2036.95,2035.93,2036.08,546
1704787200,2036.08,2038.29,2035.19,2035.41,1393
1704787500,2035.41,2036.08,2033.445,2033.595,1084
1704787800,2033.595,2033.6,2032.515,2032.53,970
1704788100,2032.53,2032.68,2031.6,2032.28,854
1704788400,2032.28,2033.175,2032.19,2032.42,844
1704788700,2032.42,2032.62,2031.35,2031.865,756
1704789000,2031.865,2033.815,2031.74,2033.715,748
