time,open,high,low,close,volume
1142812800,554.05,555.95,553.65,555.45,42
1142816400,555.45,556.05,555.45,555.85,46
1142820000,555.85,555.85,555.65,555.65,28
1142823600,555.65,555.85,555.65,555.75,12
1142827200,555.75,555.75,555.15,555.45,47
1142830800,555.45,555.95,555.35,555.95,59
1142834400,555.95,556.4,555.95,556.2,15
1142838000,556.2,556.4,555.85,556.15,27
1142841600,556.15,556.25,555.45,555.45,28
1142845200,555.45,555.45,554.05,554.05,19
1142848800,554.05,555.45,553.85,555.25,24
1142852400,555.25,555.25,553.75,553.75,16
1142856000,553.75,553.95,553.55,553.75,16
1142859600,553.75,554.75,550.05,551.25,548
1142863200,551.25,555.65,551.15,555.55,632
1142866800,555.55,556.45,553.55,554.45,475
1142870400,554.45,556.5,553.85,556.05,332
1142874000,556.05,556.3,553.9,554.2,335
1142877600,554.2,555.9,554.1,555.6,235
1142881200,555.6,555.6,553.4,554,33
1142884800,554,554.7,554,554.4,26
1142888400,554.4,555,554.1,555,26
1142892000,555,555.5,554.1,554.1,16
1142895600,554.1,555.2,554.1,554.35,11
1142899200,554.35,554.35,553.6,554.1,32
1142902800,554.1,554.4,553.9,553.9,9
1142906400,553.9,554.2,553.3,553.4,18
1142910000,553.4,553.4,553.3,553.3,10
1142913600,553.3,553.8,553.3,553.8,16
1142917200,553.8,553.8,553.7,553.8,5
1142920800,553.8,553.9,553.65,553.75,19
1142924400,553.75,553.95,553.45,553.45,131
1142928000,553.45,553.55,550.65,552.75,251
1142931600,552.75,554.05,551.85,553.85,249
1142935200,553.85,554.25,553.05,553.15,214
1142938800,553.15,553.15,552.35,552.35,205
1142942400,552.35,553.45,552.25,553.15,224
1142946000,553.15,553.15,548.55,549.55,504
1142949600,549.55,551.55,548.15,548.45,636
1142953200,548.45,551.35,547.05,549.85,584
1142956800,549.85,555.15,549.55,553.1,475
1142960400,553.1,555.1,550.9,551,504
1142964000,551,553.2,549.5,552.7,326
1142967600,552.7,552.7,552,552.4,44
1142971200,552.4,552.4,551.3,551.3,32
1142974800,551.3,552.2,551.3,552.2,31
1142978400,552.2,552.4,552.1,552.3,7
1142982000,552.3,552.6,552.3,552.5,8
1142985600,552.5,553.55,552.2,552.95,42
1142989200,552.95,553.55,552.55,552.55,28
1142992800,552.55,552.95,552.45,552.55,11
1142996400,552.55,552.95,552.45,552.95,12
1143000000,552.95,553.55,552.95,553.45,16
1143003600,553.45,553.55,552.85,552.85,25
1143007200,552.85,552.95,552.75,552.85,8
1143010800,552.85,553.15,552.35,552.45,132
