time,open,high,low,close,volume
1627344000,92.605,92.616,92.558,92.577,0
1627347600,92.578,92.622,92.573,92.611,0
1627351200,92.611,92.621,92.59,92.593,0
1627354800,92.593,92.62,92.585,92.59,0
1627358400,92.59,92.619,92.581,92.609,0
1627362000,92.609,92.636,92.608,92.625,0
1627365600,92.624,92.699,92.624,92.698,0
1627369200,92.697,92.797,92.697,92.742,0
1627372800,92.743,92.836,92.743,92.787,0
1627376400,92.786,92.802,92.724,92.761,0
1627380000,92.761,92.792,92.703,92.707,0
1627383600,92.706,92.736,92.644,92.648,0
1627387200,92.648,92.648,92.493,92.494,0
1627390800,92.495,92.622,92.456,92.552,0
1627394400,92.551,92.601,92.404,92.414,0
1627398000,92.414,92.422,92.346,92.381,0
1627401600,92.381,92.396,92.345,92.35,0
1627405200,92.348,92.366,92.317,92.364,0
1627408800,92.364,92.432,92.352,92.432,0
1627412400,92.433,92.468,92.432,92.443,0
1627416000,92.443,92.498,92.438,92.489,0
1627419600,92.488,92.488,92.467,92.474,0
1627423200,92.473,92.476,92.47,92.473,0
1627426800,92.458,92.463,92.451,92.462,0
1627430400,92.462,92.517,92.441,92.507,0
1627434000,92.507,92.507,92.444,92.452,0
1627437600,92.452,92.481,92.434,92.434,0
1627441200,92.433,92.462,92.417,92.46,0
1627444800,92.461,92.468,92.444,92.465,0
1627448400,92.465,92.506,92.465,92.479,0
1627452000,92.479,92.563,92.46,92.554,0
1627455600,92.554,92.561,92.484,92.551,0
1627459200,92.55,92.584,92.401,92.403,0
1627462800,92.405,92.504,92.404,92.497,0
1627466400,92.497,92.571,92.469,92.551,0
1627470000,92.552,92.601,92.52,92.528,0
1627473600,92.527,92.656,92.525,92.621,0
1627477200,92.621,92.723,92.578,92.704,0
1627480800,92.704,92.713,92.563,92.598,0
1627484400,92.597,92.6,92.512,92.517,0
1627488000,92.517,92.532,92.477,92.482,0
1627491600,92.483,92.523,92.463,92.516,0
1627495200,92.516,92.749,92.287,92.322,0
1627498800,92.32,92.361,92.248,92.254,0
1627502400,92.254,92.286,92.235,92.28,0
1627506000,92.28,92.291,92.269,92.277,0
1627509600,92.277,92.278,92.267,92.269,0
1627513200,92.265,92.266,92.253,92.259,0
1627516800,92.259,92.289,92.247,92.255,0
1627520400,92.256,92.266,92.216,92.218,0
1627524000,92.217,92.238,92.167,92.182,0
1627527600,92.183,92.199,92.16,92.168,0
1627531200,92.168,92.174,92.139,92.154,0
1627534800,92.154,92.162,92.114,92.147,0
1627538400,92.146,92.186,92.099,92.178,0
1627542000,92.178,92.179,92.068,92.085,0
1627545600,92.085,92.107,91.981,92.02,0
1627549200,92.02,92.074,92.014,92.04,0
1627552800,92.041,92.055,92.002,92.038,0
1627556400,92.039,92.06,92.016,92.043,0
1627560000,92.042,92.045,91.939,91.969,0
1627563600,91.969,92.032,91.948,91.957,0
1627567200,91.956,92.014,91.9,91.907,0
1627570800,91.907,91.937,91.872,91.91,0
1627574400,91.909,91.959,91.908,91.916,0
1627578000,91.916,91.945,91.889,91.893,0
1627581600,91.893,91.906,91.864,91.864,0
1627585200,91.863,91.896,91.856,91.892,0
1627588800,91.892,91.919,91.886,91.908,0
1627592400,91.907,91.913,91.885,91.896,0
1627596000,91.896,91.9,91.879,91.879,0
1627599600,91.851,91.884,91.851,91.881,0
1627603200,91.881,91.956,91.871,91.956,0
1627606800,91.956,91.976,91.943,91.949,0
1627610400,91.949,91.967,91.93,91.95,0
1627614000,91.95,91.975,91.938,91.972,0
1627617600,91.971,91.974,91.947,91.965,0
1627621200,91.965,92.001,91.961,91.984,0
1627624800,91.984,92.006,91.941,91.941,0
1627628400,91.942,91.945,91.858,91.862,0
1627632000,91.861,91.882,91.784,91.784,0
1627635600,91.785,91.866,91.782,91.856,0
1627639200,91.856,91.936,91.822,91.843,0
1627642800,91.844,91.957,91.826,91.952,0
1627646400,91.95,91.995,91.863,91.984,0
1627650000,91.984,92.008,91.914,91.966,0
1627653600,91.966,92.19,91.941,92.146,0
1627657200,92.147,92.17,92.093,92.103,0
1627660800,92.102,92.153,92.102,92.153,0
1627664400,92.153,92.18,92.135,92.149,0
1627668000,92.148,92.201,92.141,92.174,0
1627671600,92.173,92.182,92.121,92.134,0
1627675200,92.135,92.144,92.037,92.09,0
1627851600,92.09,92.09,92.09,92.09,0
1627855200,92.109,92.132,92.083,92.096,0
1627858800,92.096,92.136,92.095,92.11,0
1627862400,92.108,92.131,92.075,92.087,0
1627866000,92.087,92.156,92.079,92.136,0
1627869600,92.138,92.171,92.087,92.089,0
1627873200,92.089,92.102,92.074,92.082,0
1627876800,92.082,92.091,92.069,92.091,0
1627880400,92.091,92.113,92.05,92.074,0
1627884000,92.073,92.113,92.005,92.011,0
1627887600,92.01,92.032,91.972,92.013,0
1627891200,92.014,92.045,91.964,91.999,0
1627894800,91.998,92.018,91.921,91.922,0
1627898400,91.922,91.98,91.912,91.957,0
1627902000,91.957,92.022,91.946,91.957,0
1627905600,91.957,92.065,91.956,92.061,0
1627909200,92.062,92.062,91.945,91.984,0
1627912800,91.983,92.019,91.939,91.998,0
1627916400,91.998,92.047,91.958,92.046,0
1627920000,92.046,92.081,92.043,92.058,0
1627923600,92.057,92.088,92.054,92.079,0
1627927200,92.079,92.087,92.048,92.048,0
1627930800,92.047,92.107,92.039,92.069,0
1627934400,92.068,92.092,92.062,92.072,0
1627938000,92.072,92.084,92.057,92.067,0
1627941600,92.068,92.073,92.064,92.068,0
1627945200,92.056,92.059,92.042,92.045,0
1627948800,92.045,92.06,92.007,92.052,0
1627952400,92.052,92.084,92.024,92.033,0
1627956000,92.033,92.067,92.02,92.063,0
1627959600,92.063,92.072,92.035,92.047,0
1627963200,92.047,92.047,91.988,92.01,0
1627966800,92.01,92.062,92,92.045,0
1627970400,92.045,92.054,92.01,92.041,0
1627974000,92.04,92.04,91.962,92.002,0
1627977600,92.001,92.026,91.953,91.967,0
1627981200,91.968,91.997,91.951,91.963,0
1627984800,91.963,91.98,91.91,91.928,0
1627988400,91.928,91.951,91.894,91.904,0
1627992000,91.903,91.993,91.903,91.947,0
1627995600,91.947,92.115,91.941,92.077,0
1627999200,92.078,92.131,92.027,92.124,0
1628002800,92.123,92.155,92.09,92.118,0
1628006400,92.118,92.122,92.052,92.056,0
1628010000,92.055,92.106,92.045,92.094,0
1628013600,92.093,92.104,92.063,92.081,0
1628017200,92.082,92.082,92.049,92.053,0
1628020800,92.053,92.082,92.052,92.061,0
1628024400,92.062,92.084,92.06,92.074,0
1628028000,92.074,92.078,92.071,92.071,0
1628031600,92.039,92.039,92.029,92.034,0
1628035200,92.033,92.103,92.032,92.094,0
1628038800,92.094,92.094,92.02,92.024,0
1628042400,92.024,92.052,92.001,92.002,0
1628046000,92.002,92.006,91.984,92.003,0
1628049600,92.003,92.031,91.998,92.02,0
1628053200,92.021,92.042,91.994,92.019,0
1628056800,92.018,92.04,91.96,91.964,0
1628060400,91.964,92.023,91.957,91.976,0
1628064000,91.977,92.195,91.975,92.135,0
1628067600,92.135,92.152,92.086,92.086,0
1628071200,92.086,92.118,92.078,92.107,0
1628074800,92.107,92.121,92.051,92.065,0
1628078400,92.065,92.082,91.89,91.89,0
1628082000,91.889,91.906,91.817,91.865,0
1628085600,91.866,92.279,91.866,92.226,0
1628089200,92.226,92.308,92.211,92.23,0
1628092800,92.229,92.288,92.229,92.271,0
1628096400,92.27,92.282,92.242,92.258,0
1628100000,92.258,92.291,92.231,92.27,0
1628103600,92.27,92.284,92.252,92.275,0
1628107200,92.275,92.286,92.268,92.274,0
1628110800,92.274,92.287,92.273,92.281,0
1628114400,92.281,92.281,92.275,92.281,0
1628118000,92.277,92.285,92.274,92.282,0
1628121600,92.282,92.325,92.267,92.325,0
1628125200,92.325,92.325,92.281,92.303,0
1628128800,92.303,92.329,92.291,92.304,0
1628132400,92.304,92.311,92.29,92.307,0
1628136000,92.307,92.307,92.289,92.293,0
1628139600,92.293,92.302,92.274,92.286,0
1628143200,92.286,92.351,92.275,92.281,0
1628146800,92.281,92.283,92.179,92.182,0
1628150400,92.182,92.303,92.178,92.252,0
1628154000,92.252,92.291,92.202,92.274,0
