time,open,high,low,close,volume
1452502800,98.612,98.628,98.55,98.603,0
1452506400,98.61,98.614,98.487,98.487,0
1452510000,98.497,98.547,98.446,98.504,0
1452513600,98.496,98.537,98.432,98.496,0
1452517200,98.493,98.613,98.463,98.605,0
1452520800,98.604,98.725,98.495,98.5,0
1452524400,98.504,98.831,98.489,98.828,0
1452528000,98.835,98.845,98.552,98.676,0
1452531600,98.681,98.681,98.575,98.673,0
1452535200,98.665,98.685,98.547,98.609,0
1452538800,98.606,98.781,98.58,98.725,0
1452542400,98.724,98.895,98.676,98.878,0
1452546000,98.882,98.882,98.821,98.821,0
1452549600,98.839,98.86,98.792,98.813,0
1452553200,98.816,98.835,98.806,98.816,0
1452556800,98.797,98.892,98.778,98.876,0
1452560400,98.877,98.949,98.809,98.869,0
1452564000,98.867,98.867,98.702,98.718,0
1452567600,98.719,98.763,98.672,98.699,0
1452571200,98.701,98.724,98.675,98.697,0
1452574800,98.696,98.757,98.685,98.753,0
1452578400,98.749,98.759,98.628,98.682,0
1452582000,98.679,98.696,98.573,98.643,0
1452585600,98.64,98.764,98.589,98.683,0
1452589200,98.685,98.901,98.653,98.889,0
1452592800,98.891,99.004,98.889,98.982,0
1452596400,98.981,99.018,98.91,98.932,0
1452600000,98.933,99.079,98.904,99.021,0
1452603600,99.019,99.067,98.91,98.935,0
1452607200,98.936,99.039,98.893,99.02,0
1452610800,99.023,99.264,98.978,99.246,0
1452614400,99.238,99.276,99.087,99.147,0
1452618000,99.14,99.224,99.078,99.091,0
1452621600,99.09,99.155,98.963,99.001,0
1452625200,98.999,98.999,98.817,98.974,0
1452628800,98.976,99.036,98.944,98.965,0
1452632400,98.968,99.001,98.918,98.921,0
1452636000,98.943,99.033,98.912,99.033,0
1452639600,99.031,99.04,99.002,99.019,0
1452643200,99.032,99.124,99.032,99.067,0
1452646800,99.066,99.188,99.061,99.152,0
1452650400,99.149,99.231,99.149,99.156,0
1452654000,99.155,99.182,99.125,99.178,0
1452657600,99.18,99.193,99.131,99.156,0
1452661200,99.158,99.17,99.112,99.152,0
1452664800,99.155,99.163,99.101,99.13,0
1452668400,99.133,99.255,99.105,99.243,0
1452672000,99.239,99.293,99.133,99.171,0
1452675600,99.163,99.268,99.136,99.191,0
1452679200,99.194,99.292,99.194,99.275,0
1452682800,99.278,99.278,99.163,99.241,0
1452686400,99.238,99.333,99.222,99.273,0
1452690000,99.268,99.279,99.169,99.178,0
1452693600,99.183,99.219,99.001,99.068,0
1452697200,99.07,99.116,98.882,99.116,0
1452700800,99.111,99.111,98.97,98.973,0
1452704400,98.979,99.106,98.977,99.059,0
1452708000,99.056,99.128,99,99.047,0
1452711600,99.049,99.082,98.891,98.933,0
1452715200,98.926,98.977,98.886,98.892,0
1452718800,98.881,98.986,98.861,98.944,0
1452722400,98.94,98.955,98.882,98.885,0
1452726000,98.895,98.903,98.882,98.886,0
1452729600,98.818,98.923,98.804,98.885,0
1452733200,98.882,98.93,98.829,98.927,0
1452736800,98.926,98.926,98.85,98.895,0
1452740400,98.893,98.957,98.882,98.901,0
1452744000,98.904,98.919,98.815,98.854,0
1452747600,98.855,98.964,98.842,98.94,0
1452751200,98.946,99.021,98.935,99.021,0
1452754800,99.018,99.133,98.987,99.097,0
1452758400,99.098,99.118,98.72,98.765,0
1452762000,98.755,98.876,98.62,98.876,0
1452765600,98.869,98.892,98.717,98.734,0
1452769200,98.743,98.753,98.59,98.676,0
1452772800,98.672,98.949,98.629,98.926,0
1452776400,98.929,98.959,98.814,98.858,0
1452780000,98.861,98.944,98.698,98.728,0
1452783600,98.732,99.247,98.722,99.234,0
1452787200,99.217,99.257,99.084,99.084,0
1452790800,99.088,99.157,99.042,99.093,0
1452794400,99.082,99.193,99.08,99.115,0
1452798000,99.109,99.146,99.073,99.089,0
1452801600,99.09,99.131,99.05,99.063,0
1452805200,99.06,99.111,99.033,99.061,0
1452808800,99.059,99.086,99.001,99.08,0
1452812400,99.081,99.081,99.054,99.07,0
1452816000,99.099,99.114,99.056,99.059,0
1452819600,99.052,99.065,98.966,99.018,0
1452823200,99.015,99.037,98.958,98.958,0
1452826800,98.963,99.009,98.937,98.961,0
1452830400,98.96,98.985,98.892,98.937,0
1452834000,98.94,98.994,98.904,98.981,0
1452837600,98.986,99.021,98.915,98.977,0
1452841200,98.98,99.121,98.953,99.081,0
1452844800,99.086,99.12,98.906,98.919,0
1452848400,98.929,99.009,98.838,98.905,0
1452852000,98.907,98.967,98.847,98.88,0
1452855600,98.872,99.013,98.846,98.922,0
1452859200,98.926,98.943,98.85,98.902,0
1452862800,98.897,98.897,98.378,98.561,0
1452866400,98.554,98.71,98.452,98.53,0
1452870000,98.521,98.704,98.491,98.64,0
1452873600,98.65,98.723,98.552,98.58,0
1452877200,98.586,98.692,98.448,98.662,0
1452880800,98.657,98.706,98.588,98.691,0
1452884400,98.695,98.967,98.655,98.956,0
1452888000,98.961,98.961,98.828,98.909,0
1452891600,98.901,98.971,98.893,98.923,0
1452895200,98.922,98.952,98.919,98.945,0
1453161600,99.131,99.184,99.126,99.181,0
1453165200,99.18,99.188,99.105,99.152,0
1453168800,99.149,99.193,99.034,99.071,0
1453172400,99.07,99.145,99.025,99.117,0
1453176000,99.119,99.161,99.113,99.125,0
1453179600,99.126,99.182,99.107,99.143,0
1453183200,99.145,99.202,99.121,99.19,0
1453186800,99.186,99.26,99.169,99.24,0
1453190400,99.234,99.234,99.109,99.122,0
1453194000,99.098,99.182,99.05,99.153,0
1453197600,99.151,99.206,99.093,99.165,0
1453201200,99.172,99.246,99.151,99.233,0
1453204800,99.23,99.262,99.167,99.235,0
1453208400,99.232,99.31,99.223,99.279,0
1453212000,99.28,99.292,99.058,99.176,0
1453215600,99.183,99.219,99.116,99.171,0
1453219200,99.17,99.18,99.081,99.102,0
1453222800,99.098,99.128,98.907,98.932,0
1453226400,98.93,98.955,98.885,98.942,0
1453230000,98.944,98.998,98.864,98.991,0
1453233600,98.99,99.105,98.981,99.067,0
1453237200,99.073,99.135,99.04,99.112,0
1453240800,99.122,99.155,99.07,99.07,0
1453244400,99.075,99.098,99.072,99.078,0
1453248000,99.019,99.047,98.983,99.013,0
1453251600,99.017,99.025,98.938,99.006,0
1453255200,98.993,99.036,98.951,98.982,0
1453258800,98.98,98.98,98.845,98.881,0
1453262400,98.876,98.882,98.809,98.814,0
1453266000,98.816,98.841,98.758,98.831,0
1453269600,98.839,98.839,98.731,98.796,0
1453273200,98.793,98.899,98.747,98.881,0
1453276800,98.89,98.89,98.626,98.73,0
1453280400,98.729,99.011,98.695,98.953,0
1453284000,98.95,98.953,98.85,98.912,0
1453287600,98.905,99.074,98.905,99.044,0
1453291200,99.041,99.124,99.004,99.025,0
1453294800,99.018,99.135,98.957,98.98,0
1453298400,98.983,99.085,98.9,98.999,0
1453302000,98.972,99.077,98.835,99.064,0
1453305600,99.056,99.108,98.976,99.007,0
1453309200,99.011,99.016,98.837,98.904,0
