time,open,high,low,close,volume
1310684400,75.184,75.184,74.967,75.12,0
1310688000,75.117,75.172,75.061,75.118,0
1310691600,75.114,75.137,75.012,75.047,0
1310695200,75.048,75.094,75.033,75.072,0
1310698800,75.07,75.144,75.07,75.122,0
1310702400,75.119,75.152,75.105,75.11,0
1310706000,75.106,75.147,75.097,75.143,0
1310709600,75.136,75.292,75.132,75.235,0
1310713200,75.237,75.419,75.191,75.365,0
1310716800,75.357,75.409,75.251,75.292,0
1310720400,75.289,75.32,75.111,75.132,0
1310724000,75.143,75.206,75.121,75.197,0
1310727600,75.199,75.235,75.149,75.178,0
1310731200,75.174,75.387,75.119,75.338,0
1310734800,75.331,75.381,75.236,75.32,0
1310738400,75.319,75.39,75.241,75.259,0
1310742000,75.257,75.292,75.067,75.111,0
1310745600,75.116,75.195,74.992,75.145,0
1310749200,75.139,75.177,75.107,75.144,0
1310752800,75.142,75.236,75.139,75.209,0
1310756400,75.203,75.223,75.133,75.145,0
1310760000,75.142,75.164,75.091,75.119,0
1310763600,75.112,75.132,75.109,75.126,0
1310936400,75.269,75.285,75.172,75.213,0
1310940000,75.222,75.235,75.181,75.233,0
1310943600,75.237,75.252,75.188,75.21,0
1310947200,75.218,75.442,75.215,75.426,0
1310950800,75.429,75.499,75.416,75.48,0
1310954400,75.482,75.493,75.416,75.437,0
1310958000,75.438,75.477,75.411,75.447,0
1310961600,75.451,75.472,75.393,75.401,0
1310965200,75.402,75.439,75.386,75.411,0
1310968800,75.409,75.613,75.406,75.552,0
1310972400,75.555,75.651,75.463,75.539,0
1310976000,75.542,75.618,75.495,75.537,0
1310979600,75.541,75.638,75.465,75.553,0
1310983200,75.562,75.669,75.562,75.641,0
1310986800,75.639,75.66,75.511,75.528,0
1310990400,75.532,75.6,75.522,75.566,0
1310994000,75.56,75.561,75.401,75.489,0
1310997600,75.49,75.752,75.487,75.71,0
1311001200,75.713,75.713,75.611,75.655,0
1311004800,75.652,75.661,75.555,75.572,0
1311008400,75.564,75.614,75.496,75.501,0
1311012000,75.508,75.528,75.478,75.483,0
1311015600,75.479,75.482,75.342,75.37,0
1311019200,75.371,75.391,75.331,75.37,0
1311022800,75.368,75.423,75.347,75.408,0
1311026400,75.411,75.427,75.394,75.425,0
1311030000,75.309,75.312,75.276,75.305,0
1311033600,75.309,75.356,75.283,75.309,0
1311037200,75.299,75.391,75.281,75.348,0
1311040800,75.35,75.354,75.272,75.313,0
1311044400,75.309,75.38,75.294,75.325,0
1311048000,75.324,75.37,75.309,75.342,0
1311051600,75.343,75.477,75.342,75.465,0
1311055200,75.462,75.501,75.326,75.359,0
1311058800,75.361,75.361,75.128,75.202,0
1311062400,75.205,75.206,75.004,75.039,0
1311066000,75.026,75.129,74.933,75.109,0
1311069600,75.122,75.122,75.015,75.075,0
1311073200,75.078,75.121,75.039,75.063,0
1311076800,75.066,75.177,74.997,75.141,0
1311080400,75.14,75.202,75.019,75.036,0
1311084000,75.035,75.05,74.901,74.969,0
1311087600,74.966,75.114,74.942,75.081,0
1311091200,75.093,75.132,75.039,75.08,0
1311094800,75.079,75.143,74.996,75.026,0
1311098400,75.027,75.325,75.027,75.221,0
1311102000,75.222,75.289,75.195,75.2,0
1311105600,75.209,75.216,75.153,75.153,0
1311109200,75.151,75.166,75.119,75.145,0
1311112800,75.144,75.155,75.13,75.142,0
1311116400,75.114,75.135,75.096,75.101,0
1311120000,75.1,75.214,75.079,75.138,0
1311123600,75.14,75.167,75.084,75.145,0
1311127200,75.144,75.154,75.096,75.141,0
1311130800,75.147,75.165,75.116,75.152,0
1311134400,75.153,75.172,75.133,75.154,0
1311138000,75.157,75.23,75.156,75.19,0
1311141600,75.191,75.217,74.984,74.984,0
1311145200,74.99,75.106,74.988,75.05,0
1311148800,75.056,75.058,74.928,74.988,0
1311152400,74.994,75.069,74.874,74.912,0
1311156000,74.906,74.924,74.769,74.822,0
1311159600,74.825,74.871,74.8,74.868,0
1311163200,74.863,74.914,74.809,74.88,0
1311166800,74.881,75.024,74.861,74.994,0
1311170400,74.993,75.03,74.893,74.908,0
1311174000,74.91,74.937,74.809,74.937,0
1311177600,74.94,74.94,74.872,74.876,0
1311181200,74.879,74.89,74.824,74.832,0
1311184800,74.83,74.839,74.755,74.792,0
1311188400,74.8,74.813,74.766,74.798,0
1311192000,74.8,74.864,74.79,74.831,0
1311195600,74.834,74.847,74.792,74.821,0
1311199200,74.824,74.871,74.715,74.723,0
1311202800,74.687,74.692,74.631,74.671,0
1311206400,74.675,74.728,74.663,74.706,0
1311210000,74.703,74.706,74.636,74.692,0
1311213600,74.697,74.762,74.677,74.727,0
1311217200,74.725,74.757,74.657,74.684,0
1311220800,74.68,74.698,74.639,74.646,0
1311224400,74.647,74.701,74.627,74.656,0
1311228000,74.664,74.664,74.553,74.635,0
1311231600,74.638,74.749,74.532,74.73,0
1311235200,74.735,74.817,74.679,74.806,0
1311238800,74.803,75.095,74.789,75.015,0
1311242400,75.025,75.098,74.95,74.959,0
1311246000,74.962,74.978,74.87,74.871,0
1311249600,74.875,74.904,74.365,74.425,0
1311253200,74.424,74.464,74.319,74.362,0
1311256800,74.352,74.38,74.06,74.142,0
1311260400,74.143,74.2,74.085,74.159,0
1311264000,74.162,74.207,74.101,74.153,0
1311267600,74.146,74.189,74.126,74.13,0
1311271200,74.129,74.18,73.998,74.015,0
1311274800,74.021,74.164,74.015,74.135,0
1311278400,74.136,74.136,73.904,73.932,0
1311282000,73.937,74.015,73.889,74.003,0
1311285600,73.998,74.029,73.989,74.017,0
1311289200,74.057,74.073,74.019,74.041,0
1311292800,74.038,74.122,74.036,74.101,0
1311296400,74.107,74.138,74.084,74.122,0
1311300000,74.123,74.132,74.087,74.102,0
1311303600,74.103,74.131,74.094,74.108,0
1311307200,74.107,74.142,74.086,74.088,0
1311310800,74.092,74.124,74.022,74.039,0
1311314400,74.037,74.112,74.006,74.063,0
1311318000,74.062,74.129,73.959,74.122,0
1311321600,74.123,74.168,74.034,74.059,0
1311325200,74.064,74.127,74.037,74.04,0
1311328800,74.042,74.099,73.972,74.06,0
1311332400,74.064,74.186,74.04,74.153,0
1311336000,74.155,74.239,74.111,74.221,0
1311339600,74.22,74.371,74.186,74.344,0
1311343200,74.347,74.381,74.2,74.2,0
1311346800,74.201,74.235,74.159,74.206,0
1311350400,74.208,74.277,74.201,74.213,0
1311354000,74.212,74.247,74.176,74.184,0
1311357600,74.183,74.222,74.176,74.201,0
1311361200,74.206,74.234,74.187,74.203,0
1311364800,74.202,74.257,74.198,74.237,0
1311368400,74.241,74.248,74.201,74.245,0
1311541200,74.089,74.123,73.971,74.027,0
1311544800,74.026,74.193,74.026,74.118,0
1311548400,74.117,74.211,74.108,74.207,0
1311552000,74.204,74.248,74.129,74.159,0
1311555600,74.16,74.163,74.093,74.102,0
1311559200,74.101,74.158,74.091,74.149,0
1311562800,74.148,74.2,74.147,74.164,0
1311566400,74.165,74.212,74.141,74.194,0
1311570000,74.196,74.305,74.187,74.197,0
1311573600,74.21,74.232,74.117,74.206,0
1311577200,74.196,74.306,74.19,74.205,0
1311580800,74.196,74.205,74.08,74.154,0
1311584400,74.147,74.188,73.989,73.998,0
1311588000,73.989,74.132,73.987,74.117,0
1311591600,74.127,74.172,74.087,74.103,0
1311595200,74.093,74.142,74.041,74.092,0
1311598800,74.086,74.22,74.064,74.201,0
1311602400,74.199,74.258,74.156,74.241,0
1311606000,74.243,74.243,74.112,74.169,0
1311609600,74.165,74.207,74.084,74.107,0
1311613200,74.104,74.118,74.057,74.057,0
1311616800,74.065,74.079,74.004,74.064,0
1311620400,74.061,74.131,74.061,74.129,0
1311624000,74.132,74.136,74.103,74.114,0
1311627600,74.12,74.135,74.064,74.107,0
1311631200,74.109,74.116,74.088,74.112,0
1311634800,74.124,74.147,74.109,74.125,0
1311638400,74.123,74.199,74.054,74.057,0
1311642000,74.058,74.067,73.846,73.883,0
1311645600,73.885,73.959,73.709,73.734,0
1311649200,73.736,73.756,73.672,73.704,0
1311652800,73.699,73.741,73.677,73.695,0
1311656400,73.696,73.698,73.575,73.608,0
1311660000,73.611,73.702,73.533,73.553,0
1311663600,73.573,73.667,73.526,73.609,0
1311667200,73.617,73.675,73.574,73.67,0
1311670800,73.672,73.731,73.651,73.674,0
1311674400,73.672,73.686,73.626,73.641,0
1311678000,73.637,73.669,73.593,73.646,0
1311681600,73.644,73.668,73.585,73.656,0
1311685200,73.655,73.744,73.655,73.699,0
1311688800,73.705,73.746,73.577,73.642,0
1311692400,73.64,73.64,73.55,73.612,0
1311696000,73.615,73.615,73.552,73.599,0
1311699600,73.604,73.621,73.487,73.491,0
1311703200,73.495,73.509,73.446,73.474,0
1311706800,73.476,73.527,73.466,73.499,0
1311710400,73.496,73.536,73.494,73.523,0
1311714000,73.526,73.533,73.474,73.505,0
1311717600,73.514,73.541,73.505,73.529,0
1311721200,73.564,73.571,73.52,73.533,0
1311724800,73.532,73.543,73.429,73.438,0
1311728400,73.437,73.528,73.421,73.528,0
1311732000,73.52,73.563,73.51,73.522,0
1311735600,73.517,73.531,73.497,73.505,0
1311739200,73.509,73.514,73.452,73.465,0
1311742800,73.467,73.481,73.431,73.444,0
1311746400,73.443,73.59,73.423,73.496,0
1311750000,73.495,73.609,73.466,73.568,0
1311753600,73.566,73.597,73.506,73.521,0
1311757200,73.522,73.586,73.481,73.565,0
1311760800,73.562,73.675,73.542,73.646,0
1311764400,73.644,73.75,73.618,73.72,0
1311768000,73.724,73.766,73.685,73.701,0
1311771600,73.704,73.73,73.636,73.73,0
1311775200,73.733,73.997,73.701,73.997,0
1311778800,73.991,74.089,73.991,74.034,0
1311782400,74.036,74.183,74.027,74.118,0
