time,open,high,low,close,volume,sub
1311699600,1614.781,1618.104,1614.065,1617.756,2679,4
1311703200,1617.756,1618.893,1616.505,1617.228,2266,4
1311706800,1617.228,1619.885,1616.975,1619.604,1617,4
1311710400,1619.604,1620.463,1619.077,1619.365,561,4
1311714000,1619.365,1619.787,1619.213,1619.45,119,2
1311717600,1619.45,1620.487,1618.026,1619.449,818,4
1311721200,1619.449,1619.972,1619.01,1619.484,613,4
1311724800,1619.484,1623.049,1619.326,1622.338,1259,4
1311728400,1622.338,1624.29,1622.211,1622.915,885,4
1311732000,1622.915,1623.193,1620.634,1620.98,603,4
1311735600,1620.98,1622.374,1620.946,1622.184,339,4
1311739200,1622.184,1622.528,1621.794,1622.124,461,4
1311742800,1622.124,1624.782,1622.124,1623.9,722,4
1311746400,1623.9,1625.626,1622.146,1623.037,1388,4
1311750000,1623.037,1625.202,1622.731,1623.132,1861,4
1311753600,1623.132,1624.754,1622.852,1623.896,1163,4
1311757200,1623.896,1623.896,1621.049,1622.41,1419,4
1311760800,1622.41,1622.527,1619.434,1619.532,1221,4
1311764400,1619.532,1620.478,1616.979,1618.106,1537,4
1311768000,1618.106,1626.427,1617.892,1623.376,3556,4
1311771600,1623.376,1628.663,1623.278,1626.006,3901,4
1311775200,1626.006,1627.07,1613.647,1616.863,5508,4
1311778800,1616.863,1621.204,1614.984,1620.71,5360,4
1311782400,1620.71,1620.752,1608.994,1613.396,6044,4
1311786000,1613.396,1615.939,1611.253,1615.39,2636,4
1311789600,1615.39,1616.18,1611.905,1614.309,2055,4
1311793200,1614.309,1615.603,1612.77,1613.827,1112,4
1311796800,1613.827,1614.55,1613.191,1613.533,765,4
1311800400,1613.533,1614.125,1613.325,1613.875,133,2
1311804000,1613.875,1615.659,1613.725,1615.105,587,4
1311807600,1615.105,1615.257,1612.574,1613.4,550,4
1311811200,1613.4,1615.259,1613.4,1613.896,1058,4
1311814800,1613.896,1615.527,1613.896,1615.302,819,4
1311818400,1615.302,1617.239,1615.006,1617.202,520,4
1311822000,1617.202,1617.536,1615.524,1616.156,805,4
1311825600,1616.156,1616.156,1614.38,1614.914,793,4
1311829200,1614.914,1615.706,1614.676,1615.43,462,4
1311832800,1615.43,1615.585,1612.334,1614.068,1173,4
1311836400,1614.068,1619.879,1613.657,1618.543,1681,4
1311840000,1618.543,1619.029,1617.14,1617.744,1304,4
1311843600,1617.744,1618.797,1617.254,1618.042,1337,4
1311847200,1618.042,1618.194,1613.42,1614.187,2007,4
1311850800,1614.187,1617.702,1614.187,1615.931,1505,4
1311854400,1615.931,1620.367,1613.691,1615.54,4577,4
1311858000,1615.54,1618.017,1611.909,1613.957,5081,4
1311861600,1613.957,1614.694,1604.26,1607.969,7594,4
1311865200,1607.969,1613.588,1603.057,1611.692,5669,4
1311868800,1611.692,1617.107,1611.164,1613.466,3376,4
1311872400,1613.466,1615.28,1610.296,1612.366,2515,4
1311876000,1612.366,1613.811,1611.54,1612.801,1235,4
1311879600,1612.801,1615.725,1612.51,1614.951,1079,4
1311883200,1614.951,1616.962,1614.566,1616.05,420,4
1311886800,1616.05,1617.005,1615.568,1617.005,141,2
1311890400,1617.005,1617.115,1615.706,1615.838,562,4
1311894000,1615.838,1616.211,1613.935,1613.935,756,4
1311897600,1613.935,1614.844,1613.432,1614.205,1253,4
1311901200,1614.205,1615.176,1613.974,1615.111,714,4
1311904800,1615.111,1618.563,1614.477,1617.949,1649,4
1311908400,1617.949,1618.012,1615.505,1615.575,1016,4
1311912000,1615.575,1615.575,1614.327,1614.697,914,4
1311915600,1614.697,1614.697,1611.557,1612.747,1141,4
1311919200,1612.747,1614.57,1611.85,1612.133,1404,4
1311922800,1612.133,1613.25,1610.743,1613.03,1723,4
1311926400,1613.03,1614.175,1612.387,1613.32,840,4
1311930000,1613.32,1617.481,1612.885,1615.587,1706,4
1311933600,1615.587,1615.851,1613.232,1614.349,1273,4
1311937200,1614.349,1617.683,1614.108,1615.898,1566,4
1311940800,1615.898,1625.2,1614.139,1623.519,5961,4
1311944400,1623.519,1632.826,1622.013,1629.251,8496,4
1311948000,1629.251,1632.581,1619.024,1625.157,8646,4
1311951600,1625.157,1627.889,1622.804,1625.082,5255,4
1311955200,1625.082,1626.131,1621.379,1623.594,3418,4
1311958800,1623.594,1629.482,1622.795,1626.335,3701,4
1311962400,1626.335,1626.382,1623.96,1624.429,1649,4
1311966000,1624.429,1625.869,1623.804,1625.509,1375,4
1311969600,1625.509,1627.2,1625.241,1627.15,1247,4
1312146000,1626.65,1626.9,1626.65,1626.9,2,2
1312149600,1626.9,1626.9,1605.9,1615.35,4219,4
1312153200,1615.35,1615.717,1613.6,1615.417,846,4
1312156800,1615.417,1617.533,1609.058,1610.808,3806,4
1312160400,1610.808,1613.442,1610.675,1612.892,1504,4
1312164000,1612.892,1613.208,1611.517,1612.908,909,4
1312167600,1612.908,1615.092,1612.692,1614.708,941,4
1312171200,1614.708,1615.992,1614.342,1614.49,1216,4
1312174800,1614.49,1614.71,1611.757,1613.095,1104,4
1312178400,1613.095,1615.26,1612.894,1614.634,1171,4
1312182000,1614.634,1616.203,1613.522,1615.633,1332,4
1312185600,1615.633,1617.986,1615.197,1617.202,1546,4
1312189200,1617.202,1617.28,1613.952,1615.961,1418,4
1312192800,1615.961,1616.657,1615.277,1616.128,1118,4
1312196400,1616.128,1619.997,1615.669,1619.467,2008,4
1312200000,1619.467,1620.668,1615.746,1617.939,3677,4
1312203600,1617.939,1624.525,1610.048,1623.2,5736,4
1312207200,1623.2,1628.697,1621.711,1627.392,8727,4
1312210800,1627.392,1631.46,1627.062,1629.992,6763,4
1312214400,1629.992,1632.056,1625.779,1626.963,5099,4
1312218000,1626.963,1627.439,1618.974,1621.171,5940,4
1312221600,1621.171,1622.5,1620.676,1621.13,1452,4
1312225200,1621.13,1621.538,1616.746,1619.155,1922,4
1312228800,1619.155,1621.096,1619.018,1619.514,1024,4
1312232400,1619.514,1620.36,1619.506,1620.008,177,2
1312236000,1620.008,1620.292,1616.688,1617.021,914,4
1312239600,1617.021,1619.5,1616.634,1618.583,962,4
1312243200,1618.583,1620.47,1618.316,1619.751,1551,4
1312246800,1619.751,1621.25,1618.29,1619.9,1519,4
1312250400,1619.9,1621.139,1619.574,1621.139,615,4
1312254000,1621.139,1622.006,1619.399,1620.346,1118,4
1312257600,1620.346,1623.105,1620.107,1623.012,1039,4
1312261200,1623.012,1624.852,1623.012,1624.319,714,4
1312264800,1624.319,1625.619,1623.798,1625.169,1536,4
1312268400,1625.169,1629.621,1624.362,1627.697,2304,4
1312272000,1627.697,1628.826,1625.027,1625.36,2061,4
1312275600,1625.36,1626.378,1624.303,1626.327,1588,4
1312279200,1626.327,1629.03,1625.762,1627.84,1290,4
1312282800,1627.84,1632.51,1626.242,1632.51,2177,4
1312286400,1632.51,1640.978,1632.125,1637.54,7791,4
1312290000,1637.54,1638.381,1632.506,1636.551,6559,4
1312293600,1636.551,1639.994,1635.508,1638.032,5464,4
1312297200,1638.032,1643.084,1637.481,1641.416,5536,4
1312300800,1641.416,1644.293,1636.907,1641.853,7166,4
1312304400,1641.853,1645.384,1639.272,1644.788,4987,4
1312308000,1644.788,1644.958,1643.182,1643.387,2262,4
1312311600,1643.387,1659.417,1643.237,1658.108,5886,4
1312315200,1658.108,1661.171,1656.185,1661.105,2450,4
1312318800,1661.105,1661.242,1659.751,1660.23,410,2
1312322400,1660.23,1661.56,1656.527,1657.162,1507,4
1312326000,1657.162,1658.575,1654.285,1654.398,915,4
1312329600,1654.398,1655.349,1652.319,1654.905,1564,4
1312333200,1654.905,1655.207,1652.038,1653.49,1334,4
1312336800,1653.49,1655.632,1653.398,1654.491,679,4
1312340400,1654.491,1659.063,1654.467,1658.492,904,4
1312344000,1658.492,1659.143,1657.222,1657.785,965,4
1312347600,1657.785,1662.439,1657.62,1662.439,1377,4
1312351200,1662.439,1671.872,1661.547,1668.149,2630,4
1312354800,1668.149,1673.105,1665.942,1667.871,3348,4
1312358400,1667.871,1670.608,1667.074,1670.088,2134,4
1312362000,1670.088,1671.182,1665.256,1668.027,2435,4
1312365600,1668.027,1668.467,1665.421,1666.757,1565,4
1312369200,1666.757,1669.784,1666.027,1669.054,1426,4
1312372800,1669.054,1671.227,1660.652,1665.354,4603,4
1312376400,1665.354,1671.374,1665.012,1669.415,4799,4
1312380000,1669.415,1672.053,1665.305,1665.494,6933,4
1312383600,1665.494,1669.942,1664.696,1668.884,4590,4
1312387200,1668.884,1669.773,1664.051,1666.472,3447,4
1312390800,1666.472,1667.949,1656.793,1660.721,3963,4
1312394400,1660.721,1664.458,1659.603,1663.535,2699,4
1312398000,1663.535,1667.453,1656.962,1657.935,3226,4
1312401600,1657.935,1663.868,1657.908,1661.73,1748,4
1312405200,1661.73,1662.308,1660.347,1661.466,87,1
1312408800,1661.466,1662.87,1659.965,1660.687,1458,4
1312412400,1660.687,1662.178,1659.245,1660.439,1114,4
1312416000,1660.439,1665.345,1660.404,1664.847,1702,4
1312419600,1664.847,1664.847,1657.612,1663.344,6569,4
1312423200,1663.344,1664.255,1661.567,1663.359,2690,4
1312426800,1663.359,1669.261,1663.16,1666.323,3128,4
1312430400,1666.323,1666.625,1663.428,1664.445,1806,4
1312434000,1664.445,1666.235,1662.363,1662.501,2172,4
1312437600,1662.501,1663.454,1660.097,1663.357,1879,4
1312441200,1663.357,1667.047,1662.366,1662.367,1911,4
1312444800,1662.367,1665.485,1661.574,1663.649,2305,4
1312448400,1663.649,1665.791,1660.177,1660.348,2772,4
1312452000,1660.348,1665.871,1659.231,1664.095,2903,4
1312455600,1664.095,1670.67,1663.953,1670.64,2881,4
1312459200,1670.64,1678.883,1667.097,1674.16,8370,4
1312462800,1674.16,1681.891,1671.568,1681.403,7502,4
1312466400,1681.403,1682.276,1675.734,1678.283,6419,4
1312470000,1678.283,1679.3,1660.039,1663.778,11248,4
1312473600,1663.778,1663.854,1642.357,1654.601,16794,4
1312477200,1654.601,1660.718,1643.159,1653.612,12958,4
1312480800,1653.612,1658.172,1647.764,1656.315,8565,4
1312484400,1656.315,1657.478,1645.825,1649.711,7015,4
1312488000,1649.711,1651.226,1646.022,1646.483,2590,4
1312491600,1646.483,1648.513,1646.475,1648.452,292,3
1312495200,1648.452,1650.096,1644.946,1649.824,1861,4
1312498800,1649.824,1651.155,1641.839,1641.868,2927,4
1312502400,1641.868,1645.807,1641.845,1644.613,3510,4
1312506000,1644.613,1650.131,1644.081,1649.535,2283,4
1312509600,1649.535,1652.554,1649.304,1651.898,1537,4
1312513200,1651.898,1655.86,1651.748,1653.666,1607,4
1312516800,1653.666,1660.539,1653.204,1657.62,3652,4
1312520400,1657.62,1662.695,1657.014,1662.47,2603,4
1312524000,1662.47,1663.726,1656.053,1657.608,4641,4
1312527600,1657.608,1659.784,1654.875,1655.58,4350,4
1312531200,1655.58,1670.246,1655.387,1667.099,3960,4
1312534800,1667.099,1669.02,1663.857,1665.075,3243,4
1312538400,1665.075,1667.614,1664.285,1666.459,2201,4
1312542000,1666.459,1667.79,1661.603,1662.444,2527,4
1312545600,1662.444,1665.892,1649.162,1654.459,12340,4
1312549200,1654.459,1662.512,1650.655,1661.216,10482,4
1312552800,1661.216,1667.205,1655.028,1663.398,10919,4
1312556400,1663.398,1665.145,1650.689,1652.333,8313,4
1312560000,1652.333,1663.009,1648.014,1656.765,14679,4
1312563600,1656.765,1658.377,1648.325,1651.51,7073,4
1312567200,1651.51,1660.228,1650.39,1658.62,3999,4
1312570800,1658.62,1662.357,1657.754,1661.135,3615,4
1312574400,1661.135,1665.575,1659.134,1663.7,1325,4
1312754400,1668.3,1694.972,1668.3,1686.958,7466,4
1312758000,1686.958,1688.675,1683.432,1688.455,1887,4
1312761600,1688.455,1688.71,1682.513,1686.928,2765,4
1312765200,1686.928,1695.405,1686.732,1693.004,4862,4
1312768800,1693.004,1696.411,1692.071,1694.315,2578,4
1312772400,1694.315,1700.17,1694.198,1698.621,2863,4
1312776000,1698.621,1703.329,1697.934,1700.471,4172,4
1312779600,1700.471,1715.43,1700.471,1711.936,5149,4
1312783200,1711.936,1715.199,1707.389,1711.402,5797,4
1312786800,1711.402,1712.273,1699.876,1705.753,8094,4
1312790400,1705.753,1706.93,1701.003,1705.927,4495,4
1312794000,1705.927,1711.519,1705.9,1707.78,3920,4
1312797600,1707.78,1708.52,1704.466,1705.565,2878,4
1312801200,1705.565,1707.895,1702.159,1702.635,3899,4
1312804800,1702.635,1707.265,1694.853,1699.319,7664,4
1312808400,1699.319,1699.971,1692.103,1693.716,9738,4
1312812000,1693.716,1705.815,1692.683,1697.36,12367,4
1312815600,1697.36,1709.926,1697.36,1705.821,9461,4
1312819200,1705.821,1719.36,1705.629,1717.2,8737,4
1312822800,1717.2,1720.056,1709.598,1719.54,7516,4
1312826400,1719.54,1720.733,1711.298,1711.867,8976,4
1312830000,1711.867,1716.29,1708.679,1716.028,7032,4
1312833600,1716.028,1719.9,1715.735,1719.5,2012,4
1312837200,1719.5,1719.812,1716.7,1716.7,283,4
1312840800,1716.7,1723.406,1715.343,1721.217,2435,4
1312844400,1721.217,1723.194,1720.053,1722.108,1426,4
1312848000,1722.108,1725.236,1721.943,1725.183,2223,4
1312851600,1725.183,1743.925,1724.964,1740.395,6775,4
1312855200,1740.395,1749.701,1738.995,1748.089,7256,4
1312858800,1748.089,1761.646,1747.251,1761.6,6727,4
1312862400,1761.6,1772.187,1753.202,1756.85,12161,4
1312866000,1756.85,1760.441,1750.774,1751.626,7106,4
1312869600,1751.626,1755.876,1746.382,1754.781,6231,4
1312873200,1754.781,1760.252,1733.362,1755.045,13000,4
1312876800,1755.045,1758.432,1744.776,1756.57,8535,4
1312880400,1756.57,1779.818,1756.301,1766.888,13318,4
1312884000,1766.888,1772.374,1760.543,1764.244,7100,4
1312887600,1764.244,1764.898,1747.983,1750.581,7423,4
1312891200,1750.581,1754.131,1741.628,1743.79,10265,4
1312894800,1743.79,1745.669,1731.262,1732.531,14792,4
1312898400,1732.531,1738.877,1720.265,1721.167,14627,4
1312902000,1721.167,1748.706,1720.465,1741.829,13829,4
1312905600,1741.829,1744.012,1735.819,1740.85,8986,4
1312909200,1740.85,1751.9,1738.791,1745.248,7430,4
1312912800,1745.248,1774.352,1739.57,1764.728,26140,4
1312916400,1764.728,1777.77,1723.113,1732.627,23079,4
1312920000,1732.627,1740.867,1730.549,1740.49,4942,4
1312923600,1740.49,1746.337,1740.1,1743.6,490,3
1312927200,1743.6,1750.046,1741.35,1748.798,3413,4
1312930800,1748.798,1763.999,1748.15,1763.861,4141,4
1312934400,1763.861,1767.085,1737.819,1750.956,9105,4
1312938000,1750.956,1760.261,1749.585,1754.882,6022,4
1312941600,1754.882,1757.803,1752.736,1756.305,2685,4
1312945200,1756.305,1759.387,1753.278,1756.575,2557,4
1312948800,1756.575,1758.453,1751.98,1753.313,2707,4
1312952400,1753.313,1754.071,1744.336,1744.919,3950,4
1312956000,1744.919,1754.44,1741.209,1750.96,5698,4
1312959600,1750.96,1762.684,1744.838,1762.153,7708,4
1312963200,1762.153,1767.235,1758.6,1759.799,5735,4
1312966800,1759.799,1761.772,1752.378,1755.621,4242,4
1312970400,1755.621,1761.014,1753.25,1758.491,3016,4
1312974000,1758.491,1766.887,1758.491,1765.598,4217,4
1312977600,1765.598,1768.429,1760.344,1766.502,9640,4
1312981200,1766.502,1777.259,1758.71,1771.825,17094,4
1312984800,1771.825,1779.974,1769.33,1773.2,15575,4
1312988400,1773.2,1798.0,1773.2,1786.702,16351,4
1312992000,1786.702,1789.469,1772.622,1775.865,15764,4
1312995600,1775.865,1786.706,1772.378,1776.385,11444,4
1312999200,1776.385,1780.536,1763.371,1775.418,13053,4
1313002800,1775.418,1794.979,1773.169,1792.667,10828,4
1313006400,1792.667,1793.461,1787.219,1793.2,2928,4
1313010000,1793.2,1796.674,1793.2,1796.674,219,3
1313013600,1796.674,1814.903,1794.905,1802.247,8679,4
1313017200,1802.247,1810.207,1797.85,1808.59,5374,4
1313020800,1808.59,1808.95,1801.396,1803.135,6023,4
1313024400,1803.135,1807.895,1796.27,1797.419,7688,4
1313028000,1797.419,1798.28,1779.194,1784.042,10037,4
1313031600,1784.042,1799.024,1783.513,1794.938,5990,4
1313035200,1794.938,1796.112,1785.008,1787.769,3943,4
1313038800,1787.769,1795.055,1786.425,1788.362,4916,4
1313042400,1788.362,1788.415,1775.385,1777.739,6778,4
1313046000,1777.739,1790.035,1777.669,1784.617,9009,4
1313049600,1784.617,1795.91,1783.274,1792.66,6082,4
1313053200,1792.66,1793.242,1783.478,1784.605,5267,4
1313056800,1784.605,1786.072,1771.254,1778.367,6735,4
1313060400,1778.367,1792.014,1769.338,1778.017,10003,4
1313064000,1778.017,1786.248,1768.542,1769.553,17689,4
1313067600,1769.553,1776.036,1754.242,1760.311,24517,4
1313071200,1760.311,1762.645,1751.611,1761.355,18502,4
1313074800,1761.355,1762.094,1751.842,1762.094,12154,4
1313078400,1762.094,1769.626,1759.376,1764.796,10263,4
1313082000,1764.796,1765.796,1738.716,1740.124,16695,4
1313085600,1740.124,1747.895,1732.326,1740.418,15204,4
1313089200,1740.418,1756.581,1740.355,1753.764,8341,4
1313092800,1753.764,1765.677,1752.7,1763.95,3738,4
1313096400,1763.95,1767.387,1763.8,1765.7,554,3
1313100000,1765.7,1768.154,1758.788,1759.204,2935,4
1313103600,1759.204,1761.946,1752.045,1752.118,2433,4
1313107200,1752.118,1755.832,1748.111,1755.485,4142,4
1313110800,1755.485,1760.954,1752.843,1759.979,3721,4
1313114400,1759.979,1760.761,1757.526,1759.972,1592,4
1313118000,1759.972,1768.09,1759.567,1766.09,2969,4
1313121600,1766.09,1766.35,1760.321,1762.881,2303,4
1313125200,1762.881,1767.312,1760.02,1765.302,2394,4
1313128800,1765.302,1765.706,1746.645,1755.019,6227,4
1313132400,1755.019,1761.219,1753.246,1758.129,5382,4
1313136000,1758.129,1762.165,1754.973,1760.822,3781,4
1313139600,1760.822,1764.339,1745.487,1750.418,5511,4
1313143200,1750.418,1756.265,1744.789,1752.415,5422,4
1313146800,1752.415,1753.767,1748.8,1751.878,4525,4
1313150400,1751.878,1758.172,1743.362,1743.379,8630,4
1313154000,1743.379,1748.797,1734.983,1743.794,13750,4
1313157600,1743.794,1745.269,1723.482,1732.935,17548,4
1313161200,1732.935,1735.923,1727.508,1733.826,9343,4
1313164800,1733.826,1744.17,1729.827,1739.242,9364,4
1313168400,1739.242,1743.177,1735.911,1741.078,6400,4
1313172000,1741.078,1745.164,1739.439,1742.618,5513,4
1313175600,1742.618,1746.226,1739.083,1745.581,5308,4
1313179200,1745.581,1747.168,1744.771,1746.55,1310,4
1313355600,1746.75,1746.75,1746.75,1746.75,1,1
1313359200,1746.75,1747.75,1740.345,1740.506,2442,4
1313362800,1740.506,1741.299,1731.801,1733.332,3174,4
1313366400,1733.332,1736.431,1728.459,1735.296,4387,4
1313370000,1735.296,1745.815,1735.197,1744.676,3142,4
1313373600,1744.676,1746.913,1743.901,1744.841,2365,4
1313377200,1744.841,1746.667,1740.951,1741.427,1921,4
1313380800,1741.427,1744.712,1740.554,1742.536,1279,4
1313384400,1742.536,1744.002,1740.564,1742.179,1745,4
1313388000,1742.179,1742.641,1734.694,1737.155,3850,4
1313391600,1737.155,1747.069,1734.737,1743.831,4472,4
1313395200,1743.831,1745.398,1740.514,1740.911,2591,4
1313398800,1740.911,1742.57,1737.829,1742.545,2383,4
1313402400,1742.545,1742.962,1737.965,1741.31,2343,4
1313406000,1741.31,1741.604,1734.487,1736.906,2929,4
1313409600,1736.906,1740.089,1732.59,1736.948,6861,4
1313413200,1736.948,1742.044,1735.517,1738.957,8503,4
