time,open,high,low,close,volume
1311697800,1613.928,1614.284,1613.449,1614.044,406
1311698700,1614.044,1615.275,1613.199,1614.781,445
1311699600,1614.781,1615.195,1614.613,1614.637,329
1311700500,1614.637,1617.321,1614.065,1616.705,1075
1311701400,1616.705,1617.261,1615.873,1617.117,736
1311702300,1617.117,1618.104,1616.546,1617.756,539
1311703200,1617.756,1618.893,1617.336,1617.389,818
1311704100,1617.389,1617.696,1616.505,1617.181,614
1311705000,1617.181,1617.684,1616.814,1617.017,439
1311705900,1617.017,1617.68,1616.7,1617.228,395
1311706800,1617.228,1619.085,1616.975,1618.335,439
1311707700,1618.335,1619.042,1617.554,1617.656,185
1311708600,1617.656,1619.312,1617.561,1619.214,410
1311709500,1619.214,1619.885,1618.225,1619.604,583
1311710400,1619.604,1619.849,1619.559,1619.674,124
1311711300,1619.674,1620.094,1619.077,1619.824,178
1311712200,1619.824,1620.463,1619.566,1619.771,176
1311713100,1619.771,1619.808,1619.337,1619.365,83
1311714000,1619.365,1619.787,1619.213,1619.5,117
1311714900,1619.5,1619.5,1619.45,1619.45,2
1311717600,1619.45,1620.135,1618.66,1618.981,227
1311718500,1618.981,1619.142,1618.026,1618.921,225
1311719400,1618.921,1620.487,1618.743,1619.936,209
1311720300,1619.936,1619.936,1618.807,1619.449,157
1311721200,1619.449,1619.696,1619.01,1619.532,144
1311722100,1619.532,1619.683,1619.051,1619.199,195
1311723000,1619.199,1619.972,1619.146,1619.781,158
1311723900,1619.781,1619.951,1619.41,1619.484,116
1311724800,1619.484,1620.001,1619.326,1619.915,211
1311725700,1619.915,1622.907,1619.701,1622.613,503
1311726600,1622.613,1623.04,1622.236,1622.361,245
1311727500,1622.361,1623.049,1621.974,1622.338,300
1311728400,1622.338,1623.025,1622.211,1622.738,236
1311729300,1622.738,1622.876,1622.366,1622.384,131
1311730200,1622.384,1623.567,1622.323,1623.395,315
1311731100,1623.395,1624.29,1622.915,1622.915,203
1311732000,1622.915,1623.193,1622.56,1622.892,159
1311732900,1622.892,1623.051,1622.634,1622.72,106
1311733800,1622.72,1622.78,1621.706,1621.767,145
1311734700,1621.767,1621.806,1620.634,1620.98,193
1311735600,1620.98,1621.778,1620.946,1621.778,113
1311736500,1621.778,1622.054,1621.34,1621.34,96
1311737400,1621.34,1622.228,1621.34,1621.905,74
1311738300,1621.905,1622.374,1621.855,1622.184,56
1311739200,1622.184,1622.456,1622.134,1622.327,84
1311740100,1622.327,1622.343,1621.794,1621.867,56
1311741000,1621.867,1622.468,1621.856,1622.389,194
1311741900,1622.389,1622.528,1621.993,1622.124,127
1311742800,1622.124,1623.052,1622.124,1623.052,162
1311743700,1623.052,1624.242,1623.052,1624.19,189
1311744600,1624.19,1624.782,1623.917,1624.06,257
1311745500,1624.06,1624.235,1623.767,1623.9,114
1311746400,1623.9,1625.626,1623.79,1624.6,476
1311747300,1624.6,1624.6,1623.207,1623.729,373
1311748200,1623.729,1623.729,1622.146,1622.403,305
1311749100,1622.403,1623.425,1622.332,1623.037,234
1311750000,1623.037,1625.202,1622.731,1623.867,715
1311750900,1623.867,1623.892,1622.978,1623.507,394
1311751800,1623.507,1624.804,1623.09,1623.384,391
1311752700,1623.384,1624.104,1622.988,1623.132,361
1311753600,1623.132,1624.735,1622.852,1624.02,399
1311754500,1624.02,1624.478,1623.864,1623.97,269
1311755400,1623.97,1624.754,1623.261,1623.64,293
1311756300,1623.64,1624.674,1623.64,1623.896,202
1311757200,1623.896,1623.896,1621.049,1621.765,442
1311758100,1621.765,1622.91,1621.28,1621.747,512
1311759000,1621.747,1622.571,1621.12,1622.449,281
1311759900,1622.449,1622.612,1621.644,1622.41,184
1311760800,1622.41,1622.527,1620.737,1622.214,386
1311761700,1622.214,1622.214,1620.316,1620.422,255
1311762600,1620.422,1620.544,1619.434,1619.822,315
1311763500,1619.822,1620.521,1619.532,1619.532,265
1311764400,1619.532,1620.478,1619.116,1619.67,326
1311765300,1619.67,1619.872,1616.979,1618.728,573
1311766200,1618.728,1618.891,1617.618,1617.618,314
1311767100,1617.618,1618.117,1617.052,1618.106,324
1311768000,1618.106,1621.51,1617.892,1621.414,613
1311768900,1621.414,1623.69,1621.068,1621.824,802
1311769800,1621.824,1626.427,1621.824,1624.728,1406
1311770700,1624.728,1624.993,1622.793,1623.376,735
1311771600,1623.376,1625.75,1623.278,1625.264,962
1311772500,1625.264,1627.336,1624.555,1627.184,678
1311773400,1627.184,1628.663,1624.805,1626.259,1411
1311774300,1626.259,1627.377,1625.362,1626.006,850
1311775200,1626.006,1626.316,1623.574,1624.624,1208
1311776100,1624.624,1627.07,1624.526,1626.131,740
1311777000,1626.131,1626.131,1618.536,1618.671,1135
1311777900,1618.671,1620.633,1613.647,1616.863,2425
1311778800,1616.863,1618.692,1615.6,1616.838,1472
1311779700,1616.838,1619.639,1615.898,1616.454,1374
1311780600,1616.454,1620.325,1614.984,1619.46,1516
1311781500,1619.46,1621.204,1617.951,1620.71,998
1311782400,1620.71,1620.752,1614.654,1615.299,1373
1311783300,1615.299,1616.589,1609.612,1609.936,2106
1311784200,1609.936,1613.177,1608.994,1612.978,1640
1311785100,1612.978,1614.194,1611.303,1613.396,925
1311786000,1613.396,1613.55,1611.253,1611.635,735
1311786900,1611.635,1615.431,1611.609,1614.972,715
1311787800,1614.972,1615.939,1613.818,1614.706,569
1311788700,1614.706,1615.856,1614.244,1615.39,617
1311789600,1615.39,1615.623,1614.602,1615.049,506
1311790500,1615.049,1616.18,1614.145,1615.33,510
1311791400,1615.33,1615.33,1611.905,1613.623,630
1311792300,1613.623,1615.327,1612.641,1614.309,409
1311793200,1614.309,1615.063,1614.101,1614.737,266
1311794100,1614.737,1615.093,1614.67,1615.087,208
1311795000,1615.087,1615.174,1614.078,1615.17,245
1311795900,1615.17,1615.603,1612.77,1613.827,393
1311796800,1613.827,1614.467,1613.191,1613.691,277
1311797700,1613.691,1614.55,1613.691,1613.903,226
1311798600,1613.903,1614.037,1613.428,1613.527,121
1311799500,1613.527,1613.717,1613.191,1613.533,141
1311800400,1613.533,1614.125,1613.325,1613.867,131
1311801300,1613.867,1613.9,1613.867,1613.875,2
1311804000,1613.875,1615.138,1613.725,1614.998,246
1311804900,1614.998,1615.659,1614.98,1615.369,201
1311805800,1615.369,1615.511,1615.179,1615.336,68
1311806700,1615.336,1615.434,1614.952,1615.105,72
1311807600,1615.105,1615.257,1614.446,1614.446,84
1311808500,1614.446,1614.446,1613.105,1613.105,161
1311809400,1613.105,1613.683,1612.574,1613.529,170
1311810300,1613.529,1613.847,1613.396,1613.4,135
1311811200,1613.4,1614.527,1613.4,1614.511,379
1311812100,1614.511,1615.259,1614.023,1614.217,359
1311813000,1614.217,1614.81,1614.16,1614.555,205
1311813900,1614.555,1614.904,1613.803,1613.896,115
1311814800,1613.896,1615.332,1613.896,1615.332,377
1311815700,1615.332,1615.521,1614.892,1615.275,155
1311816600,1615.275,1615.527,1615.089,1615.373,188
1311817500,1615.373,1615.517,1615.13,1615.302,99
