date,threshold,dow,session,continuation,continued_meaningfully
2023-01-23,0.3,Monday,asia,0.029172534705253175,0
2023-01-24,0.3,Tuesday,asia,0.1297162275988289,1
2023-01-25,0.3,Wednesday,ny,0.030598381475574837,0
2023-01-31,0.3,Tuesday,ny,0.0632475167241007,0
2023-02-01,0.3,Wednesday,ny,0.6944276805471722,1
2023-02-01,0.5,Wednesday,ny,0.49024341178836967,1
2023-02-01,0.7,Wednesday,ny,0.3647153490243337,1
2023-02-01,0.9,Wednesday,ny,0.1343794005230301,1
2023-02-01,1.1,Wednesday,late,0.0,0
2023-02-06,0.3,Monday,asia,0.2303648317334043,1
2023-02-06,0.5,Monday,london,0.0,0
2023-02-07,0.3,Tuesday,london,0.23257209284883856,1
2023-02-07,0.5,Tuesday,ny,0.0,0
2023-02-08,0.3,Wednesday,asia,0.1879770867857637,1
2023-02-09,0.3,Thursday,london,0.17024647887324046,1
2023-02-09,0.5,Thursday,ny,0.01531690140844876,0
2023-02-14,0.3,Tuesday,asia,0.2143948196404559,1
2023-02-14,0.5,Tuesday,ny,0.0,0
2023-02-16,0.3,Thursday,london,0.01652069019772546,0
2023-02-20,0.3,Monday,london,0.0,0
2023-02-22,0.3,Wednesday,london,0.12440720106818824,1
2023-02-23,0.3,Thursday,asia,0.0,0
2023-02-27,0.3,Monday,ny,0.06606854476942663,0
2023-02-28,0.3,Tuesday,ny,0.2476154073353327,1
2023-02-28,0.5,Tuesday,ny,0.13037510641625108,1
2023-03-01,0.3,Wednesday,asia,0.6647974405981535,1
2023-03-01,0.5,Wednesday,asia,0.40209928466156225,1
2023-03-01,0.7,Wednesday,london,0.2604335166612721,1
2023-03-01,0.9,Wednesday,ny,0.013587835651891662,0
2023-03-06,0.3,Monday,asia,0.0,0
2023-03-08,0.3,Wednesday,ny,0.13906758495421165,1
2023-03-08,0.5,Wednesday,ny,0.022515704230679476,0
2023-03-09,0.3,Thursday,ny,0.622393558433662,1
2023-03-09,0.5,Thursday,ny,0.5503437274488154,1
2023-03-09,0.7,Thursday,ny,0.28261612670438496,1
2023-03-09,0.9,Thursday,ny,0.0,0
2023-03-12,0.3,Sunday,late,0.0,0
2023-03-12,0.5,Sunday,late,0.0,0
2023-03-12,0.7,Sunday,late,0.0,0
2023-03-12,0.9,Sunday,late,0.0,0
2023-03-12,1.1,Sunday,late,0.0,0
2023-03-12,1.3,Sunday,late,0.0,0
2023-03-13,0.3,Monday,asia,1.1773755518805633,1
2023-03-13,0.5,Monday,london,1.0543915279695326,1
2023-03-13,0.7,Monday,london,0.7000955834382739,1
2023-03-13,0.9,Monday,london,0.6283018009133516,1
2023-03-13,1.1,Monday,ny,0.20646022666929234,1
2023-03-13,1.3,Monday,ny,0.20646022666929234,1
2023-03-15,0.3,Wednesday,london,0.9518534417104081,1
2023-03-15,0.5,Wednesday,london,0.7128238503399477,1
2023-03-15,0.7,Wednesday,london,0.4499494578838787,1
2023-03-15,0.9,Wednesday,london,0.2768323247988741,1
2023-03-15,1.1,Wednesday,ny,0.10352133154243748,1
2023-03-15,1.3,Wednesday,ny,0.0,0
2023-03-16,0.3,Thursday,london,0.07186506966511375,0
2023-03-20,0.3,Monday,asia,0.6707155701828746,1
2023-03-20,0.5,Monday,asia,0.5207704226467147,1
2023-03-20,0.7,Monday,asia,0.05399292007373755,0
2023-03-20,0.9,Monday,asia,0.05399292007373755,0
2023-03-22,0.3,Wednesday,ny,0.3422769693135088,1
2023-03-22,0.5,Wednesday,ny,0.3422769693135088,1
2023-03-22,0.7,Wednesday,ny,0.0815208794685209,0
2023-03-22,0.9,Wednesday,ny,0.0815208794685209,0
2023-03-23,0.3,Thursday,asia,0.5272156548453861,1
2023-03-23,0.5,Thursday,ny,0.3899018232819024,1
2023-03-23,0.7,Thursday,ny,0.13330661858011122,1
2023-03-28,0.3,Tuesday,ny,0.1366779313313351,1
2023-03-30,0.3,Thursday,london,0.2509319375721027,1
2023-03-30,0.5,Thursday,ny,0.01922031862254458,0
2023-04-03,0.3,Monday,london,0.5386377637455757,1
2023-04-03,0.5,Monday,london,0.35832819959957085,1
2023-04-03,0.7,Monday,ny,0.1250577545048541,1
2023-04-03,0.9,Monday,ny,0.0,0
2023-04-04,0.3,Tuesday,ny,0.22891204264598852,1
2023-04-04,0.5,Tuesday,ny,0.22891204264598852,1
2023-04-04,0.7,Tuesday,ny,0.22891204264598852,1
2023-04-04,0.9,Tuesday,ny,0.0,0
2023-04-11,0.3,Tuesday,asia,0.19900160758101007,1
2023-04-11,0.5,Tuesday,london,0.0,0
2023-04-12,0.3,Wednesday,asia,0.5352343700712933,1
2023-04-12,0.5,Wednesday,asia,0.31407482177781,1
2023-04-12,0.7,Wednesday,london,0.0,0
2023-04-13,0.3,Thursday,london,0.7236978004462868,1
2023-04-13,0.5,Thursday,london,0.3798788651577902,1
2023-04-13,0.7,Thursday,london,0.3798788651577902,1
2023-04-13,0.9,Thursday,london,0.10157475294867822,1
2023-04-17,0.3,Monday,asia,0.07513027680834172,0
2023-04-18,0.3,Tuesday,asia,0.2977785314566799,1
2023-04-18,0.5,Tuesday,ny,0.030523995251826065,0
2023-04-20,0.3,Thursday,london,0.2442885117493441,1
2023-04-20,0.5,Thursday,london,0.03182114882506232,0
2023-04-25,0.3,Tuesday,ny,0.0,0
2023-04-26,0.3,Wednesday,ny,0.0,0
2023-04-27,0.3,Thursday,asia,0.08354442712392982,0
2023-05-01,0.3,Monday,london,0.2674178222130831,1
2023-05-01,0.5,Monday,london,0.04231294655270375,0
2023-05-02,0.3,Tuesday,ny,0.6539055552955498,1
2023-05-02,0.5,Tuesday,ny,0.6539055552955498,1
2023-05-02,0.7,Tuesday,ny,0.5081199981279536,1
2023-05-02,0.9,Tuesday,ny,0.25340478307670355,1
2023-05-02,1.1,Tuesday,ny,0.1282585295081187,1
2023-05-03,0.3,Wednesday,ny,1.3212610091365575,1
2023-05-03,0.5,Wednesday,ny,1.0145691003374777,1
2023-05-03,0.7,Wednesday,ny,0.8726644168244333,1
2023-05-03,0.9,Wednesday,late,0.0,0
2023-05-03,1.1,Wednesday,late,0.0,0
2023-05-03,1.3,Wednesday,late,0.0,0
2023-05-08,0.3,Monday,london,0.12921695334030195,1
2023-05-09,0.3,Tuesday,london,0.2346310066862439,1
2023-05-09,0.5,Tuesday,ny,0.03831781540961167,0
2023-05-10,0.3,Wednesday,london,0.0,0
2023-05-11,0.3,Thursday,london,0.0,0
2023-05-15,0.3,Monday,asia,0.11587928180313267,1
2023-05-23,0.3,Tuesday,ny,0.0,0
2023-05-24,0.3,Wednesday,london,0.0,0
2023-05-30,0.3,Tuesday,london,0.5742526879308502,1
2023-05-30,0.5,Tuesday,london,0.3136093789720816,1
2023-05-30,0.7,Tuesday,london,0.18088017585572375,1
2023-05-30,0.9,Tuesday,ny,0.0,0
2023-05-31,0.3,Wednesday,ny,0.20679690742249612,1
2023-05-31,0.5,Wednesday,ny,0.04691126515932318,0
2023-06-01,0.3,Thursday,ny,0.36405626705857924,1
