year,n,exp,total
2011,481,0.08094759188817303,38.93579169821123
2012,1152,-0.14996629205686263,-172.76116844950576
2013,1095,-0.08402019397666963,-92.00211240445324
2014,1085,-0.17940454026984487,-194.65392619278168
2015,1121,-0.14519926958742657,-162.76838120750517
2016,1109,-0.14028960109937944,-155.58116761921178
2017,1159,-0.17383428152426095,-201.47393228661844
2018,1078,-0.19146591942503866,-206.40026114019167
2019,1135,-0.17614088121877883,-199.91990018331396
2020,1094,-0.2131931042962331,-233.233256100079
2021,1081,-0.036605668729321875,-39.570727896396946
2022,1045,-0.08214063874331666,-85.83696748676591
2023,1216,0.125229108679635,152.27859615443614
2024,1237,-0.09992217472920364,-123.60373014002491
2025,1199,-0.09506324199249755,-113.98082714900455
2026,707,-0.16967821970568714,-119.9625013319208
