object,family,STATUS,note
S1::4b7c6d5c6035,S1,ANALYSED,n=8132
S1::11c4710e404e,S1,ANALYSED,n=7574
S2::691f36c634e3,S2,ANALYSED,n=7148
S2::2c6012247423,S2,ANALYSED,n=6391
S3::7aafa506c507,S3,ANALYSED,n=11720
S3::37a51a4fd454,S3,ANALYSED,n=10488
S4::cf232107e3b5,S4,ANALYSED,n=11007
S5::15be26301532,S5,ANALYSED,n=2426
S5::9cce3e63e04e,S5,ANALYSED,n=2274
S6::a461ec93f607,S6,ANALYSED,n=2149
S6::7199b701458a,S6,ANALYSED,n=2139
S7::98a2f4583fb9,S7,ANALYSED,n=23223
S8::ec037f864152,S8,ANALYSED,n=7196
S8::b7adfd7f9d4f,S8,ANALYSED,n=7456
S9::731bd4dd4aa4,S9,ANALYSED,n=1523
S10::598adad042be,S10,ANALYSED,n=13256
S10::7df75fdb8ecb,S10,ANALYSED,n=13834
S11::576394ea476f,S11,ANALYSED,n=5092
S12::884efeda36f3,S12,ANALYSED,n=15005
S12::061854e10b15,S12,ANALYSED,n=14904
S13::7d288aa44d52,S13,ANALYSED,n=15985
S14::dc07a2d5d013,S14,ANALYSED,n=1334
S14::25e44853ad0f,S14,ANALYSED,n=1239
S15::ac373f9fe529,S15,ANALYSED,n=15354
S16::393fe65826e6,S16,ANALYSED,n=775
S17::3cf289079abb,S17,ANALYSED,n=314
S18::18995ee3f508,S18,ANALYSED,n=3868
S18::3933c532ec9c,S18,ANALYSED,n=3868
S19::762b6018f2c5,S19,ANALYSED,n=130
S20::3a706309724e,S20,ANALYSED,n=1513
S21::6ddb75c3f9b1,S21,ANALYSED,n=13540
S21::b61f7b31fafc,S21,ANALYSED,n=11874
S22::e730d6bce802,S22,ANALYSED,n=4526
S23::866611e1c7db,S23,ANALYSED,n=6667
S24::a20c02d14359,S24,ANALYSED,n=3870
S25::017b79ce0b9e,S25,ANALYSED,n=6095
S26::f196a9ae20d6,S26,ANALYSED,n=16964
S27::8492323d86e4,S27,ANALYSED,n=25010
S28::b2a817579286,S28,ANALYSED,n=6351
S29::bd28e989b4eb,S29,ANALYSED,n=783
S29::10d4532019fd,S29,ANALYSED,n=783
S30::282a94fa23d8,S30,ANALYSED,n=5776
S31::555f488885b1,S31,ANALYSED,n=628
S31::9584b16899ad,S31,ANALYSED,n=623
S38::3029c9493a71,S38,ANALYSED,n=7763
S39::cdecf371316b,S39,ANALYSED,n=11379
S40::43b9c7dbd606,S40,ANALYSED,n=21477
S41::73a2a8a65e5e,S41,ANALYSED,n=9586
S42::a347eead7c5d,S42,ANALYSED,n=2280
S43::6aacd27a298d,S43,ANALYSED,n=24638
S44::3d6f380511c2,S44,ANALYSED,n=16012
S45::4809d6e42bc2,S45,ANALYSED,n=12772
S46::28bd0e966c33,S46,ANALYSED,n=5396
S48::6d74b2000433,S48,ANALYSED,n=6453
S50::9cc65b2c5452,S50,ANALYSED,n=22126
S51::049ca99687f4,S51,ANALYSED,n=14402
HTF_PBK_TREND,HTF_PBK_TREND,ANALYSED,n=324 (V1 log)
HTF_RANGE_FADE,HTF_RANGE_FADE,ANALYSED,n=760 (V1 log)
HTF_RECLAIM,HTF_RECLAIM,ANALYSED,n=6834 (V1 log)
HTF_TGT_BREAK,HTF_TGT_BREAK,ANALYSED,n=460 (V1 log)
OBEXEC_B,OBEXEC_B,ANALYSED,n=2160 (V1 log)
OBEXEC_C,OBEXEC_C,ANALYSED,n=1896 (V1 log)
OBEXEC_D,OBEXEC_D,ANALYSED,n=955 (V1 log)
OBR_A_limit,OBR_A_limit,ANALYSED,n=2486 (V1 log)
SESS_A,SESS_A,ANALYSED,n=3293 (V1 log)
SESS_B,SESS_B,ANALYSED,n=3056 (V1 log)
SESS_C,SESS_C,ANALYSED,n=1748 (V1 log)
SESS_D,SESS_D,ANALYSED,n=2784 (V1 log)
SESS_E,SESS_E,ANALYSED,n=989 (V1 log)
SESS_Fc,SESS_Fc,ANALYSED,n=2958 (V1 log)
CAND0001,CAND0001,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0002,CAND0002,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0004,CAND0004,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0005,CAND0005,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0006,CAND0006,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0009,CAND0009,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0027,CAND0027,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0037,CAND0037,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
CAND0038,CAND0038,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E005,E005,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E006,E006,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E008,E008,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E009,E009,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E010,E010,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E011,E011,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E012,E012,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E014,E014,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E015,E015,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E017,E017,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E025,E025,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E026,E026,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E027,E027,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E028,E028,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
