feature,objects,families,mechanisms,feature_name,RECURRENCE_GATE
f011,10,10,8,halfhour_bucket_utc,True
f017,7,7,5,hour_utc,True
f016,6,5,3,bars_to_sess_end,True
f005,5,4,4,atr_over_atrma,False
f015,4,3,3,compress_flag,False
f039,4,4,4,session_id,False
f040,4,3,3,bar_in_sess,False
f028,3,3,3,dist_prev_sess_high_atr,False
f022,3,2,2,rloc_20,False
f013,3,3,3,vol_rel_20,False
f037,3,3,3,disp_recent,False
f003,2,2,1,vol_rel_sess,False
f009,2,2,2,dist_pdl_atr,False
f007,2,2,2,ret_96_atr,False
f004,2,2,2,dist_or_low_atr,False
f008,2,2,2,dist_vwap_atr,False
f030,2,2,2,rloc_96,False
f026,2,2,2,rloc_50,False
f006,1,1,1,realvol_ratio,False
f010,1,1,1,bars_since_20bar_high,False
f012,1,1,1,dist_pwl_atr,False
f001,1,1,1,weekday,False
f024,1,1,1,h1_trend_state,False
f033,1,1,1,rloc_sess,False
f027,1,1,1,atr_pct_rank,False
f021,1,1,1,fvg_present,False
f036,1,1,1,dist_prev_sess_low_atr,False
f038,1,1,1,ret_4_atr,False
f041,1,1,1,ret_12_atr,False
f042,1,1,1,dist_pdmid_atr,False
f046,1,1,1,h4_trend_state,False
