feature,feature_name,mechanisms,RECURRENCE_GATE
f001,weekday,1,False
f003,vol_rel_sess,1,False
f004,dist_or_low_atr,2,False
f005,atr_over_atrma,4,False
f006,realvol_ratio,1,False
f007,ret_96_atr,2,False
f008,dist_vwap_atr,2,False
f009,dist_pdl_atr,2,False
f010,bars_since_20bar_high,1,False
f011,halfhour_bucket_utc,8,True
f012,dist_pwl_atr,1,False
f013,vol_rel_20,3,False
f015,compress_flag,3,False
f016,bars_to_sess_end,3,True
f017,hour_utc,5,True
f021,fvg_present,1,False
f022,rloc_20,2,False
f024,h1_trend_state,1,False
f026,rloc_50,2,False
f027,atr_pct_rank,1,False
f028,dist_prev_sess_high_atr,3,False
f030,rloc_96,2,False
f033,rloc_sess,1,False
f036,dist_prev_sess_low_atr,1,False
f037,disp_recent,3,False
f038,ret_4_atr,1,False
f039,session_id,4,False
f040,bar_in_sess,3,False
f041,ret_12_atr,1,False
f042,dist_pdmid_atr,1,False
f046,h4_trend_state,1,False
