object,family,mechanism,feature,omni_p,bp_bin,bp_exp,bp_N,bp_lift,rank,fdr
CAND0001,CAND0001,M14_REFERENCE_LEVEL,f017,0.0,3.0,1.578682090308432,68,1.4698041868301146,1,True
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,f037,0.0,,,0,,2,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f003,0.0,,,0,,3,True
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,f021,0.0,,,0,,4,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f039,0.0,,,0,,5,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f015,0.0,,,0,,6,True
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f015,0.0,,,0,,7,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f016,0.0,,,0,,8,True
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f039,0.0,2.0,0.028794527335164386,187,0.21160471654693674,9,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f015,0.0,,,0,,10,True
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f015,0.0,,,0,,11,True
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f034,0.0,,,0,,12,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,0.0,,,0,,13,True
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,0.0,0.0,0.025200852783838712,565,0.2207865511292137,14,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f017,0.0,22.0,0.3819597329055727,76,0.7161849669363058,15,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f011,0.0,44.0,0.4016895260298661,75,0.7373080985959746,16,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f039,0.0,1.0,0.2602769732906272,111,0.6170797220196254,17,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f015,0.0,,,0,,18,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f027,0.0,,,0,,19,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f015,0.0,,,0,,20,True
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f036,0.0,2.0,0.42885123029774397,37,0.5755031957922581,21,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f015,4.440892098500626e-16,,,0,,22,True
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f004,1.1102230246251565e-15,1.0,0.44000639797732033,56,0.6211635876811157,23,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f005,1.1102230246251565e-15,,,0,,24,True
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,1.7763568394002505e-15,,,0,,25,True
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f008,2.220446049250313e-15,1.0,0.4951576567499689,42,0.6580342236483648,26,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f027,3.3306690738754696e-15,,,0,,27,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f015,1.0658141036401503e-14,1.0,0.12233197554895944,73,0.2919197575164419,28,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f005,1.1102230246251565e-14,,,0,,29,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f016,1.3322676295501878e-14,0.0,0.40052904342350354,88,0.753872630592206,30,True
