object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig,feature_name
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f034,1,0.0,,,0,0,,,-0.1625746944243231,1,9.66183574879227e-06,True,run_len_same_dir
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f015,2,0.0,,,0,0,,,-0.1512493477368903,2,1.932367149758454e-05,True,compress_flag
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f015,2,0.0,,,0,0,,,-0.1698854030120568,3,2.8985507246376814e-05,True,compress_flag
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f015,2,0.0,,,0,0,,,-0.1615200875385349,4,3.864734299516908e-05,True,compress_flag
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f015,2,0.0,,,0,0,,,-0.3652404446864761,5,4.830917874396135e-05,True,compress_flag
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f016,5,0.0,,,0,0,,,-0.3652404446864761,6,5.797101449275363e-05,True,bars_to_sess_end
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f015,2,0.0,,,0,0,,,-0.1821402258358029,7,6.76328502415459e-05,True,compress_flag
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,2,0.0,,,0,0,,,-0.2239875030282,8,7.729468599033817e-05,True,compress_flag
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f015,2,0.0,,,0,0,,,-0.1757948604079745,9,8.695652173913044e-05,True,compress_flag
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f003,5,0.0,,,0,0,,,-0.1757948604079745,10,9.66183574879227e-05,True,vol_rel_sess
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f027,5,0.0,,,0,0,,,-0.1757948604079745,11,0.0001062801932367,True,atr_pct_rank
S31::9584b16899ad,S31,M06_SESSION_TIME,f017,2,0.0,22.0,0.3819597329055727,76,76,0.7161849669363058,4.204502248540223,-0.2468575655120184,12,0.0001159420289855,True,hour_utc
