object,family,mechanism,direction,feature,condition,N,subset_exp,remainder_exp,lift,PF,WR,chrono3,drop5,top1_share,active_years,trades_per_year,eff_trades_per_year,unique_days,episodes,max_per_day,effective_N,zero_years,max_year_share,N_req_100,N_req_50,time_to_30_mo,time_to_50_mo,time_to_100_mo,months_min_useful,months_reasonable,horizon,discovery_strength,independent_from_S5,causal_at_decision,_s,mo_powered_shrunk,mo_powered_full
CAND0004,CAND0004,M13_IMBALANCE_FVG,BOTH,bars_to_sess_end,bars_to_sess_end=2.0,41,0.6824,-0.245,0.9274,2.12,0.39,3,0.1042,0.33,14.2,2.89,2.89,41,39,1,41,11,0.54,133.0,533.0,124.6,207.7,415.4,124.6,415.4,IMPRACTICAL,MEDIUM,YES,YES,1,2213.1487889273353,552.2491349480969
CAND0006,CAND0006,M14_REFERENCE_LEVEL,BOTH,dist_pdl_atr,dist_pdl_atr=1.0,51,0.6633,-0.2055,0.8688,1.9,0.314,2,0.0321,0.37,14.2,3.6,3.6,51,51,1,51,4,0.16,194.0,775.0,100.0,166.6,333.2,100.0,333.2,IMPRACTICAL,MEDIUM,YES,YES,1,2583.333333333333,646.6666666666666
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,SHORT,dist_prev_sess_high_atr,dist_prev_sess_high_atr=0.0,65,0.4926,-0.1881,0.6807,2.08,0.538,2,0.3941,0.06,15.0,4.34,3.74,56,51,3,56,6,0.31,66.0,265.0,96.3,160.5,321.0,96.3,321.0,IMPRACTICAL,MEDIUM,YES,YES,1,850.2673796791443,211.76470588235293
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,BOTH,bars_to_sess_end,bars_to_sess_end=1.0,52,0.4339,-0.0415,0.4754,3.2,0.673,3,0.34,0.09,15.0,3.47,3.47,52,52,1,52,0,0.13,37.0,148.0,103.9,173.1,346.2,103.9,346.2,IMPRACTICAL,HIGH,YES,YES,0,511.81556195965413,127.95389048991353
S31::9584b16899ad,S31,M06_SESSION_TIME,SHORT,bar_in_sess,bar_in_sess=4.0,84,0.4161,-0.3502,0.7663,1.77,0.536,3,0.3185,0.06,15.0,5.6,5.6,84,84,1,84,0,0.08,100.0,402.0,64.3,107.1,214.3,64.3,214.3,IMPRACTICAL,HIGH,PARTIAL,YES,0,861.4285714285716,214.28571428571428
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,SHORT,rloc_20,rloc_20=0.0,30,0.3944,-0.316,0.7104,1.73,0.533,3,0.2833,0.17,15.0,2.0,2.0,30,30,1,30,4,0.13,113.0,452.0,180.0,300.0,600.0,180.0,600.0,IMPRACTICAL,LOW,YES,YES,2,2712.0,678.0
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,BOTH,hour_utc,hour_utc=12.0,51,0.359,-0.181,0.54,1.71,0.529,3,0.2576,0.11,15.0,3.4,3.33,50,48,2,50,3,0.29,123.0,493.0,108.0,180.0,360.0,108.0,360.0,IMPRACTICAL,HIGH,YES,YES,0,1776.5765765765764,443.2432432432432
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,BOTH,vol_rel_20,vol_rel_20=4.0,113,0.3385,-0.2238,0.5623,1.62,0.496,2,0.247,0.05,3.4,32.93,27.39,94,80,2,94,0,0.35,87.0,347.0,13.1,21.9,43.8,13.1,43.8,SLOW,MEDIUM,YES,YES,1,152.026286966046,38.11610076670318
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,LONG,atr_over_atrma,atr_over_atrma=1.0,80,0.2903,-0.0965,0.3868,1.51,0.45,2,0.2009,0.09,15.0,5.34,5.01,75,70,2,75,2,0.2,163.0,653.0,71.9,119.8,239.6,71.9,239.6,IMPRACTICAL,MEDIUM,YES,YES,1,1564.0718562874251,390.4191616766467
S6::7199b701458a,S6,M06_SESSION_TIME,SHORT,dist_or_low_atr,dist_or_low_atr=4.0,96,0.2689,-0.5394,0.8084,1.46,0.531,3,0.177,0.08,14.9,6.42,5.55,83,82,2,83,0,0.16,274.0,1094.0,64.8,108.1,216.1,64.8,216.1,IMPRACTICAL,HIGH,PARTIAL,YES,0,2365.4054054054054,592.4324324324325
S29::10d4532019fd,S29,M06_SESSION_TIME,SHORT,dist_prev_sess_low_atr,dist_prev_sess_low_atr=3.0,165,0.2193,-0.2156,0.4348,1.35,0.479,2,0.1184,0.05,15.0,11.01,11.01,165,165,1,165,0,0.08,371.0,1486.0,32.7,54.5,109.0,32.7,109.0,IMPRACTICAL,MEDIUM,PARTIAL,YES,1,1619.6185286103544,404.35967302452315
CAND0038,CAND0038,M10_DISPLACEMENT_CONTINUATION,BOTH,dist_pwl_atr,dist_pwl_atr=3.0,44,0.1964,0.0297,0.1667,2.63,0.614,3,0.1148,0.18,14.2,3.11,3.11,44,44,1,44,5,0.18,64.0,255.0,115.8,193.1,386.2,115.8,386.2,IMPRACTICAL,MEDIUM,YES,YES,1,983.9228295819936,246.94533762057878
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,LONG,halfhour_bucket_utc,halfhour_bucket_utc=45.0,48,0.1904,-0.171,0.3615,1.32,0.479,3,0.0719,0.22,15.0,3.2,3.2,48,47,1,48,1,0.12,455.0,1820.0,112.5,187.5,375.0,112.5,375.0,IMPRACTICAL,MEDIUM,YES,YES,1,6825.0,1706.25
S19::762b6018f2c5,S19,M15_GAP,BOTH,weekday,weekday=4.0,41,0.1878,-0.4764,0.6643,1.31,0.439,3,0.0466,0.26,15.0,2.74,2.74,41,41,1,41,10,0.46,487.0,1948.0,131.4,219.0,438.1,131.4,438.1,IMPRACTICAL,MEDIUM,YES,YES,1,8531.38686131387,2132.8467153284673
S9::731bd4dd4aa4,S9,M09_MTF_ALIGNMENT,BOTH,session_id,session_id=1.0,84,0.1788,-0.0074,0.1862,1.29,0.429,2,0.0649,0.13,3.5,23.89,23.32,82,68,2,82,0,0.4,455.0,1820.0,15.4,25.7,51.5,15.4,51.5,SLOW,MEDIUM,YES,YES,1,936.5351629502572,234.1337907375643
CAND0037,CAND0037,M03_BREAKOUT_RETEST,BOTH,ret_12_atr,ret_12_atr=2.0,34,0.1654,0.0486,0.1168,2.03,0.647,3,0.1076,0.22,14.2,2.4,2.4,34,34,1,34,5,0.18,94.0,378.0,150.1,250.2,500.4,150.1,500.4,IMPRACTICAL,LOW,YES,YES,2,1890.0,470.00000000000006
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,BOTH,hour_utc,hour_utc=4.0,87,0.1629,-0.0456,0.2085,1.75,0.713,3,0.1143,0.07,14.2,6.12,5.98,85,80,2,85,5,0.28,120.0,480.0,60.2,100.3,200.5,60.2,200.5,IMPRACTICAL,MEDIUM,YES,YES,1,963.210702341137,240.80267558528425
SESS_D,SESS_D,M06_SESSION_TIME,BOTH,realvol_ratio,realvol_ratio=2.0,449,0.1573,-0.0621,0.2194,1.29,0.441,2,0.0588,0.11,15.0,29.93,29.93,449,342,1,449,0,0.1,580.0,2319.0,12.0,20.0,40.1,12.0,40.1,SLOW,MEDIUM,PARTIAL,YES,1,929.7694620781824,232.5425993985967
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,SHORT,dist_pdl_atr,dist_pdl_atr=2.0,226,0.1551,-0.1087,0.2638,1.26,0.434,2,0.054,0.11,15.0,15.11,14.91,223,204,2,223,5,0.14,593.0,2371.0,24.2,40.3,80.5,24.2,80.5,IMPRACTICAL,MEDIUM,NO,YES,1,1908.2494969818913,477.2635814889336
S39::cdecf371316b,S39,M07_TREND_CONTINUATION,BOTH,halfhour_bucket_utc,halfhour_bucket_utc=28.0,383,0.1243,-0.1671,0.2914,1.22,0.439,2,0.0231,0.12,15.0,25.53,25.53,383,353,1,383,0,0.09,944.0,3777.0,14.1,23.5,47.0,14.1,47.0,SLOW,MEDIUM,YES,YES,1,1775.3231492361929,443.71327849588715
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,LONG,rloc_50,rloc_50=4.0,57,0.1024,-0.2816,0.3839,1.15,0.491,2,0.0051,0.33,15.0,3.8,3.4,51,51,2,51,2,0.18,1430.0,5720.0,105.9,176.5,353.0,105.9,353.0,IMPRACTICAL,MEDIUM,YES,YES,1,20188.23529411765,5047.058823529413
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,M25_DIRECTION_AGNOSTIC_OCO,BOTH,compress_flag,compress_flag=0.0,765,0.0554,-0.0344,0.0898,1.14,0.55,2,0.0051,0.16,15.0,51.0,51.0,765,505,1,765,0,0.12,2125.0,8500.0,7.1,11.8,23.5,7.1,23.5,MEDIUM,LOW,YES,YES,2,2000.0,500.0
