object,family,mechanism,feature,condition,best_pos_N,best_pos_exp,best_pos_lift,pooled_exp,omni_p
S6::7199b701458a,S6,M06_SESSION_TIME,f004,dist_or_low_atr=4.0,96,0.2689296369610381,0.8083741928008694,-0.5031640871587263,4.38762983723251e-07
S31::9584b16899ad,S31,M06_SESSION_TIME,f040,bar_in_sess=4.0,84,0.4161434787787093,0.76632588236201,-0.2468575655120184,2.2512835275989573e-06
S31::9584b16899ad,S31,M06_SESSION_TIME,f016,bars_to_sess_end=0.0,88,0.4005290434235035,0.753872630592206,-0.2468575655120184,1.3322676295501878e-14
S19::762b6018f2c5,S19,M15_GAP,f021,fvg_present=1.0,66,0.1001192218429366,0.745572911686469,-0.2669320577565558,3.33912790750901e-08
S31::9584b16899ad,S31,M06_SESSION_TIME,f011,halfhour_bucket_utc=44.0,75,0.4016895260298661,0.7373080985959746,-0.2468575655120184,0.0
S31::9584b16899ad,S31,M06_SESSION_TIME,f017,hour_utc=22.0,76,0.3819597329055727,0.7161849669363058,-0.2468575655120184,0.0
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f022,rloc_20=0.0,30,0.3943699398576296,0.7103682301458776,-0.3144243577251478,2.154912924767771e-06
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f028,dist_prev_sess_high_atr=0.0,65,0.4925924139527721,0.6806909032764012,-0.152388312799847,0.0005107606270615
S31::9584b16899ad,S31,M06_SESSION_TIME,f039,session_id=1.0,111,0.2602769732906272,0.6170797220196254,-0.2468575655120184,0.0
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f026,rloc_50=0.0,43,0.4364213239831417,0.6099792140251865,-0.152388312799847,1.2945428173871676e-07
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f013,vol_rel_20=4.0,113,0.3384686430896529,0.5622560878564171,-0.0214468781177987,8.842268211073367e-05
S31::9584b16899ad,S31,M06_SESSION_TIME,f003,vol_rel_sess=2.0,43,0.2670879409100197,0.5520483629326376,-0.2468575655120184,1.1613111361441497e-07
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f017,hour_utc=12.0,51,0.3589571168564324,0.5399625978782412,-0.1768749736734077,3.8300207449992735e-10
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f030,rloc_96=0.0,70,0.3074093193063619,0.4873304244478981,-0.152388312799847,0.0003779366729605
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f016,bars_to_sess_end=1.0,52,0.4339192971680592,0.4754131557997159,-0.0369124123563443,0.0013903564062189
S18::3933c532ec9c,S18,M06_SESSION_TIME,f016,bars_to_sess_end=2.0,31,0.189887288871507,0.4642312688132561,-0.2706234087594297,0.0002863838668123
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f005,atr_over_atrma=0.0,31,0.2914603274364578,0.4552387957390577,-0.152388312799847,0.0006130726745168
S29::10d4532019fd,S29,M06_SESSION_TIME,f036,dist_prev_sess_low_atr=3.0,165,0.2192777547479473,0.4348294724274441,-0.1239209859419127,0.0010661511103304
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f011,halfhour_bucket_utc=43.0,42,0.1077417250449205,0.4234796829683454,-0.3144243577251478,0.0026330853635059
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f010,bars_since_20bar_high=4.0,123,0.2211150233848136,0.4146690264630776,-0.152388312799847,1.1891379791961755e-07
