setup_id,object,family,mechanism,rep_id,N,wins,losses,WR,base_expR,sdR,spec_hash,date_start,date_end
BASE_SETUP_01,S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,6ddb75c3f9b1,13540,4569,8971,0.337,-0.3144,1.416,8e68323e450667ba,2011-07-27,2026-07-26
BASE_SETUP_02,S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,691f36c634e3,7148,2482,4666,0.347,-0.226,1.404,7992d515a74a5bfc,2011-07-27,2026-07-27
BASE_SETUP_03,S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,7aafa506c507,11720,5454,6266,0.465,-0.3737,1.362,8ec8d738e87b53a1,2011-07-27,2026-07-26
BASE_SETUP_04,S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,cf232107e3b5,11007,3704,7303,0.337,-0.224,1.399,8e03fadbe8524d54,2011-07-28,2026-07-27
BASE_SETUP_05,S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,b7adfd7f9d4f,7456,2576,4880,0.345,-0.1741,1.385,729f86c79dc19cb5,2011-07-27,2026-07-27
BASE_SETUP_06,S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,7df75fdb8ecb,13834,5078,8756,0.367,-0.1954,1.348,32d8d047550da435,2011-07-27,2026-07-27
BASE_SETUP_07,S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,576394ea476f,5092,2128,2964,0.418,-0.0581,1.053,cd01be9bf2ca76f7,2011-07-27,2026-07-26
BASE_SETUP_08,S12::884efeda36f3,S12,M12_RANGE_ROTATION,884efeda36f3,15005,6468,8537,0.431,-0.2324,1.218,fcd45c75dc6fe6fd,2011-07-27,2026-07-27
BASE_SETUP_09,S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,7d288aa44d52,15985,5629,10356,0.352,-0.1512,1.361,4b8cd21269856220,2011-07-26,2026-07-27
BASE_SETUP_10,S27::8492323d86e4,S27,M16_AUCTION_VALUE,8492323d86e4,25010,13227,11783,0.529,-0.1758,0.711,1845fba5dd145eee,2011-07-26,2026-07-27
