object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f034,1,0.0,,,0,0,,,-0.16257469442432315,1,9.66183574879227e-06,True
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f015,2,0.0,,,0,0,,,-0.15124934773689036,2,1.932367149758454e-05,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f015,2,0.0,,,0,0,,,-0.16988540301205682,3,2.8985507246376814e-05,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f015,2,0.0,,,0,0,,,-0.16152008753853492,4,3.864734299516908e-05,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f015,2,0.0,,,0,0,,,-0.36524044468647615,5,4.830917874396135e-05,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f016,5,0.0,,,0,0,,,-0.36524044468647615,6,5.797101449275363e-05,True
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f015,2,0.0,,,0,0,,,-0.18214022583580294,7,6.76328502415459e-05,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,2,0.0,,,0,0,,,-0.22398750302820006,8,7.729468599033817e-05,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f015,2,0.0,,,0,0,,,-0.1757948604079745,9,8.695652173913044e-05,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f003,5,0.0,,,0,0,,,-0.1757948604079745,10,9.66183574879227e-05,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f027,5,0.0,,,0,0,,,-0.1757948604079745,11,0.00010628019323671498,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f017,2,0.0,22.0,0.3819597329055727,76,76,0.7161849669363058,4.204502248540223,-0.24685756551201846,12,0.00011594202898550725,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f011,2,0.0,44.0,0.4016895260298661,75,75,0.7373080985959746,4.300118538785948,-0.24685756551201846,13,0.0001256038647342995,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f039,2,0.0,1.0,0.2602769732906272,111,111,0.6170797220196254,4.368930137036532,-0.24685756551201846,14,0.0001352657004830918,True
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f039,4,0.0,2.0,0.028794527335164386,187,173,0.21160471654693674,1.99936204914885,-0.17687497367340774,15,0.00014492753623188405,True
S23::866611e1c7db,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,2,0.0,0.0,0.025200852783838712,565,555,0.2207865511292137,3.8535470510176983,-0.17687497367340774,16,0.00015458937198067633,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f039,4,0.0,,,0,0,,,-0.1757948604079745,17,0.0001642512077294686,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f015,2,4.440892098500626e-16,,,0,0,,,-0.1929964957240371,18,0.00017391304347826088,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f005,5,1.1102230246251565e-15,,,0,0,,,-0.1757948604079745,19,0.00018357487922705316,True
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f015,2,1.7763568394002505e-15,,,0,0,,,-0.16428795833193302,20,0.0001932367149758454,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f027,5,3.3306690738754696e-15,,,0,0,,,-0.1929964957240371,21,0.0002028985507246377,True
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f015,2,1.0658141036401503e-14,1.0,0.12233197554895944,73,64,0.2919197575164419,1.6814855814308054,-0.15238831279984705,22,0.00021256038647342996,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f005,5,1.1102230246251565e-14,,,0,0,,,-0.36524044468647615,23,0.00022222222222222223,True
S31::9584b16899ad,S31,M06_SESSION_TIME,f016,3,1.3322676295501878e-14,0.0,0.40052904342350354,88,88,0.753872630592206,4.778604283593512,-0.24685756551201846,24,0.0002318840579710145,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f003,5,2.220446049250313e-14,,,0,0,,,-0.36524044468647615,25,0.00024154589371980676,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f015,2,3.241851231905457e-14,,,0,0,,,-0.3737354389272471,26,0.000251207729468599,True
SESS_E,SESS_E,M06_SESSION_TIME,f015,2,4.04121180963557e-14,,,0,0,,,-0.1706719129068075,27,0.00026086956521739134,True
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f017,24,2.7711166694643907e-13,,,0,0,,,-0.1757948604079745,28,0.0002705314009661836,True
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f015,2,6.781242234410456e-13,,,0,0,,,-0.19540252563132476,29,0.0002801932367149759,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f016,5,1.4444001550373287e-12,,,0,0,,,-0.3737354389272471,30,0.0002898550724637681,True
