feature,family,kind
c1_mm_net_oi,C1,COT
c1_pm_net_oi,C1,COT
c1_sw_net_oi,C1,COT
c1_or_net_oi,C1,COT
c1_mm_long_oi,C1,COT
c1_mm_short_oi,C1,COT
c2_dmm_net_1,C2,COT
c2_dpm_net_1,C2,COT
c2_dmm_net_2,C2,COT
c2_dpm_net_2,C2,COT
c2_dmm_net_4,C2,COT
c2_dpm_net_4,C2,COT
c2_dmm_net_8,C2,COT
c2_dpm_net_8,C2,COT
c2_dmm_long_1,C2,COT
c2_dmm_short_1,C2,COT
c3_mm_pct104,C3,COT
c3_mm_z104,C3,COT
c3_pm_pct104,C3,COT
c3_mm_dist_median,C3,COT
c4_mm_vs_pm,C4,COT
c4_spec_vs_comm,C4,COT
c4_dmm_vs_dsw_4,C4,COT
c5_price_x_dmm4,C5,COT
c5_price_x_mmextreme,C5,COT
c5_xau_x_mmnet,C5,COT
