setup,rep,retention,sel_N,sel_exp,sel_exp_stress,winners_retained,losers_avoided,drop5,sel_per_year,folds_pos,fold_exps
SETUP_1,A_xau,0.8,5297,-0.3642,-0.4142,0.502,0.507,-0.4829,353.1,0,"[np.float64(-0.4205), np.float64(-0.3207), np.float64(-0.3092)]"
SETUP_1,A_xau,0.6,3865,-0.3474,-0.3974,0.369,0.642,-0.4659,257.7,0,"[np.float64(-0.4038), np.float64(-0.3051), np.float64(-0.2796)]"
SETUP_1,A_xau,0.4,2536,-0.3174,-0.3674,0.248,0.768,-0.4343,169.1,0,"[np.float64(-0.3457), np.float64(-0.2886), np.float64(-0.3261)]"
SETUP_1,A_xau,0.2,1270,-0.2957,-0.3457,0.126,0.885,-0.4127,84.7,0,"[np.float64(-0.4253), np.float64(-0.1643), np.float64(-0.3064)]"
SETUP_1,B_price,0.8,5259,-0.3637,-0.4137,0.498,0.511,-0.4823,350.6,0,"[np.float64(-0.4215), np.float64(-0.3209), np.float64(-0.2965)]"
SETUP_1,B_price,0.6,3871,-0.3507,-0.4007,0.37,0.642,-0.4691,258.1,0,"[np.float64(-0.3939), np.float64(-0.3161), np.float64(-0.3129)]"
SETUP_1,B_price,0.4,2530,-0.3254,-0.3754,0.245,0.768,-0.4429,168.7,0,"[np.float64(-0.3791), np.float64(-0.2794), np.float64(-0.314)]"
SETUP_1,B_price,0.2,1238,-0.3017,-0.3517,0.122,0.887,-0.4184,82.5,0,"[np.float64(-0.4433), np.float64(-0.1615), np.float64(-0.3069)]"
SETUP_1,C_volume,0.8,5273,-0.3505,-0.4005,0.507,0.513,-0.4685,351.5,0,"[np.float64(-0.4025), np.float64(-0.3145), np.float64(-0.2703)]"
SETUP_1,C_volume,0.6,3941,-0.3368,-0.3868,0.383,0.638,-0.4545,262.7,0,"[np.float64(-0.401), np.float64(-0.2891), np.float64(-0.2573)]"
SETUP_1,C_volume,0.4,2628,-0.3061,-0.3561,0.262,0.762,-0.4225,175.2,0,"[np.float64(-0.3603), np.float64(-0.2517), np.float64(-0.3361)]"
SETUP_1,C_volume,0.2,1294,-0.3274,-0.3774,0.126,0.882,-0.4452,86.3,0,"[np.float64(-0.3849), np.float64(-0.2356), np.float64(-0.4685)]"
SETUP_1,D_oi,0.8,5104,-0.3517,-0.4017,0.488,0.528,-0.4702,340.3,0,"[np.float64(-0.4244), np.float64(-0.3079), np.float64(-0.237)]"
SETUP_1,D_oi,0.6,3701,-0.3492,-0.3992,0.353,0.657,-0.4679,246.7,0,"[np.float64(-0.3903), np.float64(-0.3248), np.float64(-0.3081)]"
SETUP_1,D_oi,0.4,2406,-0.2975,-0.3475,0.241,0.783,-0.4138,160.4,0,"[np.float64(-0.3447), np.float64(-0.2726), np.float64(-0.2533)]"
SETUP_1,D_oi,0.2,1161,-0.2985,-0.3485,0.116,0.895,-0.4167,77.4,0,"[np.float64(-0.4188), np.float64(-0.2171), np.float64(-0.2707)]"
SETUP_1,E_cot,0.8,5525,-0.34,-0.39,0.528,0.488,-0.4581,368.3,0,"[np.float64(-0.4041), np.float64(-0.315), np.float64(-0.2547)]"
SETUP_1,E_cot,0.6,4860,-0.3421,-0.3921,0.459,0.547,-0.4602,324.0,0,"[np.float64(-0.4286), np.float64(-0.3147), np.float64(-0.2841)]"
SETUP_1,E_cot,0.4,4193,-0.3117,-0.3617,0.405,0.614,-0.4285,279.5,0,"[np.float64(-0.3536), np.float64(-0.3045), np.float64(-0.2381)]"
SETUP_1,E_cot,0.2,3268,-0.3033,-0.3533,0.316,0.699,-0.42,217.9,1,"[np.float64(-0.326), np.float64(-0.3091), np.float64(0.0726)]"
SETUP_1,F_price_cot,0.8,5544,-0.3391,-0.3891,0.53,0.487,-0.4572,369.6,0,"[np.float64(-0.3981), np.float64(-0.3158), np.float64(-0.259)]"
SETUP_1,F_price_cot,0.6,4841,-0.3406,-0.3906,0.458,0.55,-0.459,322.7,0,"[np.float64(-0.4114), np.float64(-0.3172), np.float64(-0.3062)]"
SETUP_1,F_price_cot,0.4,4189,-0.3214,-0.3714,0.402,0.613,-0.4388,279.3,0,"[np.float64(-0.3804), np.float64(-0.3092), np.float64(-0.2577)]"
SETUP_1,F_price_cot,0.2,3275,-0.3112,-0.3612,0.314,0.697,-0.428,218.3,0,"[np.float64(-0.333), np.float64(-0.3143), np.float64(-0.0803)]"
SETUP_1,G_vol_oi_cot,0.8,5658,-0.3446,-0.3946,0.54,0.476,-0.4626,377.2,0,"[np.float64(-0.4199), np.float64(-0.3077), np.float64(-0.2969)]"
SETUP_1,G_vol_oi_cot,0.6,4835,-0.3347,-0.3847,0.461,0.552,-0.4524,322.3,0,"[np.float64(-0.4021), np.float64(-0.3103), np.float64(-0.3215)]"
SETUP_1,G_vol_oi_cot,0.4,4127,-0.3142,-0.3642,0.399,0.62,-0.4311,275.1,0,"[np.float64(-0.3513), np.float64(-0.3008), np.float64(-0.3673)]"
SETUP_1,G_vol_oi_cot,0.2,3090,-0.3017,-0.3517,0.299,0.716,-0.4183,206.0,0,"[np.float64(-0.3112), np.float64(-0.2967), np.float64(-0.3727)]"
SETUP_2,A_xau,0.8,7763,-0.322,-0.372,0.868,0.167,-0.4374,517.5,0,"[np.float64(-0.5305), np.float64(-0.3553), np.float64(-0.1747)]"
SETUP_2,A_xau,0.6,6249,-0.2743,-0.3243,0.721,0.349,-0.3879,416.6,0,"[np.float64(-0.4822), np.float64(-0.3458), np.float64(-0.1306)]"
SETUP_2,A_xau,0.4,4516,-0.218,-0.268,0.537,0.544,-0.3293,301.1,0,"[np.float64(-0.4984), np.float64(-0.3005), np.float64(-0.0783)]"
SETUP_2,A_xau,0.2,2565,-0.1057,-0.1557,0.324,0.758,-0.2125,171.0,1,"[np.float64(-0.4418), np.float64(-0.2204), np.float64(0.0231)]"
SETUP_2,B_price,0.8,7741,-0.3209,-0.3709,0.866,0.17,-0.4363,516.0,0,"[np.float64(-0.5345), np.float64(-0.3515), np.float64(-0.1736)]"
SETUP_2,B_price,0.6,6215,-0.2783,-0.3283,0.715,0.351,-0.392,414.3,0,"[np.float64(-0.5152), np.float64(-0.3439), np.float64(-0.129)]"
SETUP_2,B_price,0.4,4457,-0.2161,-0.2661,0.531,0.551,-0.3273,297.1,0,"[np.float64(-0.4698), np.float64(-0.3077), np.float64(-0.0771)]"
SETUP_2,B_price,0.2,2481,-0.105,-0.155,0.315,0.767,-0.2121,165.4,1,"[np.float64(-0.3741), np.float64(-0.2215), np.float64(0.0119)]"
SETUP_2,C_volume,0.8,7404,-0.3187,-0.3687,0.829,0.207,-0.434,493.6,0,"[np.float64(-0.5123), np.float64(-0.3783), np.float64(-0.173)]"
SETUP_2,C_volume,0.6,5799,-0.2711,-0.3211,0.669,0.396,-0.3846,386.6,0,"[np.float64(-0.4839), np.float64(-0.3491), np.float64(-0.1383)]"
SETUP_2,C_volume,0.4,4022,-0.1934,-0.2434,0.485,0.6,-0.304,268.1,0,"[np.float64(-0.4294), np.float64(-0.3171), np.float64(-0.0513)]"
SETUP_2,C_volume,0.2,2030,-0.1349,-0.1849,0.253,0.805,-0.2435,135.3,1,"[np.float64(-0.4267), np.float64(-0.3146), np.float64(0.0319)]"
SETUP_2,D_oi,0.8,7717,-0.3177,-0.3677,0.865,0.175,-0.4326,514.5,0,"[np.float64(-0.5054), np.float64(-0.3683), np.float64(-0.1711)]"
SETUP_2,D_oi,0.6,6212,-0.2715,-0.3215,0.717,0.353,-0.3849,414.1,0,"[np.float64(-0.467), np.float64(-0.357), np.float64(-0.124)]"
SETUP_2,D_oi,0.4,4497,-0.2184,-0.2684,0.536,0.547,-0.3296,299.8,0,"[np.float64(-0.4578), np.float64(-0.3077), np.float64(-0.0842)]"
SETUP_2,D_oi,0.2,2598,-0.1509,-0.2009,0.322,0.749,-0.2593,173.2,0,"[np.float64(-0.4168), np.float64(-0.2444), np.float64(-0.0351)]"
SETUP_2,E_cot,0.8,7363,-0.3286,-0.3786,0.819,0.206,-0.4444,490.9,0,"[np.float64(-0.5297), np.float64(-0.3386), np.float64(-0.1729)]"
SETUP_2,E_cot,0.6,5801,-0.2936,-0.3436,0.658,0.386,-0.4082,386.7,0,"[np.float64(-0.5195), np.float64(-0.316), np.float64(-0.1274)]"
SETUP_2,E_cot,0.4,4255,-0.2539,-0.3039,0.494,0.56,-0.3669,283.7,0,"[np.float64(-0.5165), np.float64(-0.1655), np.float64(-0.0824)]"
SETUP_2,E_cot,0.2,2730,-0.1997,-0.2497,0.327,0.727,-0.3109,182.0,0,"[np.float64(-0.4827), np.float64(-0.1531), np.float64(-0.0107)]"
SETUP_2,F_price_cot,0.8,7274,-0.3209,-0.3709,0.813,0.22,-0.4361,484.9,0,"[np.float64(-0.5345), np.float64(-0.3164), np.float64(-0.1653)]"
SETUP_2,F_price_cot,0.6,5727,-0.2988,-0.3488,0.647,0.392,-0.4138,381.8,0,"[np.float64(-0.5283), np.float64(-0.33), np.float64(-0.1305)]"
SETUP_2,F_price_cot,0.4,4260,-0.2528,-0.3028,0.495,0.56,-0.3655,284.0,0,"[np.float64(-0.5122), np.float64(-0.2134), np.float64(-0.0789)]"
SETUP_2,F_price_cot,0.2,2705,-0.2077,-0.2577,0.323,0.728,-0.3195,180.3,0,"[np.float64(-0.5024), np.float64(-0.3252), np.float64(-0.0049)]"
SETUP_2,G_vol_oi_cot,0.8,7169,-0.3222,-0.3722,0.8,0.23,-0.4377,477.9,0,"[np.float64(-0.5279), np.float64(-0.3537), np.float64(-0.1635)]"
SETUP_2,G_vol_oi_cot,0.6,5417,-0.2912,-0.3412,0.616,0.428,-0.4056,361.1,0,"[np.float64(-0.5071), np.float64(-0.376), np.float64(-0.129)]"
SETUP_2,G_vol_oi_cot,0.4,3815,-0.235,-0.285,0.449,0.611,-0.3473,254.3,0,"[np.float64(-0.4852), np.float64(-0.2888), np.float64(-0.0868)]"
SETUP_2,G_vol_oi_cot,0.2,2135,-0.1582,-0.2082,0.263,0.792,-0.2675,142.3,1,"[np.float64(-0.4898), np.float64(-0.367), np.float64(0.0242)]"
SETUP_3,A_xau,0.8,10165,-0.1366,-0.1866,0.631,0.531,-0.203,677.6,0,"[np.float64(-0.1917), np.float64(-0.0915), np.float64(-0.107)]"
SETUP_3,A_xau,0.6,7414,-0.1031,-0.1531,0.474,0.673,-0.1722,494.2,0,"[np.float64(-0.1499), np.float64(-0.072), np.float64(-0.0673)]"
SETUP_3,A_xau,0.4,5144,-0.0669,-0.1169,0.328,0.772,-0.1398,342.9,0,"[np.float64(-0.1069), np.float64(-0.0313), np.float64(-0.0539)]"
SETUP_3,A_xau,0.2,2674,-0.0373,-0.0873,0.162,0.872,-0.1193,178.2,0,"[np.float64(-0.0674), np.float64(-0.0055), np.float64(-0.0417)]"
SETUP_3,B_price,0.8,10110,-0.133,-0.183,0.626,0.532,-0.1993,673.9,0,"[np.float64(-0.1913), np.float64(-0.0946), np.float64(-0.0897)]"
SETUP_3,B_price,0.6,7218,-0.087,-0.137,0.472,0.694,-0.1554,481.1,0,"[np.float64(-0.1384), np.float64(-0.0541), np.float64(-0.0507)]"
SETUP_3,B_price,0.4,4591,-0.0301,-0.0801,0.308,0.814,-0.1024,306.0,0,"[np.float64(-0.0573), np.float64(-0.0166), np.float64(-0.0088)]"
SETUP_3,B_price,0.2,2379,0.036,-0.014,0.157,0.9,-0.0444,158.6,2,"[np.float64(0.0357), np.float64(0.0605), np.float64(-0.0057)]"
SETUP_3,C_volume,0.8,10199,-0.1348,-0.1848,0.634,0.53,-0.2014,679.8,0,"[np.float64(-0.1851), np.float64(-0.1014), np.float64(-0.0983)]"
SETUP_3,C_volume,0.6,7463,-0.0972,-0.1472,0.48,0.675,-0.1663,497.5,0,"[np.float64(-0.1431), np.float64(-0.0669), np.float64(-0.0648)]"
SETUP_3,C_volume,0.4,5032,-0.0606,-0.1106,0.325,0.782,-0.1335,335.4,0,"[np.float64(-0.1068), np.float64(-0.0199), np.float64(-0.0464)]"
SETUP_3,C_volume,0.2,2632,-0.0085,-0.0585,0.165,0.881,-0.089,175.4,1,"[np.float64(-0.0337), np.float64(0.0191), np.float64(-0.0137)]"
SETUP_3,D_oi,0.8,10054,-0.1358,-0.1858,0.625,0.537,-0.2026,670.2,0,"[np.float64(-0.1869), np.float64(-0.0973), np.float64(-0.1073)]"
SETUP_3,D_oi,0.6,7290,-0.1073,-0.1573,0.465,0.677,-0.1772,485.9,0,"[np.float64(-0.1556), np.float64(-0.0683), np.float64(-0.0852)]"
SETUP_3,D_oi,0.4,4951,-0.0789,-0.1289,0.313,0.778,-0.1527,330.0,0,"[np.float64(-0.1168), np.float64(-0.0552), np.float64(-0.051)]"
SETUP_3,D_oi,0.2,2620,-0.0429,-0.0929,0.159,0.875,-0.1253,174.6,0,"[np.float64(-0.0687), np.float64(-0.0175), np.float64(-0.0426)]"
SETUP_3,E_cot,0.8,10147,-0.1331,-0.1831,0.627,0.529,-0.1995,676.4,0,"[np.float64(-0.1857), np.float64(-0.0874), np.float64(-0.1142)]"
SETUP_3,E_cot,0.6,7611,-0.1091,-0.1591,0.482,0.659,-0.1782,507.3,0,"[np.float64(-0.157), np.float64(-0.067), np.float64(-0.0917)]"
SETUP_3,E_cot,0.4,5178,-0.0701,-0.1201,0.329,0.769,-0.1428,345.2,0,"[np.float64(-0.117), np.float64(-0.0254), np.float64(-0.0595)]"
SETUP_3,E_cot,0.2,2909,-0.0419,-0.0919,0.178,0.863,-0.1226,193.9,0,"[np.float64(-0.0704), np.float64(-0.0046), np.float64(-0.0457)]"
SETUP_3,F_price_cot,0.8,10028,-0.1304,-0.1804,0.619,0.533,-0.1971,668.4,0,"[np.float64(-0.189), np.float64(-0.0819), np.float64(-0.1022)]"
SETUP_3,F_price_cot,0.6,7137,-0.0874,-0.1374,0.462,0.692,-0.1569,475.7,0,"[np.float64(-0.1342), np.float64(-0.0451), np.float64(-0.0738)]"
SETUP_3,F_price_cot,0.4,4714,-0.0413,-0.0913,0.311,0.803,-0.1138,314.2,0,"[np.float64(-0.0701), np.float64(-0.0076), np.float64(-0.0423)]"
SETUP_3,F_price_cot,0.2,2566,0.0301,-0.0199,0.17,0.893,-0.0493,171.0,2,"[np.float64(0.0269), np.float64(0.0761), np.float64(-0.0014)]"
SETUP_3,G_vol_oi_cot,0.8,10162,-0.133,-0.183,0.626,0.526,-0.2012,677.4,0,"[np.float64(-0.1854), np.float64(-0.0934), np.float64(-0.1049)]"
SETUP_3,G_vol_oi_cot,0.6,7328,-0.0976,-0.1476,0.468,0.676,-0.1681,488.5,0,"[np.float64(-0.1506), np.float64(-0.0507), np.float64(-0.0791)]"
SETUP_3,G_vol_oi_cot,0.4,4969,-0.0666,-0.1166,0.317,0.781,-0.1411,331.2,0,"[np.float64(-0.1103), np.float64(-0.0228), np.float64(-0.0562)]"
SETUP_3,G_vol_oi_cot,0.2,2752,-0.0137,-0.0637,0.174,0.876,-0.0947,183.4,1,"[np.float64(-0.0395), np.float64(0.024), np.float64(-0.0191)]"
