blind_id,category,is_sequence
g009,movement_path,1
g034,movement_path,1
g041,movement_path,1
g054,movement_path,1
g020,acceleration,1
g030,acceleration,1
g002,path_efficiency,1
g003,path_efficiency,1
g050,path_efficiency,1
g027,pullback_depth,1
g018,pullback_depth,1
g006,pullback_depth,1
g040,pullback_depth,1
g010,close_location,1
g008,close_location,1
g052,close_location,1
g028,close_location,1
g032,range_expansion,1
g042,static_state,0
g013,overlap_chop,1
g046,structure,1
g047,structure,1
g011,structure,1
g014,volatility_path,1
g025,volume_path,1
g012,volume_path,1
g053,volume_path,1
g049,volume_path,1
g035,acceleration,1
g044,level_distance,0
g033,level_distance,0
g016,level_distance,0
g045,level_distance,0
g024,level_distance,0
g038,level_distance,0
g007,level_distance,0
g021,approach_dynamics,1
g043,trend_location,0
g055,trend_location,0
g031,static_state,0
g051,static_state,0
g039,static_state,0
g026,static_state,0
g005,static_state,0
g036,static_state,0
g004,static_state,0
g048,static_state,0
g019,static_state,0
g001,static_state,0
g015,static_state,0
g017,static_state,0
g023,static_state,0
g022,static_state,0
g029,static_state,0
g037,static_state,0
