setup,rep,sel_exp,sel_per_year,time_to_30_mo,time_to_50_mo
SETUP_1,A_generic,-0.2949480538185193,410.9,0.9,1.5
SETUP_1,B_setup_static,-0.2679635971556133,415.1,0.9,1.4
SETUP_1,C_path_agg,-0.3223777727504608,394.1,0.9,1.5
SETUP_1,D_path_plus_generic,-0.2932630015425995,400.8,0.9,1.5
SETUP_1,E_ordered_seq,-0.333790133568057,445.5,0.8,1.3
SETUP_2,A_generic,-0.3329097101165716,338.6,1.1,1.8
SETUP_2,B_setup_static,-0.2657777045599139,367.1,1.0,1.6
SETUP_2,C_path_agg,-0.2897068709139118,343.1,1.0,1.7
SETUP_2,D_path_plus_generic,-0.2996826877203872,343.1,1.0,1.7
SETUP_2,E_ordered_seq,-0.3077017399059212,354.7,1.0,1.7
SETUP_3,A_generic,-0.1353468533962155,662.4,0.5,0.9
SETUP_3,B_setup_static,-0.0722545354618625,593.8,0.6,1.0
SETUP_3,C_path_agg,-0.1396844050328195,656.6,0.5,0.9
SETUP_3,D_path_plus_generic,-0.1302548697600307,643.2,0.6,0.9
SETUP_3,E_ordered_seq,-0.1252817402248494,748.2,0.5,0.8
