setup,rep,retention,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,losers_retained,sel_per_year,drop5_exp,folds_pos,fold_exps
SETUP_1,A_generic,0.8,8095,-0.318416865895045,-0.9873302970772364,0.632334722630518,0.33131562693020383,0.760419620073717,0.2520381373497306,0.7479618626502694,539.7,-0.4368,0,"[-0.4011, -0.3102, -0.2648]"
SETUP_1,A_generic,0.6,6163,-0.29494805381851935,-0.9690704536564296,0.653169372003815,0.3347395748823625,0.5849163595123335,0.43346690617659256,0.5665330938234074,410.9,-0.4127,0,"[-0.3894, -0.2803, -0.2419]"
SETUP_1,A_generic,0.4,4129,-0.2750035812270005,-0.9336464955451533,0.6724114806741031,0.3393073383385808,0.39722143464700876,0.6230482244023767,0.37695177559762333,275.3,-0.3921,0,"[-0.4011, -0.2368, -0.2199]"
SETUP_1,A_generic,0.2,2004,-0.26952819523589133,-0.8493502617223686,0.6750681207638503,0.3398203592814371,0.19308193932520556,0.8171894431394224,0.1828105568605776,133.6,-0.3876,0,"[-0.3594, -0.2553, -0.2236]"
SETUP_1,B_setup_static,0.8,8484,-0.3155516495921734,-0.8532301234693129,0.632736943681931,0.32413955681282414,0.779699461298554,0.2076827414674589,0.7923172585325411,565.6,-0.4342,0,"[-0.42, -0.296, -0.2547]"
SETUP_1,B_setup_static,0.6,6227,-0.26796359715561335,-0.7253883477544039,0.6767583027897404,0.33162036293560304,0.5854834136660051,0.4248998203675556,0.5751001796324444,415.1,-0.3845,0,"[-0.3543, -0.2641, -0.2117]"
SETUP_1,B_setup_static,0.4,3865,-0.22100064631689387,-0.5928702475512555,0.7238053441994907,0.3373868046571798,0.3697193081939325,0.6461240845654277,0.35387591543457236,257.7,-0.3355,0,"[-0.2595, -0.2408, -0.1758]"
SETUP_1,B_setup_static,0.2,1985,-0.17166801050067035,-0.5039894846486308,0.7770575843491442,0.345088161209068,0.1942160476325489,0.8203675556169684,0.17963244438303164,132.3,-0.2843,0,"[-0.1737, -0.2253, -0.1285]"
SETUP_1,C_path_agg,0.8,8348,-0.32967423179027966,-0.9836132949275399,0.6222039689929549,0.32882127455678006,0.7782818259143748,0.22578416470913365,0.7742158352908663,556.5,-0.4488,0,"[-0.4278, -0.3129, -0.2753]"
SETUP_1,C_path_agg,0.6,5911,-0.32237777275046087,-0.949987741064442,0.6287821353596866,0.32955506682456437,0.5523107456762121,0.45239740223849656,0.5476025977615034,394.1,-0.4412,0,"[-0.4491, -0.2856, -0.2632]"
SETUP_1,C_path_agg,0.4,3761,-0.3142227156638413,-0.9112674303735459,0.6353517049131606,0.3299654347248072,0.3518571023532747,0.6517894155036618,0.34821058449633824,250.7,-0.4331,0,"[-0.4337, -0.2941, -0.2492]"
SETUP_1,C_path_agg,0.2,2017,-0.29673968771083115,-0.8916122220242872,0.6528615664584647,0.33515121467526027,0.19166430394102638,0.8147022246787343,0.1852977753212657,134.5,-0.4143,0,"[-0.3686, -0.2751, -0.2692]"
SETUP_1,D_path_plus_generic,0.8,8298,-0.32027412335455874,-0.9944070825649935,0.6304134868668579,0.3314051578693661,0.779699461298554,0.23338399889456962,0.7666160011054304,553.2,-0.4387,0,"[-0.4219, -0.3062, -0.2612]"
SETUP_1,D_path_plus_generic,0.6,6012,-0.2932630015425995,-0.9564738176761144,0.654772294247993,0.33582834331337325,0.5724411681315565,0.4482520381373497,0.5517479618626503,400.8,-0.4106,0,"[-0.3893, -0.2869, -0.2321]"
SETUP_1,D_path_plus_generic,0.4,3907,-0.28542776862750113,-0.944753851313546,0.6617875164398983,0.33708727924238546,0.3734051601927984,0.6421168992676524,0.35788310073234764,260.5,-0.4029,0,"[-0.4031, -0.2427, -0.2367]"
SETUP_1,D_path_plus_generic,0.2,1966,-0.2845270161862319,-0.9157038286731181,0.6602256155496061,0.3392675483214649,0.18911256024950382,0.8205057344203399,0.17949426557966008,131.1,-0.4023,0,"[-0.386, -0.2086, -0.2756]"
SETUP_1,E_ordered_seq,0.8,8846,-0.3382332243105128,-1.020196124606565,0.6161166486424506,0.32964051548722584,0.8267649560533031,0.18059969600663262,0.8194003039933674,589.7,-0.4577,0,"[-0.4492, -0.3256, -0.2732]"
SETUP_1,E_ordered_seq,0.6,6683,-0.33379013356805703,-1.0283581228588197,0.6213316873009505,0.33338321113272484,0.6316983271902467,0.3844134309796877,0.6155865690203123,445.5,-0.4533,0,"[-0.4809, -0.3107, -0.255]"
SETUP_1,E_ordered_seq,0.4,4303,-0.32317846483745616,-1.0232362893251699,0.6313923143065756,0.3367418080409017,0.410830734335129,0.6056376951775597,0.3943623048224402,286.9,-0.4425,0,"[-0.4703, -0.3087, -0.2503]"
SETUP_1,E_ordered_seq,0.2,2020,-0.2652809436018472,-0.9594218760364636,0.6897232553288234,0.3594059405940594,0.20584065778281826,0.8211966284371978,0.17880337156280227,134.7,-0.3814,0,"[-0.4256, -0.2592, -0.1807]"
SETUP_2,A_generic,0.8,7328,-0.3449029335266923,-1.7249844600194677,0.5857051554288405,0.47079694323144106,0.8013937282229965,0.20857142857142852,0.7914285714285715,488.5,-0.461,0,"[-0.5271, -0.389, -0.1632]"
SETUP_2,A_generic,0.6,5079,-0.3329097101165716,-1.7155912970309315,0.5949301580224089,0.4731246308328411,0.5581881533101045,0.45387755102040817,0.5461224489795918,338.6,-0.4486,0,"[-0.5536, -0.3558, -0.1475]"
SETUP_2,A_generic,0.4,3287,-0.2759855723141505,-1.7151205292421843,0.6471182462105022,0.4919379373288713,0.375609756097561,0.6591836734693878,0.3408163265306122,219.1,-0.3897,0,"[-0.4918, -0.3214, -0.0961]"
SETUP_2,A_generic,0.2,1606,-0.23120100808020838,-1.690943975244791,0.6947990868804587,0.5062266500622665,0.18885017421602787,0.8381632653061224,0.16183673469387755,107.1,-0.3439,0,"[-0.5059, -0.241, -0.034]"
SETUP_2,B_setup_static,0.8,7344,-0.31219509233096165,-1.8216526595708284,0.614808204273462,0.48161764705882354,0.821602787456446,0.22306122448979593,0.7769387755102041,489.6,-0.4272,0,"[-0.5237, -0.3601, -0.0972]"
SETUP_2,B_setup_static,0.6,5506,-0.26577770455991395,-1.9489608555899387,0.6565944183400433,0.49455139847439156,0.6325203252032521,0.4320408163265306,0.5679591836734694,367.1,-0.3792,0,"[-0.4668, -0.3417, -0.0684]"
SETUP_2,B_setup_static,0.4,3204,-0.20611758585822945,-2.135058739870624,0.7190618279161645,0.5099875156054932,0.37955865272938444,0.6795918367346938,0.32040816326530613,213.6,-0.3176,1,"[-0.4548, -0.2769, 0.0007]"
SETUP_2,B_setup_static,0.2,1393,-0.14424417224351077,-2.39606193179424,0.7923715806941078,0.5340990667623834,0.17282229965156795,0.8675510204081632,0.13244897959183674,92.9,-0.253,1,"[-0.4558, -0.1688, 0.2092]"
SETUP_2,C_path_agg,0.8,7275,-0.33119095978008184,-1.7468223711290256,0.598913560704807,0.47670103092783506,0.805574912891986,0.22306122448979593,0.7769387755102041,485.0,-0.4467,0,"[-0.5176, -0.3827, -0.1433]"
SETUP_2,C_path_agg,0.6,5147,-0.2897068709139118,-1.7682866636691232,0.6350815058690548,0.49115989897027396,0.5872241579558652,0.4655102040816327,0.5344897959183673,343.1,-0.4035,0,"[-0.4683, -0.3255, -0.1221]"
SETUP_2,C_path_agg,0.4,3189,-0.2588537080913283,-1.786431724663549,0.6658851077048323,0.49827532141737224,0.36910569105691055,0.6734693877551021,0.32653061224489793,212.6,-0.3718,0,"[-0.435, -0.2834, -0.1068]"
SETUP_2,C_path_agg,0.2,1570,-0.22014758252540817,-1.8328814745322135,0.7052710566109809,0.5146496815286624,0.18768873403019745,0.8444897959183674,0.15551020408163266,104.7,-0.3318,0,"[-0.374, -0.2513, -0.0755]"
SETUP_2,D_path_plus_generic,0.8,7060,-0.33488209749203135,-1.7607157323407958,0.5944324797895081,0.47478753541076485,0.7786295005807201,0.243265306122449,0.756734693877551,470.7,-0.4505,0,"[-0.5288, -0.3774, -0.1514]"
