setup,question,feature,corr_R,informative
SETUP_1,attack_pressure,gE_attack_size_prog,-0.0026,False
SETUP_1,pullback_shrink,gE_pullback_shrink,-0.0106,False
SETUP_1,attack_participation,gE_attack_vol_prog,-0.0043,False
SETUP_1,defense_decay,gE_atk_pb_vol_ratio,0.0139,False
SETUP_1,repeated_touch,gE_touch_count,-0.0018,False
SETUP_1,penetration,gE_penetration,0.0145,False
SETUP_1,time_near,gE_time_near,-0.0103,False
SETUP_1,adverse_break,gE_adverse_breaks,-0.0005,False
SETUP_1,favorable_struct,gE_struct_net,-0.0018,False
SETUP_1,last_attack_strong,gE_last_attack_strong,0.0066,False
SETUP_3,attack_pressure,gE_attack_size_prog,0.0126,False
SETUP_3,pullback_shrink,gE_pullback_shrink,-0.0041,False
SETUP_3,attack_participation,gE_attack_vol_prog,0.0206,False
SETUP_3,defense_decay,gE_atk_pb_vol_ratio,0.0133,False
SETUP_3,repeated_touch,gE_touch_count,-0.0224,False
SETUP_3,penetration,gE_penetration,0.0364,True
SETUP_3,time_near,gE_time_near,-0.0224,False
SETUP_3,adverse_break,gE_adverse_breaks,-0.0174,False
SETUP_3,favorable_struct,gE_struct_net,-0.0055,False
SETUP_3,last_attack_strong,gE_last_attack_strong,-0.0101,False
