rep,retention,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,drop5,sel_per_year,folds_pos,fold_exps,setup
A_cts_v2_baseline,0.8,8163,-0.3296559818365647,-0.961440369915551,0.6221116065171101,0.32880068602229573,0.7609866742273887,0.24291833632720738,-0.44885587877975086,544.2,0,"[np.float64(-0.3987), np.float64(-0.3288), np.float64(-0.2779)]",SETUP_1
A_cts_v2_baseline,0.6,6060,-0.3105351322517857,-0.9274923168188915,0.6384900721610155,0.33135313531353133,0.5693223702863623,0.4400994887384275,-0.42866777686635726,404.0,0,"[np.float64(-0.3866), np.float64(-0.324), np.float64(-0.2434)]",SETUP_1
A_cts_v2_baseline,0.4,3994,-0.2715783557003562,-0.873340168431202,0.6752250905602312,0.3402603905858788,0.3853132974199036,0.635898853115932,-0.38813916791064607,266.3,0,"[np.float64(-0.3523), np.float64(-0.2485), np.float64(-0.2291)]",SETUP_1
A_cts_v2_baseline,0.2,1884,-0.23106947235258607,-0.8289054587656591,0.7177490407203262,0.35456475583864117,0.18939608732633967,0.8319745751001797,-0.34671546782656026,125.6,0,"[np.float64(-0.3615), np.float64(-0.1362), np.float64(-0.2067)]",SETUP_1
B_event_aggregates,0.8,8474,-0.34542250036668004,-1.0194482240519247,0.6091456478901136,0.32593816379513807,0.783101786220584,0.21072267514163323,-0.4651485761922528,564.9,0,"[np.float64(-0.4443), np.float64(-0.329), np.float64(-0.2947)]",SETUP_1
B_event_aggregates,0.6,6097,-0.35042216643979457,-1.0376828069850412,0.6057589585604344,0.3265540429719534,0.5645024099801531,0.4326378333563632,-0.4703893617819426,406.5,0,"[np.float64(-0.4457), np.float64(-0.3535), np.float64(-0.287)]",SETUP_1
B_event_aggregates,0.4,3936,-0.35394388247544123,-1.0660176449701402,0.6034082232435182,0.33028455284552843,0.36858519988658917,0.6357606743125604,-0.4739305053124866,262.4,0,"[np.float64(-0.432), np.float64(-0.3599), np.float64(-0.2988)]",SETUP_1
B_event_aggregates,0.2,1880,-0.3355595146146563,-1.0573296393237634,0.6214059639631043,0.34308510638297873,0.1828749645591154,0.8293491778361199,-0.4542487005785569,125.3,0,"[np.float64(-0.387), np.float64(-0.3439), np.float64(-0.2949)]",SETUP_1
C_event_relational,0.8,7927,-0.3348080459493524,-1.0052581876714033,0.617003420832299,0.32685757537529964,0.7346186560816558,0.26267790520934087,-0.45419136391978704,528.5,0,"[np.float64(-0.4414), np.float64(-0.3107), np.float64(-0.2802)]",SETUP_1
C_event_relational,0.6,5440,-0.317877169724411,-0.999608422110791,0.6314252335710537,0.32941176470588235,0.5080805216898214,0.49592372530053885,-0.4363974450642056,362.7,0,"[np.float64(-0.4418), np.float64(-0.2833), np.float64(-0.2609)]",SETUP_1
C_event_relational,0.4,3351,-0.29866920289456933,-0.9779222618203164,0.64846220538173,0.3318412414204715,0.3152821094414517,0.6906176592510709,-0.4165222613773759,223.4,0,"[np.float64(-0.4846), np.float64(-0.2223), np.float64(-0.2378)]",SETUP_1
C_event_relational,0.2,1624,-0.27575994675093174,-0.961663996075321,0.6681907152146099,0.33374384236453203,0.1536716756450241,0.850490534751969,-0.3935495852689781,108.3,0,"[np.float64(-0.4635), np.float64(-0.2203), np.float64(-0.1863)]",SETUP_1
A_cts_v2_baseline,0.8,13270,-0.11736219760863707,-0.39675491628227644,0.6816630323794007,0.6134890730972118,0.830375356997144,0.41476494751255133,-0.18257350546640044,884.6,0,"[np.float64(-0.1837), np.float64(-0.1002), np.float64(-0.0766)]",SETUP_3
A_cts_v2_baseline,0.6,10772,-0.08356968113602573,-0.3629769201592577,0.7707753005449304,0.6278314147790568,0.6898204814361485,0.5425604746691008,-0.14995326283348853,718.1,0,"[np.float64(-0.1289), np.float64(-0.062), np.float64(-0.0671)]",SETUP_3
A_cts_v2_baseline,0.4,8438,-0.05061089856056983,-0.330037872192684,0.8592037797793277,0.630125622185352,0.5423296613627091,0.6438840712003651,-0.1188683765225683,562.5,0,"[np.float64(-0.0805), np.float64(-0.0045), np.float64(-0.0566)]",SETUP_3
A_cts_v2_baseline,0.2,6212,-0.031512404676779675,-0.31096971487668223,0.9117681626107781,0.6178364455891823,0.39147286821705424,0.7291191236878138,-0.10343375594232833,414.1,1,"[np.float64(-0.0285), np.float64(0.0745), np.float64(-0.0575)]",SETUP_3
B_event_aggregates,0.8,13860,-0.16267155969909428,-0.44201212783127425,0.5679303098133951,0.5533910533910534,0.7823337413300694,0.2937015061615701,-0.2269902814873437,923.9,0,"[np.float64(-0.2384), np.float64(-0.1531), np.float64(-0.0931)]",SETUP_3
B_event_aggregates,0.6,9992,-0.14588142024795842,-0.42522022198284415,0.6112375082135484,0.5723578863090473,0.5833333333333334,0.5124372432679142,-0.21116466248800494,666.1,0,"[np.float64(-0.2178), np.float64(-0.135), np.float64(-0.078)]",SETUP_3
B_event_aggregates,0.4,6450,-0.1345824838670903,-0.4139221210483952,0.6405275879563377,0.5910077519379845,0.38882088943288456,0.6989958922866271,-0.19975062036944788,430.0,0,"[np.float64(-0.2033), np.float64(-0.1236), np.float64(-0.0662)]",SETUP_3
B_event_aggregates,0.2,3208,-0.1288924487595253,-0.4082313120631826,0.6577972742382557,0.608790523690773,0.1992044063647491,0.8568005476951164,-0.1929456870822199,213.8,0,"[np.float64(-0.1949), np.float64(-0.1249), np.float64(-0.0419)]",SETUP_3
C_event_relational,0.8,13661,-0.15349549122326075,-0.4328408566081972,0.5755450576483145,0.5490081253202548,0.7649938800489596,0.29701049748973074,-0.21706717675526097,910.6,0,"[np.float64(-0.2268), np.float64(-0.1503), np.float64(-0.0828)]",SETUP_3
C_event_relational,0.6,9544,-0.14030070370003273,-0.41964361283404694,0.6058368416445792,0.5573134953897737,0.5425336597307222,0.5179141944317663,-0.2042688424477289,636.2,0,"[np.float64(-0.2096), np.float64(-0.1326), np.float64(-0.0793)]",SETUP_3
