motif,mean_R,count,len
AwVB|R:ACCELLESSPART|ASVB,-1.0732065836283808,35,3
R:DECELMOREPART|PSvb|R:ACCELLESSPART,-0.9893268901933822,47,3
R:DECELMOREPART|ASVb|R:DECELMOREPART,-0.9028058344477599,45,3
Awvb|R:ACCELLESSPART,-0.8898142259508799,39,2
R:DECELMOREPART|Awvb,-0.8604134327638892,30,2
PSvb|R:DECELMOREPART|Awvn,-0.8586975429148673,33,3
ASVb|R:DECELLESSPART|PSvn,-0.8383375222226221,25,3
AwvB|R:ACCELLESSPART,-0.8361026543406609,33,2
R:DECELLESSPART|PwVb|R:DECELLESSPART,-0.8096306914197879,27,3
Pwvn|R:ACCELLESSPART|Awvn,-0.8029000624995747,50,3
ASvn|R:DECELMOREPART|PSvb,-0.7914222229554694,29,3
PSVb|R:DECELLESSPART|PSVn,-0.7759788507116205,41,3
ASvn|R:DECELMOREPART|ASvB,-0.7734909304917406,49,3
ASvb|R:ACCELLESSPART,-0.7710468370611957,30,2
PSvb|R:DECELMOREPART|Awvb,-0.760817534967673,27,3
PwVn|R:ACCELMOREPART|PSVB,-0.758189223607875,28,3
PSvb|R:DECELMOREPART|PSvb,-0.7572750173610581,36,3
AwVn|R:DECELLESSPART|Awvn,-0.746461139507141,29,3
Awvb,-0.7393296926370363,65,1
ASvn|R:ACCELMOREPART|ASvB,-0.7391886002781338,42,3
AwVn|R:DECELLESSPART|AwVn,-0.7313880960306801,88,3
ASVb|R:ACCELMOREPART|PSVb,-0.726952167326649,50,3
ASVb|R:ACCELLESSPART|ASvn,-0.7245700188541082,37,3
ASVn|R:DECELMOREPART|ASVb,-0.719748963804771,39,3
R:DECELLESSPART|Awvn|R:DECELLESSPART,-0.7187496787779493,53,3
R:DECELMOREPART|PSvb,-0.7167479944099885,129,2
ASvn|R:DECELLESSPART|PSvb,-0.7112618531170117,49,3
Awvn|R:DECELLESSPART|Pwvn,-0.7085944722645853,61,3
R:DECELLESSPART|PSvn|R:DECELMOREPART,-0.6895476874607476,182,3
ASVb|R:DECELLESSPART|PwVn,-0.6887696151907026,66,3
PSvn|R:DECELMOREPART|ASvB,-0.678001877730357,97,3
R:DECELLESSPART|PSvb|R:ACCELMOREPART,-0.6734416077413514,61,3
PSvb|R:DECELMOREPART|AwVb,-0.6699439401645396,56,3
ASvB|R:ACCELMOREPART|ASVB,-0.6680615410262645,27,3
PwVB|R:DECELLESSPART,-0.6669129830607011,27,2
PSvn|R:DECELMOREPART|PSvb,-0.6662173693329267,33,3
Awvn|R:DECELLESSPART|Awvn,-0.6627152621927344,43,3
PSVb|R:DECELLESSPART|ASvn,-0.6618522238374159,53,3
Awvn|R:DECELLESSPART,-0.6592033768426476,101,2
ASvB|R:ACCELMOREPART|PSvn,-0.6572188713109076,92,3
Awvn|R:ACCELLESSPART|Pwvn,-0.656728771352029,72,3
R:ACCELMOREPART|ASVb|R:ACCELMOREPART,-0.6534336443140552,48,3
AwVn|R:ACCELLESSPART|Awvn,-0.6512247792194973,32,3
R:DECELLESSPART|ASvB|R:DECELMOREPART,-0.6499389013361572,28,3
