rep,retention,sel_exp,sel_per_year,time_to_50_mo
A_cts_v2_baseline,0.8,-0.321809716331328,520.2,1.2
A_cts_v2_baseline,0.6,-0.2811266710988638,421.4,1.4
A_cts_v2_baseline,0.4,-0.2200721499933499,304.8,2.0
A_cts_v2_baseline,0.2,-0.1060612063503937,169.7,3.5
B_event_aggregates,0.8,-0.3504248945666114,486.6,1.2
B_event_aggregates,0.6,-0.329777156893315,359.0,1.7
B_event_aggregates,0.4,-0.303711109460832,227.1,2.6
B_event_aggregates,0.2,-0.2979004937747537,97.9,6.1
C_event_relational,0.8,-0.341276803751265,454.8,1.3
C_event_relational,0.6,-0.331970846754702,330.9,1.8
C_event_relational,0.4,-0.3044649431573976,210.4,2.9
C_event_relational,0.2,-0.2669767366494286,101.5,5.9
