rep,retention,folds_pos,fold_exps,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,drop5,sel_per_year
A_cts_v2_baseline,0.8,0,"[-0.5248, -0.3659, -0.1717]",7802,-0.321809716331328,-1.8602165166525642,0.6057351544499286,0.47821071520123043,0.8666666666666667,0.16918367346938779,-0.43717440283441206,520.2
A_cts_v2_baseline,0.6,0,"[-0.4841, -0.3632, -0.1374]",6320,-0.2811266710988638,-1.958706214246674,0.6421518267558349,0.4906645569620253,0.7203252032520325,0.3430612244897959,-0.39478963499123637,421.4
A_cts_v2_baseline,0.4,0,"[-0.4856, -0.3134, -0.0863]",4571,-0.22007214999334995,-2.079900965496396,0.7035922663256412,0.5073288120761321,0.5386759581881533,0.5404081632653062,-0.33153614156348893,304.8
A_cts_v2_baseline,0.2,1,"[-0.3833, -0.2256, 0.0056]",2545,-0.10606120635039375,-2.246303912626949,0.8421055239669364,0.5402750491159135,0.31939605110336816,0.7612244897959184,-0.21297588129653294,169.7
B_event_aggregates,0.8,0,"[-0.5394, -0.382, -0.1774]",7298,-0.35042489456661147,-1.823997158112953,0.5818106557020604,0.47053987393806523,0.7976771196283391,0.2114285714285714,-0.46662036290691583,486.6
B_event_aggregates,0.6,0,"[-0.5156, -0.3539, -0.1606]",5384,-0.32977715689331505,-1.8557717596073264,0.5996525198751724,0.4773402674591382,0.5969802555168409,0.4257142857142857,-0.4456730340207415,359.0
B_event_aggregates,0.4,0,"[-0.4893, -0.3395, -0.1132]",3407,-0.303711109460832,-1.8899455125800602,0.6239867149588796,0.48752568241855004,0.38583042973286874,0.643673469387755,-0.41855134016536183,227.1
B_event_aggregates,0.2,0,"[-0.478, -0.3241, -0.07]",1469,-0.2979004937747537,-1.895964423687206,0.6281150177415983,0.48944860449285227,0.1670150987224158,0.846938775510204,-0.41279530465980663,97.9
C_event_relational,0.8,0,"[-0.5352, -0.3686, -0.1694]",6821,-0.34127680375126507,-1.7843444174433578,0.5899993482467738,0.47339099838733323,0.7500580720092915,0.26693877551020406,-0.4573861275065547,454.8
C_event_relational,0.6,0,"[-0.5119, -0.3723, -0.1585]",4963,-0.331970846754702,-1.8208594959869926,0.5956843527403027,0.4759218214789442,0.548664343786295,0.4691836734693877,-0.4480935749705152,330.9
C_event_relational,0.4,0,"[-0.4797, -0.3686, -0.1068]",3156,-0.30446494315739764,-1.8364730769941826,0.6201083365698532,0.4847908745247148,0.3554006968641115,0.6681632653061225,-0.4191150449727776,210.4
C_event_relational,0.2,0,"[-0.4907, -0.297, -0.044]",1522,-0.2669767366494286,-1.842325211689695,0.6560267977957837,0.49605781865965837,0.1753774680603949,0.843469387755102,-0.3815289948053313,101.5
