hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=4b7c6d5c6035,S1,8357,557.0,0.372,-0.0229,-0.152,0.964,392.4,0.0472,-0.0356,-0.0813,-0.0813,-0.129,2787,2845,2725,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=3ddb5e443d5d,S1,9723,648.0,0.428,0.0528,-0.0977,1.091,61.4,0.0845,0.0321,0.0419,0.0321,-0.0495,3248,3343,3132,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=46605422af38,S1,8179,545.0,0.32,-0.0075,-0.137,0.989,388.8,0.0858,-0.0482,-0.0603,-0.0603,-0.1651,2723,2785,2671,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=b093ced01876,S1,9549,636.0,0.383,0.0726,-0.0779,1.116,60.0,0.125,0.0315,0.062,0.0315,-0.0809,3191,3278,3080,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=65a3466d30cf,S1,8514,567.0,0.382,-0.006,-0.1414,0.991,280.0,0.0228,-0.0232,-0.0174,-0.0232,-0.2963,2830,2897,2787,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=151cd7129f84,S1,9931,662.0,0.438,0.0641,-0.094,1.11,61.7,0.0731,0.0661,0.0526,0.0526,-0.2169,3316,3405,3210,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=4/id=fedb8fd471e3,S1,8791,586.0,0.307,0.0179,-0.1105,1.026,302.3,0.0478,-0.0475,0.0553,-0.0475,-0.3761,2928,2988,2875,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=8/id=0ad4b9577817,S1,10250,683.0,0.362,0.0993,-0.0591,1.156,101.5,0.1003,0.0917,0.1063,0.0917,-0.2989,3451,3493,3306,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=4/id=c918917f88af,S1,8152,543.0,0.354,-0.0265,-0.1149,0.959,365.1,0.0356,-0.0324,-0.0837,-0.0837,-0.1327,2722,2758,2672,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=8/id=2960f38767e8,S1,9313,621.0,0.355,-0.0282,-0.1143,0.956,411.7,0.0245,-0.0286,-0.0824,-0.0824,-0.1345,3124,3182,3007,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=4/id=e67d58bb0aad,S1,7953,530.0,0.301,-0.0076,-0.0959,0.989,331.3,0.079,-0.041,-0.0607,-0.0607,-0.1654,2644,2701,2608,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=8/id=4ff4e8053b59,S1,9077,605.0,0.303,-0.0129,-0.0992,0.981,379.0,0.0558,-0.0355,-0.06,-0.06,-0.1709,3035,3111,2931,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=4/id=ae3b9146498d,S1,8325,555.0,0.376,-0.0364,-0.128,0.942,394.9,0.018,-0.039,-0.0887,-0.0887,-0.2766,2765,2826,2734,False
