year,n,L0_first,l0_reach
2011,931,0.7164339419978518,0.8345864661654135
2012,2010,0.6970149253731344,0.8313432835820895
2013,1783,0.7027481772293886,0.8216489063376332
2014,1913,0.6894929430214323,0.8222686879247255
2015,1812,0.6926048565121413,0.8344370860927153
2016,1819,0.6965365585486532,0.8273776800439802
2017,1869,0.6875334403424291,0.8089887640449438
2018,2078,0.6958614051973051,0.8238691049085659
2019,2021,0.706580900544285,0.830776843146957
2020,2042,0.718413320274241,0.8486777668952008
2021,1982,0.7179616548940464,0.8370332996972755
2022,2152,0.7184014869888475,0.8317843866171004
2023,2231,0.7171671896010757,0.837292693859256
2024,2226,0.7277628032345014,0.8499550763701708
2025,2186,0.7287282708142726,0.8366880146386093
2026,1207,0.7224523612261806,0.8500414250207126
