year,n,exp,total
2011,189,0.032167616017894904,6.079679427382137
2012,426,0.042862242139475884,18.259315151416725
2013,384,-0.11693661471353067,-44.90366004999578
2014,399,-0.17605221866847887,-70.24483524872306
2015,395,-0.06791333097863234,-26.825765736559774
2016,375,-0.04384700799920498,-16.44262799970187
2017,408,-0.09950142592943892,-40.59658177921108
2018,401,-0.10345946930670541,-41.48724719198887
2019,384,0.02096016032417179,8.048701564481966
2020,396,-0.0496770354412201,-19.67210603472316
2021,355,-0.16626429751107547,-59.02382561643179
2022,401,0.005750168081552718,2.3058174007026397
2023,451,-0.07653266141389102,-34.51623029766485
2024,458,-0.11051539553962188,-50.61605115714682
2025,442,-0.08645622343147111,-38.21365075671023
2026,237,-0.07464680337340332,-17.691292399496586
