setup,rep,retention,sel_N,sel_exp,sel_exp_stress,winners_retained,losers_avoided,drop5,sel_per_year,folds_pos,fold_exps
SETUP_1,A_xau,0.8,5297,-0.3642,-0.4142,0.502,0.507,-0.4829,353.1,0,"[np.float64(-0.4205), np.float64(-0.3207), np.float64(-0.3092)]"
SETUP_1,A_xau,0.6,3865,-0.3474,-0.3974,0.369,0.642,-0.4659,257.7,0,"[np.float64(-0.4038), np.float64(-0.3051), np.float64(-0.2796)]"
SETUP_1,A_xau,0.4,2536,-0.3174,-0.3674,0.248,0.768,-0.4343,169.1,0,"[np.float64(-0.3457), np.float64(-0.2886), np.float64(-0.3261)]"
SETUP_1,A_xau,0.2,1270,-0.2957,-0.3457,0.126,0.885,-0.4127,84.7,0,"[np.float64(-0.4253), np.float64(-0.1643), np.float64(-0.3064)]"
SETUP_1,B_price,0.8,5259,-0.3637,-0.4137,0.498,0.511,-0.4823,350.6,0,"[np.float64(-0.4215), np.float64(-0.3209), np.float64(-0.2965)]"
SETUP_1,B_price,0.6,3871,-0.3507,-0.4007,0.37,0.642,-0.4691,258.1,0,"[np.float64(-0.3939), np.float64(-0.3161), np.float64(-0.3129)]"
SETUP_1,B_price,0.4,2530,-0.3254,-0.3754,0.245,0.768,-0.4429,168.7,0,"[np.float64(-0.3791), np.float64(-0.2794), np.float64(-0.314)]"
SETUP_1,B_price,0.2,1238,-0.3017,-0.3517,0.122,0.887,-0.4184,82.5,0,"[np.float64(-0.4433), np.float64(-0.1615), np.float64(-0.3069)]"
SETUP_1,C_volume,0.8,5273,-0.3505,-0.4005,0.507,0.513,-0.4685,351.5,0,"[np.float64(-0.4025), np.float64(-0.3145), np.float64(-0.2703)]"
SETUP_1,C_volume,0.6,3941,-0.3368,-0.3868,0.383,0.638,-0.4545,262.7,0,"[np.float64(-0.401), np.float64(-0.2891), np.float64(-0.2573)]"
SETUP_1,C_volume,0.4,2628,-0.3061,-0.3561,0.262,0.762,-0.4225,175.2,0,"[np.float64(-0.3603), np.float64(-0.2517), np.float64(-0.3361)]"
SETUP_1,C_volume,0.2,1294,-0.3274,-0.3774,0.126,0.882,-0.4452,86.3,0,"[np.float64(-0.3849), np.float64(-0.2356), np.float64(-0.4685)]"
SETUP_1,D_oi,0.8,5104,-0.3517,-0.4017,0.488,0.528,-0.4702,340.3,0,"[np.float64(-0.4244), np.float64(-0.3079), np.float64(-0.237)]"
SETUP_1,D_oi,0.6,3701,-0.3492,-0.3992,0.353,0.657,-0.4679,246.7,0,"[np.float64(-0.3903), np.float64(-0.3248), np.float64(-0.3081)]"
SETUP_1,D_oi,0.4,2406,-0.2975,-0.3475,0.241,0.783,-0.4138,160.4,0,"[np.float64(-0.3447), np.float64(-0.2726), np.float64(-0.2533)]"
SETUP_1,D_oi,0.2,1161,-0.2985,-0.3485,0.116,0.895,-0.4167,77.4,0,"[np.float64(-0.4188), np.float64(-0.2171), np.float64(-0.2707)]"
SETUP_1,E_price_oi,0.8,5091,-0.3508,-0.4008,0.488,0.529,-0.469,339.4,0,"[np.float64(-0.4135), np.float64(-0.3132), np.float64(-0.2581)]"
SETUP_1,E_price_oi,0.6,3738,-0.3434,-0.3934,0.359,0.655,-0.4612,249.2,0,"[np.float64(-0.4002), np.float64(-0.3058), np.float64(-0.3194)]"
SETUP_1,E_price_oi,0.4,2460,-0.3305,-0.3805,0.239,0.774,-0.4478,164.0,0,"[np.float64(-0.4078), np.float64(-0.2837), np.float64(-0.2833)]"
SETUP_1,E_price_oi,0.2,1132,-0.303,-0.353,0.112,0.897,-0.4206,75.5,0,"[np.float64(-0.451), np.float64(-0.2125), np.float64(-0.263)]"
SETUP_1,F_volume_oi,0.8,5224,-0.3583,-0.4083,0.498,0.516,-0.477,348.3,0,"[np.float64(-0.419), np.float64(-0.3169), np.float64(-0.2676)]"
SETUP_1,F_volume_oi,0.6,3794,-0.3354,-0.3854,0.367,0.651,-0.4529,252.9,0,"[np.float64(-0.3928), np.float64(-0.2969), np.float64(-0.2876)]"
SETUP_1,F_volume_oi,0.4,2527,-0.2995,-0.3495,0.253,0.772,-0.4157,168.5,0,"[np.float64(-0.3582), np.float64(-0.2506), np.float64(-0.3355)]"
SETUP_1,F_volume_oi,0.2,1232,-0.3174,-0.3674,0.121,0.888,-0.435,82.1,0,"[np.float64(-0.3446), np.float64(-0.2854), np.float64(-0.3386)]"
SETUP_1,G_all,0.8,5256,-0.3604,-0.4104,0.5,0.512,-0.479,350.4,0,"[np.float64(-0.43), np.float64(-0.3121), np.float64(-0.2763)]"
SETUP_1,G_all,0.6,3813,-0.3333,-0.3833,0.369,0.649,-0.4508,254.2,0,"[np.float64(-0.3984), np.float64(-0.2879), np.float64(-0.2869)]"
SETUP_1,G_all,0.4,2549,-0.2989,-0.3489,0.255,0.769,-0.415,169.9,0,"[np.float64(-0.3925), np.float64(-0.2267), np.float64(-0.3099)]"
SETUP_1,G_all,0.2,1261,-0.3204,-0.3704,0.124,0.885,-0.4391,84.1,0,"[np.float64(-0.3492), np.float64(-0.2842), np.float64(-0.3602)]"
SETUP_2,A_xau,0.8,7763,-0.322,-0.372,0.868,0.167,-0.4374,517.5,0,"[np.float64(-0.5305), np.float64(-0.3553), np.float64(-0.1747)]"
SETUP_2,A_xau,0.6,6249,-0.2743,-0.3243,0.721,0.349,-0.3879,416.6,0,"[np.float64(-0.4822), np.float64(-0.3458), np.float64(-0.1306)]"
SETUP_2,A_xau,0.4,4516,-0.218,-0.268,0.537,0.544,-0.3293,301.1,0,"[np.float64(-0.4984), np.float64(-0.3005), np.float64(-0.0783)]"
SETUP_2,A_xau,0.2,2565,-0.1057,-0.1557,0.324,0.758,-0.2125,171.0,1,"[np.float64(-0.4418), np.float64(-0.2204), np.float64(0.0231)]"
SETUP_2,B_price,0.8,7741,-0.3209,-0.3709,0.866,0.17,-0.4363,516.0,0,"[np.float64(-0.5345), np.float64(-0.3515), np.float64(-0.1736)]"
SETUP_2,B_price,0.6,6215,-0.2783,-0.3283,0.715,0.351,-0.392,414.3,0,"[np.float64(-0.5152), np.float64(-0.3439), np.float64(-0.129)]"
SETUP_2,B_price,0.4,4457,-0.2161,-0.2661,0.531,0.551,-0.3273,297.1,0,"[np.float64(-0.4698), np.float64(-0.3077), np.float64(-0.0771)]"
SETUP_2,B_price,0.2,2481,-0.105,-0.155,0.315,0.767,-0.2121,165.4,1,"[np.float64(-0.3741), np.float64(-0.2215), np.float64(0.0119)]"
SETUP_2,C_volume,0.8,7404,-0.3187,-0.3687,0.829,0.207,-0.434,493.6,0,"[np.float64(-0.5123), np.float64(-0.3783), np.float64(-0.173)]"
SETUP_2,C_volume,0.6,5799,-0.2711,-0.3211,0.669,0.396,-0.3846,386.6,0,"[np.float64(-0.4839), np.float64(-0.3491), np.float64(-0.1383)]"
SETUP_2,C_volume,0.4,4022,-0.1934,-0.2434,0.485,0.6,-0.304,268.1,0,"[np.float64(-0.4294), np.float64(-0.3171), np.float64(-0.0513)]"
SETUP_2,C_volume,0.2,2030,-0.1349,-0.1849,0.253,0.805,-0.2435,135.3,1,"[np.float64(-0.4267), np.float64(-0.3146), np.float64(0.0319)]"
SETUP_2,D_oi,0.8,7717,-0.3177,-0.3677,0.865,0.175,-0.4326,514.5,0,"[np.float64(-0.5054), np.float64(-0.3683), np.float64(-0.1711)]"
SETUP_2,D_oi,0.6,6212,-0.2715,-0.3215,0.717,0.353,-0.3849,414.1,0,"[np.float64(-0.467), np.float64(-0.357), np.float64(-0.124)]"
SETUP_2,D_oi,0.4,4497,-0.2184,-0.2684,0.536,0.547,-0.3296,299.8,0,"[np.float64(-0.4578), np.float64(-0.3077), np.float64(-0.0842)]"
SETUP_2,D_oi,0.2,2598,-0.1509,-0.2009,0.322,0.749,-0.2593,173.2,0,"[np.float64(-0.4168), np.float64(-0.2444), np.float64(-0.0351)]"
SETUP_2,E_price_oi,0.8,7725,-0.3187,-0.3687,0.866,0.174,-0.4338,515.0,0,"[np.float64(-0.5212), np.float64(-0.3617), np.float64(-0.1699)]"
SETUP_2,E_price_oi,0.6,6170,-0.2752,-0.3252,0.711,0.357,-0.3887,411.3,0,"[np.float64(-0.4977), np.float64(-0.3453), np.float64(-0.1271)]"
SETUP_2,E_price_oi,0.4,4466,-0.2348,-0.2848,0.526,0.545,-0.3471,297.7,0,"[np.float64(-0.4637), np.float64(-0.3342), np.float64(-0.0939)]"
SETUP_2,E_price_oi,0.2,2499,-0.1481,-0.1981,0.311,0.759,-0.2565,166.6,0,"[np.float64(-0.4749), np.float64(-0.2084), np.float64(-0.0372)]"
SETUP_2,F_volume_oi,0.8,7379,-0.3192,-0.3692,0.827,0.21,-0.4342,491.9,0,"[np.float64(-0.5092), np.float64(-0.3772), np.float64(-0.1752)]"
SETUP_2,F_volume_oi,0.6,5818,-0.2653,-0.3153,0.676,0.398,-0.3783,387.9,0,"[np.float64(-0.4598), np.float64(-0.3385), np.float64(-0.1398)]"
SETUP_2,F_volume_oi,0.4,4076,-0.2182,-0.2682,0.486,0.589,-0.3296,271.7,0,"[np.float64(-0.4539), np.float64(-0.324), np.float64(-0.0805)]"
SETUP_2,F_volume_oi,0.2,2087,-0.1393,-0.1893,0.259,0.799,-0.248,139.1,1,"[np.float64(-0.4182), np.float64(-0.3012), np.float64(0.0192)]"
SETUP_2,G_all,0.8,7323,-0.3128,-0.3628,0.825,0.22,-0.4279,488.2,0,"[np.float64(-0.5019), np.float64(-0.3807), np.float64(-0.1637)]"
SETUP_2,G_all,0.6,5746,-0.2752,-0.3252,0.663,0.402,-0.389,383.1,0,"[np.float64(-0.5068), np.float64(-0.3508), np.float64(-0.1325)]"
SETUP_2,G_all,0.4,3987,-0.2347,-0.2847,0.471,0.595,-0.3472,265.8,0,"[np.float64(-0.4843), np.float64(-0.3401), np.float64(-0.0914)]"
SETUP_2,G_all,0.2,2061,-0.1378,-0.1878,0.258,0.803,-0.2467,137.4,1,"[np.float64(-0.3767), np.float64(-0.3102), np.float64(0.0133)]"
SETUP_3,A_xau,0.8,10165,-0.1366,-0.1866,0.631,0.531,-0.203,677.6,0,"[np.float64(-0.1917), np.float64(-0.0915), np.float64(-0.107)]"
SETUP_3,A_xau,0.6,7414,-0.1031,-0.1531,0.474,0.673,-0.1722,494.2,0,"[np.float64(-0.1499), np.float64(-0.072), np.float64(-0.0673)]"
SETUP_3,A_xau,0.4,5144,-0.0669,-0.1169,0.328,0.772,-0.1398,342.9,0,"[np.float64(-0.1069), np.float64(-0.0313), np.float64(-0.0539)]"
SETUP_3,A_xau,0.2,2674,-0.0373,-0.0873,0.162,0.872,-0.1193,178.2,0,"[np.float64(-0.0674), np.float64(-0.0055), np.float64(-0.0417)]"
SETUP_3,B_price,0.8,10110,-0.133,-0.183,0.626,0.532,-0.1993,673.9,0,"[np.float64(-0.1913), np.float64(-0.0946), np.float64(-0.0897)]"
SETUP_3,B_price,0.6,7218,-0.087,-0.137,0.472,0.694,-0.1554,481.1,0,"[np.float64(-0.1384), np.float64(-0.0541), np.float64(-0.0507)]"
SETUP_3,B_price,0.4,4591,-0.0301,-0.0801,0.308,0.814,-0.1024,306.0,0,"[np.float64(-0.0573), np.float64(-0.0166), np.float64(-0.0088)]"
SETUP_3,B_price,0.2,2379,0.036,-0.014,0.157,0.9,-0.0444,158.6,2,"[np.float64(0.0357), np.float64(0.0605), np.float64(-0.0057)]"
SETUP_3,C_volume,0.8,10199,-0.1348,-0.1848,0.634,0.53,-0.2014,679.8,0,"[np.float64(-0.1851), np.float64(-0.1014), np.float64(-0.0983)]"
SETUP_3,C_volume,0.6,7463,-0.0972,-0.1472,0.48,0.675,-0.1663,497.5,0,"[np.float64(-0.1431), np.float64(-0.0669), np.float64(-0.0648)]"
SETUP_3,C_volume,0.4,5032,-0.0606,-0.1106,0.325,0.782,-0.1335,335.4,0,"[np.float64(-0.1068), np.float64(-0.0199), np.float64(-0.0464)]"
SETUP_3,C_volume,0.2,2632,-0.0085,-0.0585,0.165,0.881,-0.089,175.4,1,"[np.float64(-0.0337), np.float64(0.0191), np.float64(-0.0137)]"
SETUP_3,D_oi,0.8,10054,-0.1358,-0.1858,0.625,0.537,-0.2026,670.2,0,"[np.float64(-0.1869), np.float64(-0.0973), np.float64(-0.1073)]"
SETUP_3,D_oi,0.6,7290,-0.1073,-0.1573,0.465,0.677,-0.1772,485.9,0,"[np.float64(-0.1556), np.float64(-0.0683), np.float64(-0.0852)]"
SETUP_3,D_oi,0.4,4951,-0.0789,-0.1289,0.313,0.778,-0.1527,330.0,0,"[np.float64(-0.1168), np.float64(-0.0552), np.float64(-0.051)]"
SETUP_3,D_oi,0.2,2620,-0.0429,-0.0929,0.159,0.875,-0.1253,174.6,0,"[np.float64(-0.0687), np.float64(-0.0175), np.float64(-0.0426)]"
SETUP_3,E_price_oi,0.8,10060,-0.1316,-0.1816,0.625,0.537,-0.1983,670.6,0,"[np.float64(-0.192), np.float64(-0.0945), np.float64(-0.0846)]"
SETUP_3,E_price_oi,0.6,7097,-0.0937,-0.1437,0.461,0.695,-0.1633,473.1,0,"[np.float64(-0.1424), np.float64(-0.0615), np.float64(-0.0633)]"
SETUP_3,E_price_oi,0.4,4503,-0.0312,-0.0812,0.302,0.817,-0.1043,300.2,1,"[np.float64(-0.0746), np.float64(-0.0135), np.float64(0.0088)]"
SETUP_3,E_price_oi,0.2,2308,0.0422,-0.0078,0.153,0.905,-0.0388,153.8,2,"[np.float64(0.0333), np.float64(0.0797), np.float64(-0.0025)]"
SETUP_3,F_volume_oi,0.8,10235,-0.138,-0.188,0.633,0.526,-0.2055,682.2,0,"[np.float64(-0.1898), np.float64(-0.1048), np.float64(-0.0986)]"
SETUP_3,F_volume_oi,0.6,7427,-0.0976,-0.1476,0.478,0.676,-0.1673,495.1,0,"[np.float64(-0.1477), np.float64(-0.0593), np.float64(-0.0715)]"
SETUP_3,F_volume_oi,0.4,4990,-0.0723,-0.1223,0.319,0.78,-0.1464,332.6,0,"[np.float64(-0.1258), np.float64(-0.0318), np.float64(-0.0451)]"
SETUP_3,F_volume_oi,0.2,2618,-0.0082,-0.0582,0.165,0.882,-0.0899,174.5,2,"[np.float64(-0.0297), np.float64(0.0067), np.float64(0.0014)]"
SETUP_3,G_all,0.8,10220,-0.1313,-0.1813,0.633,0.527,-0.1985,681.2,0,"[np.float64(-0.188), np.float64(-0.1007), np.float64(-0.0813)]"
SETUP_3,G_all,0.6,7326,-0.0938,-0.1438,0.475,0.685,-0.1637,488.3,0,"[np.float64(-0.1503), np.float64(-0.0586), np.float64(-0.0529)]"
SETUP_3,G_all,0.4,4694,-0.0343,-0.0843,0.313,0.808,-0.1071,312.9,0,"[np.float64(-0.0802), np.float64(-0.0088), np.float64(-0.0008)]"
SETUP_3,G_all,0.2,2429,0.0345,-0.0155,0.161,0.899,-0.0473,161.9,3,"[np.float64(0.027), np.float64(0.045), np.float64(0.0292)]"
