feature,family,kind
p_gc_eff_8,p,PRICE
p_gc_eff_16,p,PRICE
p_gc_eff_32,p,PRICE
p_gc_disp_8,p,PRICE
p_gc_disp_16,p,PRICE
p_gc_disp_32,p,PRICE
g1_vol_rel_tod,g1,VOLUME
g1_vol_z_tod,g1,VOLUME
g1_vol_rel_sess,g1,VOLUME
g1_vol_pct500,g1,VOLUME
g2_elev_streak,g2,VOLUME
g2_vol_sum_4,g2,VOLUME
g2_vol_sum_8,g2,VOLUME
g2_vol_sum_16,g2,VOLUME
g2_vol_sum_32,g2,VOLUME
g2_vol_accel_4_8,g2,VOLUME
g2_vol_concentration_8,g2,VOLUME
g3_prog_per_vol_8,g3,VOLUME
g3_prog_per_vol_16,g3,VOLUME
g3_prog_per_vol_32,g3,VOLUME
g3_highvol_lowprog,g3,VOLUME
g3_lowvol_highprog,g3,VOLUME
g4_up_dn_vol_8,g4,VOLUME
g4_impulse_vol,g4,VOLUME
g4_pullback_vol,g4,VOLUME
g5_gc_partic_move,g5,VOLUME
g6_vol_up_eff_dn,g6,VOLUME
g6_disagree,g6,VOLUME
g5_xau_per_gcvol,g5,VOLUME
