setup,rep,retention,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,drop5,sel_per_year,folds_pos,fold_exps
SETUP_1,A_xau_baseline,0.8,5297,-0.3642,-0.4142,0.595,0.331,0.502,0.507,-0.4829,353.1,0,"[np.float64(-0.4205), np.float64(-0.3207), np.float64(-0.3092)]"
SETUP_1,A_xau_baseline,0.6,3865,-0.3474,-0.3974,0.609,0.334,0.369,0.642,-0.4659,257.7,0,"[np.float64(-0.4038), np.float64(-0.3051), np.float64(-0.2796)]"
SETUP_1,A_xau_baseline,0.4,2536,-0.3174,-0.3674,0.636,0.341,0.248,0.768,-0.4343,169.1,0,"[np.float64(-0.3457), np.float64(-0.2886), np.float64(-0.3261)]"
SETUP_1,A_xau_baseline,0.2,1270,-0.2957,-0.3457,0.657,0.348,0.126,0.885,-0.4127,84.7,0,"[np.float64(-0.4253), np.float64(-0.1643), np.float64(-0.3064)]"
SETUP_1,B_plus_gc_price,0.8,5259,-0.3637,-0.4137,0.596,0.331,0.498,0.511,-0.4823,350.6,0,"[np.float64(-0.4215), np.float64(-0.3209), np.float64(-0.2965)]"
SETUP_1,B_plus_gc_price,0.6,3871,-0.3507,-0.4007,0.606,0.334,0.37,0.642,-0.4691,258.1,0,"[np.float64(-0.3939), np.float64(-0.3161), np.float64(-0.3129)]"
SETUP_1,B_plus_gc_price,0.4,2530,-0.3254,-0.3754,0.629,0.339,0.245,0.768,-0.4429,168.7,0,"[np.float64(-0.3791), np.float64(-0.2794), np.float64(-0.314)]"
SETUP_1,B_plus_gc_price,0.2,1238,-0.3017,-0.3517,0.65,0.346,0.122,0.887,-0.4184,82.5,0,"[np.float64(-0.4433), np.float64(-0.1615), np.float64(-0.3069)]"
SETUP_1,C_plus_gc_volume,0.8,5273,-0.3505,-0.4005,0.608,0.336,0.507,0.513,-0.4685,351.5,0,"[np.float64(-0.4025), np.float64(-0.3145), np.float64(-0.2703)]"
SETUP_1,C_plus_gc_volume,0.6,3941,-0.3368,-0.3868,0.62,0.34,0.383,0.638,-0.4545,262.7,0,"[np.float64(-0.401), np.float64(-0.2891), np.float64(-0.2573)]"
SETUP_1,C_plus_gc_volume,0.4,2628,-0.3061,-0.3561,0.649,0.349,0.262,0.762,-0.4225,175.2,0,"[np.float64(-0.3603), np.float64(-0.2517), np.float64(-0.3361)]"
SETUP_1,C_plus_gc_volume,0.2,1294,-0.3274,-0.3774,0.628,0.342,0.126,0.882,-0.4452,86.3,0,"[np.float64(-0.3849), np.float64(-0.2356), np.float64(-0.4685)]"
SETUP_1,D_plus_gc_price_vol,0.8,5222,-0.3512,-0.4012,0.607,0.336,0.501,0.518,-0.4694,348.1,0,"[np.float64(-0.4078), np.float64(-0.3104), np.float64(-0.2887)]"
SETUP_1,D_plus_gc_price_vol,0.6,3912,-0.3443,-0.3943,0.613,0.337,0.377,0.64,-0.4623,260.8,0,"[np.float64(-0.4084), np.float64(-0.2951), np.float64(-0.2827)]"
SETUP_1,D_plus_gc_price_vol,0.4,2644,-0.3071,-0.3571,0.648,0.348,0.263,0.76,-0.4237,176.3,0,"[np.float64(-0.3761), np.float64(-0.2408), np.float64(-0.3505)]"
SETUP_1,D_plus_gc_price_vol,0.2,1298,-0.3003,-0.3503,0.654,0.35,0.13,0.883,-0.4165,86.5,0,"[np.float64(-0.3646), np.float64(-0.2003), np.float64(-0.4682)]"
SETUP_2,A_xau_baseline,0.8,7763,-0.322,-0.372,0.605,0.478,0.868,0.167,-0.4374,517.5,0,"[np.float64(-0.5305), np.float64(-0.3553), np.float64(-0.1747)]"
SETUP_2,A_xau_baseline,0.6,6249,-0.2743,-0.3243,0.649,0.493,0.721,0.349,-0.3879,416.6,0,"[np.float64(-0.4822), np.float64(-0.3458), np.float64(-0.1306)]"
SETUP_2,A_xau_baseline,0.4,4516,-0.218,-0.268,0.706,0.508,0.537,0.544,-0.3293,301.1,0,"[np.float64(-0.4984), np.float64(-0.3005), np.float64(-0.0783)]"
SETUP_2,A_xau_baseline,0.2,2565,-0.1057,-0.1557,0.842,0.54,0.324,0.758,-0.2125,171.0,1,"[np.float64(-0.4418), np.float64(-0.2204), np.float64(0.0231)]"
SETUP_2,B_plus_gc_price,0.8,7741,-0.3209,-0.3709,0.606,0.478,0.866,0.17,-0.4363,516.0,0,"[np.float64(-0.5345), np.float64(-0.3515), np.float64(-0.1736)]"
SETUP_2,B_plus_gc_price,0.6,6215,-0.2783,-0.3283,0.645,0.492,0.715,0.351,-0.392,414.3,0,"[np.float64(-0.5152), np.float64(-0.3439), np.float64(-0.129)]"
SETUP_2,B_plus_gc_price,0.4,4457,-0.2161,-0.2661,0.708,0.51,0.531,0.551,-0.3273,297.1,0,"[np.float64(-0.4698), np.float64(-0.3077), np.float64(-0.0771)]"
SETUP_2,B_plus_gc_price,0.2,2481,-0.105,-0.155,0.843,0.542,0.315,0.767,-0.2121,165.4,1,"[np.float64(-0.3741), np.float64(-0.2215), np.float64(0.0119)]"
SETUP_2,C_plus_gc_volume,0.8,7404,-0.3187,-0.3687,0.608,0.479,0.829,0.207,-0.434,493.6,0,"[np.float64(-0.5123), np.float64(-0.3783), np.float64(-0.173)]"
SETUP_2,C_plus_gc_volume,0.6,5799,-0.2711,-0.3211,0.652,0.493,0.669,0.396,-0.3846,386.6,0,"[np.float64(-0.4839), np.float64(-0.3491), np.float64(-0.1383)]"
SETUP_2,C_plus_gc_volume,0.4,4022,-0.1934,-0.2434,0.735,0.516,0.485,0.6,-0.304,268.1,0,"[np.float64(-0.4294), np.float64(-0.3171), np.float64(-0.0513)]"
SETUP_2,C_plus_gc_volume,0.2,2030,-0.1349,-0.1849,0.805,0.533,0.253,0.805,-0.2435,135.3,1,"[np.float64(-0.4267), np.float64(-0.3146), np.float64(0.0319)]"
SETUP_2,D_plus_gc_price_vol,0.8,7394,-0.3189,-0.3689,0.607,0.479,0.829,0.209,-0.4341,492.9,0,"[np.float64(-0.522), np.float64(-0.3774), np.float64(-0.1675)]"
SETUP_2,D_plus_gc_price_vol,0.6,5719,-0.2732,-0.3232,0.65,0.493,0.659,0.404,-0.3866,381.3,0,"[np.float64(-0.4797), np.float64(-0.356), np.float64(-0.1403)]"
SETUP_2,D_plus_gc_price_vol,0.4,3935,-0.2012,-0.2512,0.725,0.516,0.475,0.608,-0.3119,262.3,0,"[np.float64(-0.473), np.float64(-0.2966), np.float64(-0.0691)]"
SETUP_2,D_plus_gc_price_vol,0.2,2092,-0.135,-0.185,0.805,0.534,0.262,0.8,-0.2432,139.5,1,"[np.float64(-0.3908), np.float64(-0.3005), np.float64(0.0141)]"
SETUP_3,A_xau_baseline,0.8,10165,-0.1366,-0.1866,0.644,0.602,0.631,0.531,-0.203,677.6,0,"[np.float64(-0.1917), np.float64(-0.0915), np.float64(-0.107)]"
SETUP_3,A_xau_baseline,0.6,7414,-0.1031,-0.1531,0.736,0.62,0.474,0.673,-0.1722,494.2,0,"[np.float64(-0.1499), np.float64(-0.072), np.float64(-0.0673)]"
SETUP_3,A_xau_baseline,0.4,5144,-0.0669,-0.1169,0.831,0.617,0.328,0.772,-0.1398,342.9,0,"[np.float64(-0.1069), np.float64(-0.0313), np.float64(-0.0539)]"
SETUP_3,A_xau_baseline,0.2,2674,-0.0373,-0.0873,0.911,0.588,0.162,0.872,-0.1193,178.2,0,"[np.float64(-0.0674), np.float64(-0.0055), np.float64(-0.0417)]"
SETUP_3,B_plus_gc_price,0.8,10110,-0.133,-0.183,0.645,0.6,0.626,0.532,-0.1993,673.9,0,"[np.float64(-0.1913), np.float64(-0.0946), np.float64(-0.0897)]"
SETUP_3,B_plus_gc_price,0.6,7218,-0.087,-0.137,0.764,0.634,0.472,0.694,-0.1554,481.1,0,"[np.float64(-0.1384), np.float64(-0.0541), np.float64(-0.0507)]"
SETUP_3,B_plus_gc_price,0.4,4591,-0.0301,-0.0801,0.917,0.65,0.308,0.814,-0.1024,306.0,0,"[np.float64(-0.0573), np.float64(-0.0166), np.float64(-0.0088)]"
SETUP_3,B_plus_gc_price,0.2,2379,0.036,-0.014,1.1,0.639,0.157,0.9,-0.0444,158.6,2,"[np.float64(0.0357), np.float64(0.0605), np.float64(-0.0057)]"
SETUP_3,C_plus_gc_volume,0.8,10199,-0.1348,-0.1848,0.645,0.603,0.634,0.53,-0.2014,679.8,0,"[np.float64(-0.1851), np.float64(-0.1014), np.float64(-0.0983)]"
SETUP_3,C_plus_gc_volume,0.6,7463,-0.0972,-0.1472,0.745,0.624,0.48,0.675,-0.1663,497.5,0,"[np.float64(-0.1431), np.float64(-0.0669), np.float64(-0.0648)]"
SETUP_3,C_plus_gc_volume,0.4,5032,-0.0606,-0.1106,0.844,0.625,0.325,0.782,-0.1335,335.4,0,"[np.float64(-0.1068), np.float64(-0.0199), np.float64(-0.0464)]"
SETUP_3,C_plus_gc_volume,0.2,2632,-0.0085,-0.0585,0.978,0.609,0.165,0.881,-0.089,175.4,1,"[np.float64(-0.0337), np.float64(0.0191), np.float64(-0.0137)]"
SETUP_3,D_plus_gc_price_vol,0.8,10211,-0.1318,-0.1818,0.648,0.601,0.633,0.528,-0.1987,680.6,0,"[np.float64(-0.1892), np.float64(-0.0974), np.float64(-0.0868)]"
SETUP_3,D_plus_gc_price_vol,0.6,7389,-0.093,-0.143,0.75,0.63,0.48,0.683,-0.1622,492.5,0,"[np.float64(-0.1443), np.float64(-0.0587), np.float64(-0.0605)]"
SETUP_3,D_plus_gc_price_vol,0.4,4745,-0.0363,-0.0863,0.9,0.647,0.316,0.806,-0.1089,316.3,0,"[np.float64(-0.0749), np.float64(-0.0144), np.float64(-0.009)]"
SETUP_3,D_plus_gc_price_vol,0.2,2453,0.0357,-0.0143,1.101,0.642,0.162,0.898,-0.0439,163.5,3,"[np.float64(0.0212), np.float64(0.0626), np.float64(0.0145)]"
