hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=4b7c6d5c6035,S1,8357,557.0,0.372,-0.0229,-0.152,0.964,392.4,-0.129,0.0476,-0.0387,-0.0775,1,-0.0775,-0.0544,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=3ddb5e443d5d,S1,9723,648.0,0.428,0.0528,-0.0977,1.091,61.4,-0.0495,0.0848,0.0299,0.0435,3,0.0299,0.0602,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=46605422af38,S1,8179,545.0,0.32,-0.0075,-0.137,0.989,388.8,-0.1651,0.0869,-0.0533,-0.0562,1,-0.0562,-0.0118,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=b093ced01876,S1,9549,636.0,0.383,0.0726,-0.0779,1.116,60.0,-0.0809,0.1261,0.0281,0.0636,3,0.0281,0.1015,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=65a3466d30cf,S1,8514,567.0,0.382,-0.006,-0.1414,0.991,280.0,-0.2963,0.0222,-0.0209,-0.0194,1,-0.0209,0.0767,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=151cd7129f84,S1,9931,662.0,0.438,0.0641,-0.094,1.11,61.7,-0.2169,0.0737,0.067,0.0514,3,0.0514,0.1207,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=4/id=fedb8fd471e3,S1,8791,586.0,0.307,0.0179,-0.1105,1.026,302.3,-0.3761,0.0485,-0.0478,0.0529,2,-0.0478,0.1878,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=time/window=8/id=0ad4b9577817,S1,10250,683.0,0.362,0.0993,-0.0591,1.156,101.5,-0.2989,0.1018,0.0894,0.1067,3,0.0894,0.2064,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=4/id=c918917f88af,S1,8152,543.0,0.354,-0.0265,-0.1149,0.959,365.1,-0.1327,0.0353,-0.0328,-0.0821,1,-0.0821,-0.0872,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr2/window=8/id=2960f38767e8,S1,9313,621.0,0.355,-0.0282,-0.1143,0.956,411.7,-0.1345,0.0236,-0.0294,-0.0786,1,-0.0786,-0.0917,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=4/id=e67d58bb0aad,S1,7953,530.0,0.301,-0.0076,-0.0959,0.989,331.3,-0.1654,0.0782,-0.0395,-0.0613,1,-0.0613,-0.0674,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=rr3/window=8/id=4ff4e8053b59,S1,9077,605.0,0.303,-0.0129,-0.0992,0.981,379.0,-0.1709,0.0571,-0.0389,-0.0568,1,-0.0568,-0.072,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=4/id=ae3b9146498d,S1,8325,555.0,0.376,-0.0364,-0.128,0.942,394.9,-0.2766,0.0164,-0.0338,-0.0919,1,-0.0919,-0.0585,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=opp_liq/window=8/id=21871e84233f,S1,9549,636.0,0.381,-0.0361,-0.1252,0.942,461.9,-0.2737,0.0119,-0.0384,-0.0818,1,-0.0818,-0.0622,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=time/window=4/id=643ad07f1e11,S1,8691,579.0,0.302,-0.0054,-0.0972,0.992,327.7,-0.3507,0.0514,-0.0379,-0.0299,1,-0.0379,0.0091,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=none/stop=structural/exit=time/window=8/id=b3024ded79b4,S1,10076,672.0,0.306,-0.0077,-0.0975,0.988,364.2,-0.3456,0.0401,-0.037,-0.0262,1,-0.037,-0.0013,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=39391b987714,S1,1369,91.0,0.352,-0.0663,-0.142,0.892,103.3,-0.1742,-0.0168,-0.0547,-0.1274,0,-0.1274,-0.14,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=consecutive2/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=947470ca3cce,S1,1843,123.0,0.372,-0.0325,-0.1362,0.946,100.7,-0.1391,0.0146,-0.0687,-0.0435,1,-0.0687,-0.0856,False
