hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S49::N=4/mode=fade/stop=bar/exit=time/id=27bbc9f88f34,S49,68736,4581.0,0.786,0.6969,0.2514,3.455,22.1,0.3911,0.6951,0.6154,0.7803,3,0.6154,0.8108,True
S49::N=7/mode=fade/stop=bar/exit=time/id=f3771edfad46,S49,46115,3074.0,0.774,0.6669,0.2088,3.241,41.5,0.3639,0.7183,0.5815,0.7011,3,0.5815,0.7933,True
S49::N=4/mode=fade/stop=bar/exit=rr2/id=c002d2357523,S49,74551,4969.0,0.821,0.5337,0.0882,3.252,13.3,0.4767,0.5322,0.4821,0.5869,3,0.4821,0.6386,True
S49::N=7/mode=fade/stop=bar/exit=rr2/id=40dfc48ed91f,S49,49454,3296.0,0.814,0.5205,0.0665,3.118,22.6,0.4591,0.52,0.4704,0.5712,3,0.4704,0.6242,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=a1eab2cd2ecb,S1,418,28.0,0.452,0.1657,0.0935,1.32,14.3,0.0736,0.15,0.1239,0.2233,3,0.1239,0.1814,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=4c92c109f3f8,S1,418,28.0,0.452,0.1657,0.0935,1.32,14.3,0.0736,0.15,0.1239,0.2233,3,0.1239,0.1814,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=726c517bf1f6,S1,404,27.0,0.411,0.2171,0.1431,1.392,18.1,0.072,0.1122,0.2175,0.3222,3,0.1122,0.3098,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=f764149d00c7,S1,404,27.0,0.411,0.2171,0.1431,1.392,18.1,0.072,0.1122,0.2175,0.3222,3,0.1122,0.3098,True
S9::c4h=up/conf1h=align/lb=10/stop=structural/exit=rr2/id=84d1d3140099,S9,911,61.0,0.467,0.1181,0.0963,1.254,23.8,0.0201,0.1097,0.1196,0.125,3,0.1097,0.1224,True
S9::c4h=up/conf1h=align/lb=20/stop=atr/exit=rr3/id=ee6610d98abc,S9,1040,69.0,0.327,0.1604,0.1137,1.238,24.7,0.0112,0.1399,0.0964,0.2451,3,0.0964,0.2266,True
S9::c4h=up/conf1h=align/lb=20/stop=structural/exit=rr2/id=8815da183383,S9,695,46.0,0.486,0.1346,0.1165,1.319,14.7,0.0388,0.1036,0.0964,0.2042,3,0.0964,0.1688,True
S20::ctx=h4up/trig=breakout/lb=50/stop=struct/exit=rr2/id=2d575a7b2184,S20,536,36.0,0.498,0.1261,0.112,1.316,13.4,0.0303,0.182,0.0942,0.1021,3,0.0942,0.1115,True
S20::ctx=h4up/trig=breakout/lb=50/stop=atr/exit=rr3/id=601e20753a4a,S20,777,52.0,0.323,0.1609,0.1189,1.238,23.6,0.0152,0.1951,0.1939,0.0938,3,0.0938,0.1935,True
S9::c4h=up/conf1h=any/lb=20/stop=structural/exit=rr2/id=9bfaa0f08a0f,S9,926,62.0,0.481,0.1133,0.0951,1.268,14.1,0.0144,0.128,0.0932,0.1187,3,0.0932,0.1287,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=85dfa65a9ce1,S1,322,21.0,0.391,0.2221,0.1662,1.39,15.8,0.0767,0.2251,0.0895,0.3518,3,0.0895,0.2851,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=7a30ffb46ef6,S1,322,21.0,0.391,0.2221,0.1662,1.39,15.8,0.0767,0.2251,0.0895,0.3518,3,0.0895,0.2851,True
S20::ctx=h4up/trig=breakout/lb=20/stop=struct/exit=rr2/id=e38573221e35,S20,812,54.0,0.482,0.1102,0.0935,1.262,10.9,0.0117,0.1407,0.0876,0.1024,3,0.0876,0.1211,True
S9::c4h=up/conf1h=align/lb=20/stop=structural/exit=rr3/id=047d776a1bcb,S9,665,44.0,0.46,0.1646,0.1462,1.368,16.7,0.0168,0.1172,0.0854,0.292,3,0.0854,0.2516,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=a43f7223364a,S1,333,22.0,0.429,0.1298,0.075,1.242,14.4,0.0355,0.1637,0.0499,0.1756,3,0.0499,0.1265,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=50/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=2fef8a01b9a9,S1,333,22.0,0.429,0.1298,0.075,1.242,14.4,0.0355,0.1637,0.0499,0.1756,3,0.0499,0.1265,True
S1::side=low/liq_ref=pdh_pdl/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=09eb4d16eb2b,S1,222,15.0,0.514,0.1632,0.1438,1.409,11.1,0.0157,0.2685,0.1728,0.0482,3,0.0482,0.0176,True
S1::side=low/liq_ref=pdh_pdl/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr3/window=4/id=380b5afbbb78,S1,222,15.0,0.514,0.1632,0.1438,1.409,11.1,0.0157,0.2685,0.1728,0.0482,3,0.0482,0.0176,True
S9::c4h=up/conf1h=align/lb=20/stop=atr/exit=rr2/id=7197c8c63495,S9,1218,81.0,0.391,0.1263,0.0799,1.207,24.6,0.0294,0.0467,0.1192,0.2131,3,0.0467,0.2019,True
S1::side=low/liq_ref=pdh_pdl/liq_lb=20/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=5309f33ba81b,S1,223,15.0,0.534,0.1695,0.1501,1.447,11.8,0.0747,0.3119,0.1599,0.0347,3,0.0347,0.004,True
S1::side=low/liq_ref=pdh_pdl/liq_lb=50/confirm=consecutive2/imb=fvg/stop=structural/exit=rr2/window=4/id=d915b6e85632,S1,223,15.0,0.534,0.1695,0.1501,1.447,11.8,0.0747,0.3119,0.1599,0.0347,3,0.0347,0.004,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=20/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=f36ddad625c5,S1,739,49.0,0.444,0.1118,0.0225,1.207,17.5,0.0153,0.1379,0.0314,0.1659,3,0.0314,0.1068,True
S1::side=high/liq_ref=pdh_pdl/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=33aa030ea1c0,S1,739,49.0,0.444,0.1118,0.0225,1.207,17.5,0.0153,0.1379,0.0314,0.1659,3,0.0314,0.1068,True
