fam,N,tpy,WR,BASE,PF,maxDD,db5,eras,epos,recent,longpos,STRESS,SURVIVE
A1_S5_NY_ORB_long_rr3,2263,150.0,0.413,-0.0532,0.877,167.8,-0.2056,"[-0.0871, -0.1071, 0.0347]",1,0.0604,-0.0532,-0.0981,False
A2_S5_ORB_H4up_rr3,1320,88.0,0.423,-0.0318,0.925,86.8,-0.1843,"[-0.0776, -0.0656, 0.0476]",1,0.0397,-0.0318,-0.0743,False
A3_SessORB_H4aligned_rr2,5033,334.0,0.399,-0.116,0.769,585.8,-0.2231,"[-0.1214, -0.1476, -0.0788]",0,-0.0638,-0.1079,-0.1754,False
A4_H4_15mDonch_rr2,10507,698.0,0.33,-0.2995,0.653,3165.5,-0.4162,"[-0.3577, -0.3605, -0.1803]",0,-0.0644,-0.2818,-0.3558,False
A5_H4_ema20pullback_rr2,9090,604.0,0.338,-0.2848,0.667,2623.2,-0.4006,"[-0.2867, -0.3749, -0.1928]",0,-0.0249,,-0.3508,False
A6_H4_prevSessBreak_rr2,9351,621.0,0.338,-0.2784,0.673,2612.3,-0.3939,"[-0.3362, -0.3149, -0.1842]",0,-0.0441,-0.2651,-0.3467,False
A7_H4_compExpansion_rr2,7444,495.0,0.327,-0.3969,0.572,2976.4,-0.5159,"[-0.443, -0.4434, -0.3043]",0,-0.041,-0.3724,-0.433,False
A8_H4_vwapReclaim_rr2,24703,1641.0,0.338,-0.2721,0.679,6733.7,-0.3874,"[-0.3144, -0.3323, -0.1695]",0,-0.0211,-0.2761,-0.3449,False
A9_H4_pdhpdlBreak_rr2,1132,75.0,0.352,-0.105,0.86,185.5,-0.2127,"[-0.2386, -0.1559, 0.0799]",1,0.0888,-0.0859,-0.173,False
A10_H4volHi_disp_rr2,7549,502.0,0.348,-0.2032,0.749,1642.2,-0.315,"[-0.1975, -0.2866, -0.1256]",0,0.0865,-0.2158,-0.301,False
A11_CONTROL_H4counter_rr2,21273,1413.0,0.327,-0.2896,0.659,6176.2,-0.4061,"[-0.2982, -0.3436, -0.227]",0,-0.1617,-0.2996,-0.3604,False
