year,size,mean,sum
2011,414,-0.08148310305259146,-33.734004663772865
2012,1028,-0.18482226700160687,-189.99729047765186
2013,931,-0.09826232352785462,-91.48222320443266
2014,907,-0.159056666790028,-144.2643967785554
2015,919,-0.16047311012982549,-147.47478820930962
2016,924,-0.15488268823160548,-143.11160392600345
2017,915,-0.1651078048622393,-151.07364144894896
2018,884,-0.02162584695166955,-19.11724870527588
2019,999,-0.188888530940637,-188.69964240969637
2020,809,-0.004950537828658998,-4.004985103385129
2021,892,-0.054269039242799244,-48.40798300457693
2022,873,-0.05775801993998837,-50.42275140760985
2023,1006,-0.06354841733858084,-63.92970784261233
2024,1040,-0.11604488632028136,-120.68668177309262
2025,994,-0.022864098887887003,-22.72691429455968
2026,586,-0.025246586729894136,-14.794499823717963
