b,ei,dir,R
890,892,1,-1.0
2425,2427,-1,-1.0
3762,3764,1,-1.0
4669,4671,-1,-1.0
7377,7379,-1,-1.0
8702,8704,1,-1.0
8736,8738,-1,-1.0
10145,10147,-1,-1.0
10192,10194,1,-1.0
11357,11359,1,-1.0
11884,11886,-1,-1.0
12318,12320,-1,-1.0
13813,13815,1,-1.0
15304,15306,1,-1.0
15574,15576,1,-1.0
17264,17266,1,-1.0
17725,17727,-1,-1.0
18559,18561,-1,-1.0
20667,20669,1,-1.0
20791,20793,1,-1.0
21038,21040,1,-1.0
21300,21302,1,-1.0
23017,23019,1,-1.0
23417,23419,-1,-1.0
24903,24905,1,-1.0
26403,26405,1,-1.0
27116,27118,-1,-1.0
27832,27834,1,-1.0
29843,29845,1,-1.0
31055,31057,-1,-1.0
35477,35479,1,-1.0
36960,36962,-1,-1.0
38674,38676,-1,-1.0
39507,39509,-1,-1.0
40773,40775,1,-1.0
41570,41572,-1,-1.0
42639,42641,1,-1.0
42687,42689,-1,-1.0
43186,43188,1,-1.0
45154,45156,1,-1.0
45756,45758,-1,-1.0
47175,47177,1,-1.0
47673,47675,1,-1.0
48513,48515,-1,-1.0
49402,49404,-1,-1.0
50490,50492,-1,-1.0
51083,51085,-1,-1.0
52082,52084,-1,-1.0
52182,52184,-1,-1.0
52986,52988,-1,-1.0
54020,54022,-1,-1.0
54866,54868,-1,-1.0
56718,56720,-1,-1.0
56806,56808,1,-1.0
56897,56899,1,-1.0
61975,61977,-1,-1.0
63488,63490,1,-1.0
64167,64169,-1,-1.0
65308,65310,1,-1.0
65778,65780,-1,-1.0
66578,66580,-1,-1.0
66925,66927,-1,-1.0
67184,67186,1,-1.0
67619,67621,-1,-1.0
67655,67657,-1,-1.0
68044,68046,1,-1.0
68692,68694,-1,-1.0
70037,70039,1,-1.0
70094,70096,-1,-1.0
70178,70180,-1,-1.0
72329,72331,1,-1.0
72769,72771,-1,-1.0
73497,73499,-1,-1.0
74527,74529,1,-1.0
74555,74557,-1,-1.0
76965,76967,-1,-1.0
77613,77615,-1,-1.0
78156,78158,-1,-1.0
78311,78313,1,-1.0
80120,80122,1,-1.0
80697,80699,1,-1.0
81194,81196,1,-1.0
81450,81452,1,-1.0
83996,83998,-1,-1.0
88232,88234,-1,-1.0
90147,90149,1,-1.0
91188,91190,1,-1.0
91462,91464,1,-1.0
93009,93011,1,-1.0
93145,93147,-1,-1.0
93168,93170,1,-1.0
94259,94261,1,-1.0
94664,94666,1,-1.0
94859,94861,-1,-1.0
96624,96626,1,-1.0
96924,96926,1,-1.0
97390,97392,-1,-1.0
98403,98405,-1,-1.0
98453,98455,-1,-1.0
98804,98806,-1,-1.0
98854,98856,-1,-1.0
98908,98910,1,-1.0
98995,98997,-1,-1.0
100012,100014,1,-1.0
102213,102215,-1,-1.0
104668,104670,1,-1.0
104974,104976,-1,-1.0
105882,105884,-1,-1.0
107044,107046,1,-1.0
107475,107477,-1,-1.0
107810,107812,1,-1.0
108076,108078,1,-1.0
108085,108087,-1,-1.0
112135,112137,-1,-1.0
112287,112289,-1,-1.0
113044,113046,1,-1.0
115254,115256,-1,-1.0
115781,115783,1,-1.0
115837,115839,1,-1.0
116830,116832,1,-1.0
116883,116885,1,-1.0
118572,118574,1,-1.0
119538,119540,1,-1.0
120914,120916,1,-1.0
121736,121738,-1,-1.0
123006,123008,-1,-1.0
123074,123076,1,-1.0
125214,125216,1,-1.0
125784,125786,1,-1.0
129647,129649,1,-1.0
129981,129983,1,-1.0
131754,131756,-1,-1.0
132215,132217,1,-1.0
134920,134922,1,-1.0
137505,137507,-1,-1.0
140007,140009,1,-1.0
140389,140391,-1,-1.0
140675,140677,-1,-1.0
141155,141157,-1,-1.0
141224,141226,1,-1.0
141577,141579,-1,-1.0
141741,141743,-1,-1.0
142236,142238,-1,-1.0
142674,142676,-1,-1.0
143532,143534,-1,-1.0
144951,144953,-1,-1.0
144982,144984,1,-1.0
145916,145918,-1,-1.0
146558,146560,1,-1.0
148440,148442,1,-1.0
149420,149422,-1,-1.0
149910,149912,-1,-1.0
151295,151297,1,-1.0
151759,151761,1,-1.0
151856,151858,1,-1.0
156795,156797,-1,-1.0
157964,157966,1,-1.0
158222,158224,-1,-1.0
158379,158381,-1,-1.0
158962,158964,1,-1.0
159179,159181,-1,-1.0
159862,159864,-1,-1.0
160942,160944,-1,-1.0
161313,161315,1,-1.0
161394,161396,1,-1.0
161625,161627,-1,-1.0
161904,161906,-1,-1.0
163270,163272,1,-1.0
163537,163539,1,-1.0
163742,163744,-1,-1.0
163812,163814,-1,-1.0
166216,166218,1,-1.0
166850,166852,-1,-1.0
167116,167118,1,-1.0
167435,167437,-1,-1.0
168861,168863,-1,-1.0
169904,169906,1,-1.0
170397,170399,1,-1.0
171166,171168,1,-1.0
171467,171469,1,-1.0
171931,171933,-1,-1.0
173264,173266,-1,-1.0
174633,174635,-1,-1.0
174865,174867,-1,-1.0
175882,175884,-1,-1.0
176173,176175,1,-1.0
177542,177544,1,-1.0
177698,177700,-1,-1.0
178198,178200,1,-1.0
178841,178843,-1,-1.0
180361,180363,-1,-1.0
181703,181705,1,-1.0
183026,183028,1,-1.0
183999,184001,-1,-1.0
184574,184576,1,-1.0
184925,184927,1,-1.0
185628,185630,1,-1.0
185793,185795,-1,-1.0
186970,186972,-1,-1.0
188282,188284,1,-1.0
189165,189167,1,-1.0
191139,191141,-1,-1.0
191540,191542,-1,-1.0
192291,192293,-1,-1.0
192734,192736,1,-1.0
