year,n,exp,total
2011,866,-0.02551563197772153,-22.096537292706845
2012,1998,-0.0964883547104649,-192.78373271150886
2013,1869,-0.11788532477172993,-220.32767199836323
2014,1741,-0.10519048755914803,-183.13663884047673
2015,1828,-0.10905815163001173,-199.35830117966145
2016,1949,-0.09089551963157008,-177.15536776193008
2017,1896,-0.08781878004176259,-166.50440695918186
2018,1919,-0.031773774776809226,-60.97387379669691
2019,1928,-0.10707436474834614,-206.43937523481137
2020,1812,-0.05576220240258425,-101.04111075348266
2021,1809,-0.053625260793228456,-97.00809677495027
2022,1861,-0.035567684765293,-66.19146134821027
2023,1800,-0.047533775536502676,-85.56079596570481
2024,1881,-0.026834792148444052,-50.47624403122326
2025,1894,0.003333717476320864,6.314060900151717
2026,1035,-0.00838535582975886,-8.67884328380042
