fam,N,tpy,WR,BASE,STRESS,PF,p1,p2,p3,db5,GATE
M5_pdh_h4d1/rr3,2543,509.0,0.287,0.1136,0.0464,1.06,0.03,0.012,0.114,-0.1077,False
M5_ORB_h4d1/rr3,1375,275.0,0.363,0.0604,0.0425,1.069,0.144,-0.029,0.047,-0.1108,False
M5_ORB_h4/rr3,1545,309.0,0.358,0.0471,0.0292,1.047,0.117,-0.023,0.019,-0.126,False
M5_ORB_h4d1/rr2,1448,290.0,0.4,0.0465,0.0286,1.049,0.097,-0.024,0.036,-0.0742,False
M5_pdh_h4/rr3,2859,572.0,0.282,0.0949,0.028,1.036,0.007,-0.001,0.092,-0.1262,False
M5_ORB_h4/rr2,1620,324.0,0.391,0.0272,0.0093,1.016,0.064,-0.03,0.012,-0.095,False
M5_pdh_h4d1/rr2,2602,520.0,0.365,0.0765,0.0091,1.013,-0.017,-0.028,0.091,-0.0946,False
M5_pwh_h4d1/rr3,1400,280.0,0.271,0.056,-0.0062,0.992,-0.13,0.032,0.064,-0.1634,False
M5_pdh_h4/rr2,2924,585.0,0.359,0.0576,-0.0096,0.986,-0.045,-0.035,0.063,-0.1142,False
M5_pwh_h4/rr3,1477,295.0,0.267,0.0392,-0.0224,0.972,-0.125,-0.006,0.055,-0.1785,False
M5_pwh_h4d1/rr2,1441,288.0,0.347,0.0241,-0.0383,0.946,-0.151,-0.044,0.072,-0.1446,False
M5_pwh_h4/rr2,1521,304.0,0.344,0.0143,-0.0477,0.932,-0.149,-0.069,0.073,-0.1545,False
M5_sweepReclaim_h4d1/rr3,4756,951.0,0.266,0.0268,-0.0506,0.937,-0.136,-0.044,0.032,-0.2093,False
M5_sweepReclaim_h4/rr3,4991,998.0,0.265,0.024,-0.053,0.934,-0.132,-0.045,0.023,-0.212,False
M5_ema20pb_h4d1/rr3,15656,3131.0,0.262,0.0163,-0.0597,0.926,-0.118,-0.086,0.034,-0.2194,False
M5_ema20pb_h4/rr3,17268,3454.0,0.261,0.011,-0.0646,0.92,-0.119,-0.092,0.026,-0.2246,False
M5_don20_h4d1/rr3,8801,1760.0,0.258,0.0052,-0.0736,0.91,-0.201,-0.053,0.014,-0.234,False
M5_ema20pb_h4d1/rr2,18682,3736.0,0.339,-0.005,-0.0834,0.885,-0.127,-0.118,0.007,-0.1919,False
M5_ema20pb_h4/rr2,20652,4130.0,0.338,-0.0073,-0.0851,0.883,-0.128,-0.122,0.006,-0.1937,False
M5_don20_h4/rr3,9730,1946.0,0.254,-0.009,-0.0873,0.893,-0.21,-0.072,0.005,-0.2482,False
M5_sweepReclaim_h4d1/rr2,4993,999.0,0.338,-0.0098,-0.0876,0.88,-0.149,-0.11,0.014,-0.1961,False
M5_sweepReclaim_h4/rr2,5239,1048.0,0.336,-0.0138,-0.0913,0.875,-0.153,-0.112,0.01,-0.1999,False
M5_don20_h4d1/rr2,9920,1984.0,0.333,-0.0217,-0.101,0.862,-0.194,-0.106,-0.013,-0.2104,False
M5_disp_h4d1/rr3,14245,2849.0,0.253,-0.0146,-0.1019,0.877,-0.184,-0.119,0.004,-0.2637,False
M5_disp_h4/rr3,15683,3137.0,0.252,-0.0172,-0.1043,0.874,-0.183,-0.119,-0.004,-0.2662,False
M5_don20_h4/rr2,10955,2191.0,0.331,-0.0307,-0.1091,0.852,-0.204,-0.112,-0.021,-0.2188,False
M5_disp_h4d1/rr2,15673,3135.0,0.33,-0.0339,-0.1217,0.837,-0.203,-0.143,-0.011,-0.232,False
M5_disp_h4/rr2,17297,3459.0,0.33,-0.0347,-0.1222,0.836,-0.2,-0.142,-0.018,-0.2326,False
