setup_id,exp_lift,perm_lift,randN_exp,base_exp,sel_exp,real_beats_placebo
BASE_SETUP_01,0.1445,-0.0044,-0.3047,-0.3144,-0.1939,True
BASE_SETUP_02,0.023,-0.0083,-0.2308,-0.226,-0.2147,True
BASE_SETUP_03,0.3042,0.0718,-0.3783,-0.3737,-0.0571,True
BASE_SETUP_04,0.1313,0.0625,-0.2406,-0.224,-0.0888,False
BASE_SETUP_05,0.0482,0.0163,-0.1771,-0.1741,-0.1379,True
BASE_SETUP_06,0.0412,0.0084,-0.1944,-0.1954,-0.1695,True
BASE_SETUP_07,0.0523,-0.0325,-0.0414,-0.0581,0.0012,True
BASE_SETUP_08,0.2443,-0.008,-0.218,-0.2324,0.0127,True
BASE_SETUP_09,0.0183,-0.0055,-0.1515,-0.1512,-0.1529,False
BASE_SETUP_10,0.0837,0.0017,-0.1742,-0.1758,-0.0941,True
