blind_id,category
g009,movement_path
g034,movement_path
g041,movement_path
g054,movement_path
g020,acceleration
g030,acceleration
g002,path_efficiency
g003,path_efficiency
g050,path_efficiency
g027,pullback_depth
g018,pullback_depth
g006,pullback_depth
g040,pullback_depth
g010,close_location
g008,close_location
g052,close_location
g028,close_location
g032,range_expansion
g013,overlap_chop
g046,structure
g047,structure
g011,structure
g014,volatility_path
g025,volume_path
g012,volume_path
g053,volume_path
g049,volume_path
g035,acceleration
g021,approach_dynamics
