setup_id,object,mechanism,N,base_exp,model,all_N,all_exp,all_PF,all_WR,sel_N,sel_pct,sel_exp,sel_PF,sel_WR,skip_N,skip_exp,winners_retained,losers_avoided,exp_lift,perm_lift,randN_exp,class,sel_per_year
BASE_SETUP_01,S21::6ddb75c3f9b1,M01_LIQUIDITY_SWEEP,13540,-0.3144,logit,10821,-0.3384,0.615,0.328,876,0.081,-0.1939,0.75,0.336,9945,-0.3512,0.083,0.92,0.1445,-0.0044,-0.3047,LOSE_LESS_ONLY,58.4
BASE_SETUP_02,S2::691f36c634e3,M02_FAILED_BREAKOUT_FADE,7148,-0.226,tree,5709,-0.2376,0.707,0.343,2455,0.43,-0.2147,0.729,0.349,3254,-0.255,0.437,0.574,0.023,-0.0083,-0.2308,NO_DISCRIMINATION,163.7
BASE_SETUP_03,S3::7aafa506c507,M03_BREAKOUT_RETEST,11720,-0.3737,logit,9358,-0.3613,0.574,0.467,1388,0.148,-0.0571,0.912,0.543,7970,-0.4143,0.172,0.873,0.3042,0.0718,-0.3783,LOSE_LESS_ONLY,92.5
BASE_SETUP_04,S4::cf232107e3b5,M04_VOLATILITY_COMPRESSION_EXPANSION,11007,-0.224,logit,8797,-0.2201,0.725,0.338,1364,0.155,-0.0888,0.877,0.348,7433,-0.2442,0.159,0.847,0.1313,0.0625,-0.2406,LOSE_LESS_ONLY,90.9
BASE_SETUP_05,S8::b7adfd7f9d4f,M08_EXTENSION_MEAN_REVERSION,7456,-0.1741,logit,5959,-0.186,0.757,0.342,401,0.067,-0.1379,0.809,0.327,5558,-0.1895,0.064,0.931,0.0482,0.0163,-0.1771,LOSE_LESS_ONLY,26.7
BASE_SETUP_06,S10::7df75fdb8ecb,M10_DISPLACEMENT_CONTINUATION,13834,-0.1954,tree,11057,-0.2107,0.718,0.362,5572,0.504,-0.1695,0.76,0.373,5485,-0.2525,0.52,0.505,0.0412,0.0084,-0.1944,LOSE_LESS_ONLY,371.4
BASE_SETUP_07,S11::576394ea476f,M11_STRUCTURE_BREAK_REVERSAL,5092,-0.0581,logit,4067,-0.0511,0.893,0.418,401,0.099,0.0012,1.003,0.426,3666,-0.0568,0.101,0.903,0.0523,-0.0325,-0.0414,PROFITABLE_CONTEXTUAL_SELECTION,26.7
BASE_SETUP_08,S12::884efeda36f3,M12_RANGE_ROTATION,15005,-0.2324,logit,11989,-0.2316,0.68,0.428,961,0.08,0.0127,1.022,0.544,11028,-0.2529,0.102,0.936,0.2443,-0.008,-0.218,PROFITABLE_CONTEXTUAL_SELECTION,64.1
BASE_SETUP_09,S13::7d288aa44d52,M13_IMBALANCE_FVG,15985,-0.1512,tree,12770,-0.1712,0.768,0.345,7074,0.554,-0.1529,0.788,0.348,5696,-0.1939,0.56,0.449,0.0183,-0.0055,-0.1515,NO_DISCRIMINATION,471.5
BASE_SETUP_10,S27::8492323d86e4,M16_AUCTION_VALUE,25010,-0.1758,logit,19977,-0.1778,0.523,0.528,1742,0.087,-0.0941,0.709,0.578,18235,-0.1858,0.095,0.922,0.0837,0.0017,-0.1742,LOSE_LESS_ONLY,116.1
