sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,447,1,1.881538026576188,2.2471020638961057,-0.4517953067571511,2011,8,1,10,21,LN,1.5469285714285985,,hi,True,TREND_UP,0.8084332969829101,0.09244124301613207,ALIGN
HTF_PBK_TREND,594,1,-1.0747947161727942,0.0,-1.2915030346304508,2011,8,3,0,1,AS,1.7000714285714398,,hi,True,TREND_UP,0.6080125314472855,1.9887399689089065,ALIGN
HTF_PBK_TREND,638,1,-1.0367253922342008,1.0198965728810465,-1.6943640985187092,2011,8,3,11,23,LN,2.5851428571428903,,hi,True,TREND_UP,0.9074049803407608,2.704299292661409,ALIGN
HTF_PBK_TREND,721,1,-1.0342768324607332,0.15714986910995252,-1.467359293193717,2011,8,4,8,17,LN,3.662928571428584,,hi,True,TREND_UP,0.6246754210252965,1.2637429067295578,ALIGN
HTF_PBK_TREND,4674,-1,1.9645815722738798,2.2793744716821904,-0.8561284868977169,2011,10,1,7,15,AS,3.8213571428571447,0.268,lo,True,TREND_DOWN,0.5594230878428245,-0.40613843249404086,ALIGN
HTF_PBK_TREND,4686,-1,1.921901211556384,3.73849021435228,-0.05703634669152647,2011,10,1,10,21,LN,3.237071428571442,0.2635,lo,True,TREND_DOWN,0.694651070353753,1.4713916900196076,ALIGN
HTF_PBK_TREND,4812,-1,-1.037652767792955,0.14243350107836508,-1.0950754852624012,2011,10,2,18,37,NY,6.700357142857099,0.747,hi,False,TREND_DOWN,0.7822522258096092,1.5072330899206137,ALIGN
HTF_PBK_TREND,4831,-1,-1.0631214221150957,0.3339861404037549,-1.4947273275083075,2011,10,2,23,47,LT,1.6395714285714251,0.0075,lo,False,TREND_DOWN,0.8203995623455034,-1.598588481310508,ALIGN
HTF_PBK_TREND,4863,-1,-1.0772777572851342,0.5569900405754274,-1.5623386204352572,2011,10,3,7,15,AS,4.106999999999955,0.36,md,True,TREND_DOWN,0.8975492696937055,0.22011200389578922,ALIGN
HTF_PBK_TREND,4974,-1,-1.065612276855622,0.3421547134356337,-2.15831506420294,2011,10,4,11,23,LN,3.495999999999981,0.2655,lo,True,TREND_DOWN,0.5471236582347674,-0.5637871853546952,ALIGN
HTF_PBK_TREND,10213,-1,0.20128500191791396,0.5474683544303797,-0.34752589182968785,2011,12,1,0,1,AS,2.7207142857142963,0.53,md,False,TREND_DOWN,0.08612076455256396,-3.2520871619847442,ALIGN
HTF_PBK_TREND,13117,1,1.9457815734989652,2.2093685300206647,-0.6427277432712288,2012,2,3,2,5,AS,1.958071428571397,0.445,md,False,TREND_UP,0.33698679688913136,0.8375588224565633,ALIGN
HTF_PBK_TREND,13129,1,-1.1020457866536777,1.0703848027277125,-1.2601071602532843,2012,2,3,5,11,AS,1.52235714285715,0.2775,lo,False,TREND_UP,0.3918610960390618,0.9964810209729956,ALIGN
HTF_PBK_TREND,13161,1,1.9333863275039742,2.5041335453100264,-0.10031796502386155,2012,2,3,13,27,NY,3.238642857142833,0.7855,hi,False,TREND_UP,0.44030128709183014,0.5020621512538285,ALIGN
HTF_PBK_TREND,15250,-1,-1.143493150684928,0.016780821917800327,-1.1647260273972544,2012,3,0,19,39,NY,1.6392142857142906,0.39125,md,True,TREND_DOWN,0.2580698423181698,0.2305982831495486,ALIGN
HTF_PBK_TREND,16165,-1,-1.1454861111111172,0.09340277777778351,-5.384375000000243,2012,3,0,11,23,LN,1.693214285714248,0.376,md,True,TREND_DOWN,0.5562925466922709,0.6419742670322796,ALIGN
HTF_PBK_TREND,16507,-1,-1.2625313283208013,1.3352130325815041,-2.1033834586465936,2012,3,4,2,5,AS,1.0357142857142532,0.057,lo,False,TREND_DOWN,0.9024701195219119,0.5870344827585882,ALIGN
HTF_PBK_TREND,20276,-1,-1.058625996921784,0.3468588218832739,-1.3741429970616927,2012,5,4,9,19,LN,2.673714285714271,0.762,hi,False,TREND_DOWN,0.3284216065857199,-0.3998183372516218,ALIGN
HTF_PBK_TREND,23238,-1,-1.0776645041705286,0.8772937905467958,-1.3091751621872336,2012,7,0,19,39,NY,1.630500000000016,0.442,md,False,TREND_DOWN,0.6688152240638432,-0.40417049984673353,ALIGN
HTF_PBK_TREND,23823,-1,1.8502501786990708,2.1944245889920904,-0.8531093638312873,2012,7,2,1,3,AS,0.9816428571428365,0.068,lo,True,TREND_DOWN,0.392673568377614,-1.1114021683767756,ALIGN
HTF_PBK_TREND,24171,-1,0.5097061909758103,1.122245540398709,-0.4202518363064104,2012,7,0,17,35,NY,2.2825000000000273,0.764,hi,False,TREND_DOWN,0.5532960799966349,0.6164293537787113,ALIGN
HTF_PBK_TREND,24254,-1,-1.0639987780662896,1.4098060180235195,-1.0146632045211552,2012,7,1,14,29,NY,2.6119999999999988,0.7965,hi,False,TREND_DOWN,0.4964233520498483,1.1596477794793254,ALIGN
HTF_PBK_TREND,28497,1,-1.1047238190452393,0.5926018495375859,-1.190202449387646,2012,9,2,1,3,AS,1.1970714285714297,0.3045,lo,False,TREND_UP,0.26937292102994137,1.126081508443187,ALIGN
HTF_PBK_TREND,28513,1,-1.1440852819807363,0.016506189821182835,-1.0330123796423656,2012,9,2,5,11,AS,0.9907142857142617,0.137,lo,False,TREND_UP,0.33374399408649413,0.3734679163663865,ALIGN
HTF_PBK_TREND,31012,-1,1.620126926563861,2.138712601995011,-0.3318223028105523,2012,11,4,0,1,AS,0.7416428571428598,0.0385,lo,True,TREND_DOWN,0.16323320098884547,1.0611576615622116,ALIGN
