sid,AS,LN,LT,NY
HTF_PBK_TREND,-0.07640650643579071,-0.1590787837006519,-0.3195748844303045,0.091614267134185
HTF_RANGE_FADE,-0.1615894847760273,-0.2751783109829627,-0.0014469835632136242,-0.0727065911162213
HTF_RECLAIM,-0.1592494754686526,-0.10425708991969815,-0.1351214182762782,-0.04095548176674662
HTF_TGT_BREAK,0.18900443111720827,-0.12361468596433059,-0.307133590137015,-0.015489632637354322
OBEXEC_B,,-0.3381953558413415,,-0.20664293488781826
OBEXEC_C,,-0.2915542292773069,,-0.13630028649764764
OBEXEC_D,,-0.24939551780255437,,-0.13468928106734415
OBR_A_limit,,-0.093339863866314,,-0.04507220079179262
SESS_A,-0.05346923988487197,0.014951113223556712,,0.16038401699547666
SESS_B,-0.3149980360949452,-0.4009822241267756,,-0.19535051317555582
SESS_C,,,,-0.2791331001590712
SESS_D,,,,-0.02670173193596891
SESS_E,,,-0.4115241339933944,-0.16620709315442997
SESS_Fc,,,-0.25464482810386535,-0.16450986307342363
