feature,value,N,pooled_exp,WR,strat_pos,strat_total
sess,AS,3900,-0.1639,0.355,0,5
sess,LN,10099,-0.1849,0.353,1,10
sess,LT,1447,-0.2191,0.321,0,4
sess,NY,15257,-0.1119,0.37,2,14
volb,hi,14295,-0.1058,0.371,1,14
volb,lo,5480,-0.1976,0.354,2,13
volb,md,10928,-0.1771,0.349,3,14
align,ALIGN,16111,-0.1046,0.372,2,13
align,COUNTER,8112,-0.1994,0.346,0,10
align,NEUT,6480,-0.1895,0.349,1,13
dow,0,5583,-0.167,0.358,2,14
dow,1,6458,-0.1412,0.363,0,14
dow,2,6447,-0.1521,0.359,1,14
dow,3,6152,-0.16,0.353,0,14
dow,4,5973,-0.1179,0.368,3,14
dow,6,90,-0.1823,0.367,0,1
side,-1,11478,-0.1634,0.352,1,10
side,1,19225,-0.1381,0.365,2,14
