year,n,exp,total
2011,118,-0.02691517697265084,-3.1759908827727994
2012,302,-0.1753328533736527,-52.95052171884311
2013,237,-0.11279463730073425,-26.732329040274017
2014,265,-0.15640360688537078,-41.44695582462326
2015,258,-0.0005263744738973818,-0.13580461426552448
2016,301,-0.10574087604732225,-31.828003690244
2017,321,-0.026330784993209278,-8.452181982820179
2018,315,-0.053560201904947174,-16.87146360005836
2019,322,-0.09001915577090586,-28.986168158231685
2020,281,-0.04378935349617466,-12.304808332425079
2021,324,-0.11480690356069305,-37.19743675366455
2022,350,-0.028957581950174238,-10.135153682560983
2023,390,-0.028077980977074445,-10.950412581059034
2024,359,-0.07778657785790832,-27.92538145098909
2025,344,-0.022008235580553762,-7.570833039710495
2026,198,0.06419366297378071,12.710345268808581
