ANALYSIS_OBJECT_ID,SOURCE_FAMILY_ID,MECHANISM_ID,REPRESENTATIVE_VARIANT_ID,DIRECTION,SOURCE_TYPE,TIER
CAND0001,CAND0001,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0004,CAND0004,M13_IMBALANCE_FVG,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0005,CAND0005,M13_IMBALANCE_FVG,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0006,CAND0006,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0009,CAND0009,M03_BREAKOUT_RETEST,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0027,CAND0027,M06_SESSION_TIME,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0037,CAND0037,M03_BREAKOUT_RETEST,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
CAND0038,CAND0038,M10_DISPLACEMENT_CONTINUATION,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E005,E005,M06_SESSION_TIME,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E006,E006,M02_FAILED_BREAKOUT_FADE,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E008,E008,M06_SESSION_TIME,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E009,E009,M11_STRUCTURE_BREAK_REVERSAL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E010,E010,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E011,E011,M08_EXTENSION_MEAN_REVERSION,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E012,E012,M13_IMBALANCE_FVG,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E014,E014,M02_FAILED_BREAKOUT_FADE,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E015,E015,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E017,E017,M01_LIQUIDITY_SWEEP,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E025,E025,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E026,E026,M08_EXTENSION_MEAN_REVERSION,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E027,E027,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E028,E028,M07_TREND_CONTINUATION,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E029,E029,M15_GAP,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
E032,E032,M16_AUCTION_VALUE,,BOTH,REGENERATE_EDGERESEARCH,T2_REGENERATE_EDGERESEARCH
ALPHA_DISCOVERY_FACTORY_V2,ALPHA_DISCOVERY_FACTORY_V2,M26_CONTRAST_MINING,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,M11_STRUCTURE_BREAK_REVERSAL,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
CHRONOLOGICAL_MARKET_LEARNING,CHRONOLOGICAL_MARKET_LEARNING,M21_META_ROUTER,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,M23_CROSS_MARKET,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,M25_DIRECTION_AGNOSTIC_OCO,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
DXY_FRONTIER_V1,DXY_FRONTIER_V1,M23_CROSS_MARKET,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
H1_H4_SETUP_M5_EXECUTION_V1,H1_H4_SETUP_M5_EXECUTION_V1,M09_MTF_ALIGNMENT,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,M24_EVENT_REVEALED_RESPONSE,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
OB_RETEST_FACTORY_V1,OB_RETEST_FACTORY_V1,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
SESSION_FRONTIER_SF1_SF3,SESSION_FRONTIER_SF1_SF3,M06_SESSION_TIME,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
TEMPORAL_SEQUENCE_MINING_V1,TEMPORAL_SEQUENCE_MINING_V1,M19_SEQUENCE_RUNLENGTH,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
VOLPATH_FRONTIER,VOLPATH_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
VOLTIME_FRONTIER,VOLTIME_FRONTIER,M04_VOLATILITY_COMPRESSION_EXPANSION,,BOTH,REGENERATE_FACTORY,T2_REGENERATE_FACTORY
COMP_CONT_L_RR2,COMP_CONT_L_RR2,M07_TREND_CONTINUATION,,BOTH,REGENERATE_FROZEN_SPEC,T2_REGENERATE_FROZEN_SPEC
CRS1_H4DIV_FADE_S,CRS1_H4DIV_FADE_S,M08_EXTENSION_MEAN_REVERSION,,BOTH,REGENERATE_FROZEN_SPEC,T2_REGENERATE_FROZEN_SPEC
E015_ORDER_BLOCK_REMITIGATION,E015_ORDER_BLOCK_REMITIGATION,M14_REFERENCE_LEVEL,,BOTH,REGENERATE_FROZEN_SPEC,T2_REGENERATE_FROZEN_SPEC
