family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,76,77,1,-0.0,-1.0
A_sweep_reclaim,184,185,1,-0.0,2.0
A_sweep_reclaim,607,608,-1,0.0,-1.0
A_sweep_reclaim,744,745,1,-0.0,-1.0
A_sweep_reclaim,838,839,1,-0.0,2.0
A_sweep_reclaim,1127,1128,1,-0.0,-1.0
A_sweep_reclaim,1154,1155,-1,0.0,2.0
A_sweep_reclaim,1258,1259,1,-0.0,1.375024824051948
A_sweep_reclaim,1359,1360,1,-0.0,2.0
A_sweep_reclaim,1612,1613,-1,0.0,-1.0
A_sweep_reclaim,1645,1646,-1,0.0,-1.0
A_sweep_reclaim,1684,1685,1,-0.0,-1.0
A_sweep_reclaim,1782,1783,1,-0.0,-0.12148088168002211
A_sweep_reclaim,1888,1889,1,-0.0,-1.0
A_sweep_reclaim,1925,1926,-1,0.0,2.0
A_sweep_reclaim,1972,1973,1,-0.0,-1.0
A_sweep_reclaim,1993,1994,1,-0.0,-1.0
A_sweep_reclaim,2037,2038,1,-0.0,-1.0
A_sweep_reclaim,2054,2055,1,-0.0,2.0
A_sweep_reclaim,2491,2492,1,-0.0,-1.0
A_sweep_reclaim,2594,2595,-1,0.0,-1.0
A_sweep_reclaim,2668,2669,-1,0.0,-1.0
A_sweep_reclaim,2766,2767,1,-0.0,2.0
A_sweep_reclaim,2913,2914,1,-0.0,2.0
A_sweep_reclaim,2981,2982,-1,0.0,-1.0
A_sweep_reclaim,3008,3009,-1,0.0,-1.0
A_sweep_reclaim,3054,3055,1,-0.0,2.0
A_sweep_reclaim,3094,3095,1,-0.0,-0.20136803914514625
A_sweep_reclaim,3213,3214,1,-0.0,2.0
A_sweep_reclaim,3561,3562,-1,0.0,-1.0
A_sweep_reclaim,3570,3571,-1,0.0,-1.0
A_sweep_reclaim,3586,3587,-1,0.0,-1.0
A_sweep_reclaim,3670,3671,1,-0.0,-1.0
A_sweep_reclaim,3684,3685,1,-0.0,2.0
A_sweep_reclaim,3806,3807,1,-0.0,2.0
A_sweep_reclaim,3862,3863,1,-0.0,-1.0
A_sweep_reclaim,3941,3942,1,-0.0,-1.0
A_sweep_reclaim,3957,3958,1,-0.0,-1.0
A_sweep_reclaim,4111,4112,1,-0.0,0.9272421707862265
A_sweep_reclaim,4239,4240,1,-0.0,-1.0
A_sweep_reclaim,4278,4279,1,-0.0,2.0
A_sweep_reclaim,4321,4322,1,-0.0,-1.0
A_sweep_reclaim,4400,4401,-1,0.0,-1.0
A_sweep_reclaim,4522,4523,1,-0.0,1.163240119777664
A_sweep_reclaim,4677,4678,1,-0.0,-1.0
A_sweep_reclaim,4721,4722,1,-0.0,2.0
A_sweep_reclaim,4968,4969,1,-0.0,-1.0
A_sweep_reclaim,5002,5003,1,-0.0,2.0
A_sweep_reclaim,5116,5117,1,-0.0,-1.0
A_sweep_reclaim,5173,5174,-1,0.0,-1.0
A_sweep_reclaim,5261,5262,-1,0.0,2.0
A_sweep_reclaim,5405,5406,1,-0.0,2.0
A_sweep_reclaim,5442,5443,-1,0.0,-1.0
A_sweep_reclaim,5497,5498,1,-0.0,-1.0
A_sweep_reclaim,5521,5522,1,-0.0,2.0
A_sweep_reclaim,5526,5527,1,-0.0,-1.0
A_sweep_reclaim,5641,5642,1,-0.0,-1.0
A_sweep_reclaim,5651,5652,1,-0.0,-0.2602410498903183
A_sweep_reclaim,5806,5807,1,-0.0,-1.0
A_sweep_reclaim,5818,5819,1,-0.0,-1.0
A_sweep_reclaim,5854,5855,1,-0.0,2.0
A_sweep_reclaim,5978,5979,1,-0.0,2.0
A_sweep_reclaim,6017,6018,-1,0.0,-1.0
A_sweep_reclaim,6178,6179,-1,0.0,-1.0
