family,si,ei,dir,R
A_sweep_reclaim,55156,55157,-1,-1.0
A_sweep_reclaim,248152,248153,-1,-1.0
A_sweep_reclaim,294462,294463,1,-1.0
A_sweep_reclaim,298071,298072,-1,-1.0
C_attack_decay_break,285383,285384,-1,-1.0
D_disp_fail_reversal,20656,20657,-1,-1.0
D_disp_fail_reversal,25564,25565,1,-1.0
D_disp_fail_reversal,38965,38966,1,-1.0
D_disp_fail_reversal,55069,55070,1,-1.0
D_disp_fail_reversal,76320,76321,1,-1.0
D_disp_fail_reversal,113502,113503,-1,-1.0
D_disp_fail_reversal,120731,120732,-1,-1.0
D_disp_fail_reversal,121474,121475,-1,-1.0
D_disp_fail_reversal,141784,141785,-1,-1.0
D_disp_fail_reversal,173928,173929,-1,-1.0
D_disp_fail_reversal,187251,187252,1,-1.0
D_disp_fail_reversal,234428,234429,1,-1.0
D_disp_fail_reversal,241205,241206,1,-1.0
D_disp_fail_reversal,274200,274201,1,-1.0
D_disp_fail_reversal,280085,280086,1,-1.0
D_disp_fail_reversal,286130,286131,1,-1.0
D_disp_fail_reversal,287022,287023,1,-1.0
D_disp_fail_reversal,298374,298375,-1,-1.0
D_disp_fail_reversal,299402,299403,-1,-1.0
D_disp_fail_reversal,302448,302449,-1,-1.0
D_disp_fail_reversal,306944,306945,-1,-1.0
D_disp_fail_reversal,311242,311243,1,-1.0
D_disp_fail_reversal,311469,311470,-1,-1.0
D_disp_fail_reversal,334012,334013,1,-1.0
