family,field,winners_mean,losers_mean,diff,note
A_sweep_reclaim,h1,0.56,0.53,0.029,FOLLOW_UP_HYPOTHESIS_ONLY
A_sweep_reclaim,h4,0.601,0.587,0.014,FOLLOW_UP_HYPOTHESIS_ONLY
A_sweep_reclaim,atr,3.137,2.74,0.397,FOLLOW_UP_HYPOTHESIS_ONLY
A_sweep_reclaim,dir,0.229,0.201,0.027,FOLLOW_UP_HYPOTHESIS_ONLY
B_breakout_pullback,h1,0.545,0.643,-0.097,FOLLOW_UP_HYPOTHESIS_ONLY
B_breakout_pullback,h4,0.545,0.536,0.01,FOLLOW_UP_HYPOTHESIS_ONLY
B_breakout_pullback,atr,3.742,3.208,0.534,FOLLOW_UP_HYPOTHESIS_ONLY
B_breakout_pullback,dir,0.247,0.244,0.003,FOLLOW_UP_HYPOTHESIS_ONLY
C_attack_decay_break,h1,0.529,0.5,0.029,FOLLOW_UP_HYPOTHESIS_ONLY
C_attack_decay_break,h4,0.647,0.6,0.047,FOLLOW_UP_HYPOTHESIS_ONLY
C_attack_decay_break,atr,1.932,2.711,-0.779,FOLLOW_UP_HYPOTHESIS_ONLY
C_attack_decay_break,dir,-0.029,0.048,-0.077,FOLLOW_UP_HYPOTHESIS_ONLY
D_disp_fail_reversal,h1,0.537,0.556,-0.019,FOLLOW_UP_HYPOTHESIS_ONLY
D_disp_fail_reversal,h4,0.614,0.594,0.021,FOLLOW_UP_HYPOTHESIS_ONLY
D_disp_fail_reversal,atr,2.607,2.712,-0.104,FOLLOW_UP_HYPOTHESIS_ONLY
D_disp_fail_reversal,dir,0.053,0.079,-0.026,FOLLOW_UP_HYPOTHESIS_ONLY
E_compress_expand,h1,0.444,0.333,0.111,FOLLOW_UP_HYPOTHESIS_ONLY
E_compress_expand,h4,0.667,0.5,0.167,FOLLOW_UP_HYPOTHESIS_ONLY
E_compress_expand,atr,1.468,1.657,-0.189,FOLLOW_UP_HYPOTHESIS_ONLY
E_compress_expand,dir,0.7,0.6,0.1,FOLLOW_UP_HYPOTHESIS_ONLY
