family,rr,scenario,trades,trades_per_year,win_rate,exp_net_R,median_R,profit_factor,total_R,max_dd_R,avg_win,avg_loss,payoff,long_n,short_n,long_exp,short_exp
A_sweep_reclaim,2.0,BASE,3274,218.4,0.367,0.014,-1.0057,1.023,46.0,77.6,1.726,-0.98,1.76,1983,1291,0.0161,0.0108
A_sweep_reclaim,2.0,STRESS,3274,218.4,0.367,0.006,-1.0092,1.01,19.6,97.2,1.719,-0.989,1.74,1983,1291,0.0086,0.0019
A_sweep_reclaim,3.0,BASE,3130,208.8,0.323,0.0445,-1.0071,1.067,139.4,60.6,2.193,-0.982,2.23,1893,1237,0.0562,0.0267
A_sweep_reclaim,3.0,STRESS,3130,208.8,0.323,0.0365,-1.0114,1.054,114.2,72.7,2.188,-0.99,2.21,1893,1237,0.0487,0.0177
B_breakout_pullback,2.0,BASE,220,14.8,0.386,0.0628,-1.006,1.103,13.8,14.2,1.736,-0.991,1.75,137,83,0.0521,0.0806
B_breakout_pullback,2.0,STRESS,220,14.8,0.386,0.0535,-1.0096,1.087,11.8,15.5,1.728,-1.001,1.73,137,83,0.0427,0.0713
B_breakout_pullback,3.0,BASE,220,14.8,0.345,0.1656,-1.0066,1.257,36.4,10.2,2.346,-0.985,2.38,137,83,0.1025,0.2699
B_breakout_pullback,3.0,STRESS,220,14.8,0.345,0.1563,-1.0106,1.24,34.4,10.6,2.337,-0.995,2.35,137,83,0.0931,0.2607
C_attack_decay_break,2.0,BASE,313,20.9,0.335,-0.0179,-1.0119,0.974,-5.6,50.9,1.969,-1.021,1.93,160,153,-0.0663,0.0328
C_attack_decay_break,2.0,STRESS,313,20.9,0.335,-0.034,-1.0191,0.951,-10.6,53.3,1.95,-1.036,1.88,160,153,-0.0829,0.0172
C_attack_decay_break,3.0,BASE,312,20.9,0.285,0.0846,-1.0141,1.116,26.4,42.0,2.856,-1.021,2.8,160,152,-0.0402,0.2159
C_attack_decay_break,3.0,STRESS,312,20.9,0.282,0.0684,-1.0225,1.092,21.4,44.3,2.869,-1.032,2.78,160,152,-0.0569,0.2004
D_disp_fail_reversal,2.0,BASE,5855,390.3,0.364,0.0406,-1.0086,1.063,237.9,102.4,1.877,-1.011,1.86,3132,2723,0.0249,0.0587
D_disp_fail_reversal,2.0,STRESS,5855,390.3,0.364,0.0279,-1.0138,1.043,163.6,113.1,1.864,-1.024,1.82,3132,2723,0.0128,0.0453
D_disp_fail_reversal,3.0,BASE,5379,358.6,0.299,0.074,-1.0104,1.105,398.1,73.6,2.609,-1.01,2.58,2892,2487,0.0437,0.1093
D_disp_fail_reversal,3.0,STRESS,5379,358.6,0.299,0.0614,-1.0167,1.086,330.2,75.3,2.599,-1.023,2.54,2892,2487,0.0316,0.096
E_compress_expand,2.0,BASE,100,6.8,0.4,0.1082,-1.0082,1.18,10.8,12.2,1.774,-1.002,1.77,82,18,0.1368,-0.0222
E_compress_expand,2.0,STRESS,100,6.8,0.4,0.0977,-1.013,1.161,9.8,12.6,1.763,-1.013,1.74,82,18,0.127,-0.0355
E_compress_expand,3.0,BASE,100,6.8,0.32,0.1177,-1.0095,1.172,11.8,10.6,2.501,-1.004,2.49,82,18,0.124,0.0889
E_compress_expand,3.0,STRESS,100,6.8,0.32,0.1072,-1.0152,1.155,10.7,11.1,2.491,-1.014,2.46,82,18,0.1141,0.0756
