family,year,exp,trades
A_sweep_reclaim,2011,0.0207,109
A_sweep_reclaim,2012,-0.0118,218
A_sweep_reclaim,2013,-0.1026,200
A_sweep_reclaim,2014,0.0283,213
A_sweep_reclaim,2015,0.0826,187
A_sweep_reclaim,2016,-0.0634,225
A_sweep_reclaim,2017,-0.1224,205
A_sweep_reclaim,2018,0.0564,204
A_sweep_reclaim,2019,-0.0181,226
A_sweep_reclaim,2020,-0.0265,209
A_sweep_reclaim,2021,-0.0807,231
A_sweep_reclaim,2022,0.0518,250
A_sweep_reclaim,2023,0.0976,221
A_sweep_reclaim,2024,0.1028,229
A_sweep_reclaim,2025,0.0841,216
A_sweep_reclaim,2026,0.1926,131
B_breakout_pullback,2011,0.7923,5
B_breakout_pullback,2012,0.0573,22
B_breakout_pullback,2013,-0.1431,29
B_breakout_pullback,2014,-0.0053,13
B_breakout_pullback,2015,0.0891,19
B_breakout_pullback,2016,0.0806,7
B_breakout_pullback,2017,-0.1474,18
B_breakout_pullback,2018,-0.1218,8
B_breakout_pullback,2019,-0.3914,14
B_breakout_pullback,2020,0.4972,5
B_breakout_pullback,2021,0.0581,14
B_breakout_pullback,2022,0.1708,16
B_breakout_pullback,2023,0.063,21
B_breakout_pullback,2024,0.4892,4
B_breakout_pullback,2025,0.3391,13
B_breakout_pullback,2026,0.4956,12
C_attack_decay_break,2011,0.3114,9
C_attack_decay_break,2012,0.4734,18
C_attack_decay_break,2013,-0.0767,23
C_attack_decay_break,2014,0.677,21
C_attack_decay_break,2015,0.3386,13
C_attack_decay_break,2016,0.0404,28
C_attack_decay_break,2017,0.461,16
C_attack_decay_break,2018,-0.0414,21
C_attack_decay_break,2019,0.2748,16
C_attack_decay_break,2020,-0.2376,27
C_attack_decay_break,2021,0.1425,23
C_attack_decay_break,2022,-0.7324,21
C_attack_decay_break,2023,0.0111,26
C_attack_decay_break,2024,-0.7314,21
C_attack_decay_break,2025,-0.0721,16
C_attack_decay_break,2026,-0.7898,14
D_disp_fail_reversal,2011,0.0073,201
D_disp_fail_reversal,2012,-0.0525,451
D_disp_fail_reversal,2013,0.1273,393
D_disp_fail_reversal,2014,0.1348,406
D_disp_fail_reversal,2015,0.0243,390
D_disp_fail_reversal,2016,0.0284,397
D_disp_fail_reversal,2017,0.041,386
D_disp_fail_reversal,2018,-0.0046,394
D_disp_fail_reversal,2019,0.262,414
D_disp_fail_reversal,2020,0.1613,377
D_disp_fail_reversal,2021,0.0539,406
D_disp_fail_reversal,2022,-0.1218,381
D_disp_fail_reversal,2023,0.0376,328
D_disp_fail_reversal,2024,-0.1076,389
D_disp_fail_reversal,2025,0.1283,337
D_disp_fail_reversal,2026,-0.1846,205
E_compress_expand,2011,-1.0068,3
E_compress_expand,2012,-0.3702,12
E_compress_expand,2013,-0.0152,9
E_compress_expand,2014,0.1762,9
E_compress_expand,2015,-0.3535,9
E_compress_expand,2016,0.1958,10
E_compress_expand,2017,1.3736,5
E_compress_expand,2018,-1.0179,3
E_compress_expand,2019,0.14,9
E_compress_expand,2020,-0.1453,8
E_compress_expand,2021,0.1874,5
E_compress_expand,2022,0.9911,3
E_compress_expand,2023,1.0678,5
E_compress_expand,2024,0.8635,8
E_compress_expand,2025,-1.0055,1
E_compress_expand,2026,-1.0042,1
