setup_id,name,category,std_win_loss_diff,corr_R
BASE_SETUP_01,ret_4_atr,movement_path,-0.0523,-0.0401
BASE_SETUP_01,ret_8_atr,movement_path,-0.0384,-0.0298
BASE_SETUP_01,ret_16_atr,movement_path,-0.0301,-0.0244
BASE_SETUP_01,ret_32_atr,movement_path,0.0116,0.0058
BASE_SETUP_01,accel_4_8,acceleration,-0.034,-0.0258
BASE_SETUP_01,accel_8_16,acceleration,-0.0233,-0.0173
BASE_SETUP_01,efficiency_8,path_efficiency,-0.0232,-0.0315
BASE_SETUP_01,efficiency_16,path_efficiency,-0.0297,-0.023
BASE_SETUP_01,efficiency_32,path_efficiency,-0.0161,-0.0065
BASE_SETUP_01,pullback_from_hi_8,pullback_depth,0.0473,0.0865
BASE_SETUP_01,pullback_from_lo_8,pullback_depth,-0.0473,-0.0865
BASE_SETUP_01,pullback_from_hi_16,pullback_depth,0.0458,0.0836
BASE_SETUP_01,pullback_from_lo_16,pullback_depth,-0.0458,-0.0836
BASE_SETUP_01,clsloc_4,close_location,-0.0435,-0.0875
BASE_SETUP_01,clsloc_8,close_location,-0.0473,-0.0865
BASE_SETUP_01,clsloc_16,close_location,-0.0458,-0.0836
BASE_SETUP_01,clsloc_trend_4_16,close_location,-0.0205,-0.05
BASE_SETUP_01,range_exp_4_16,range_expansion,-0.0079,0.0096
BASE_SETUP_01,atr_vs_atrma,static_state,-0.0162,0.0243
BASE_SETUP_01,overlap_8,overlap_chop,0.0219,-0.0038
BASE_SETUP_01,hh_count_8,structure,-0.0313,-0.0064
BASE_SETUP_01,ll_count_8,structure,0.0072,0.0072
BASE_SETUP_01,struct_net_8,structure,-0.0221,-0.0079
BASE_SETUP_01,atr_path_16,volatility_path,-0.026,0.0058
BASE_SETUP_01,vol_rel_4,volume_path,-0.0339,0.0169
BASE_SETUP_01,vol_rel_8,volume_path,-0.03,0.0173
BASE_SETUP_01,vol_rel_16,volume_path,-0.0293,0.0144
BASE_SETUP_01,vol_updn_8,volume_path,-0.01,-0.0183
BASE_SETUP_01,vol_accel_4_8,acceleration,-0.0441,-0.0008
BASE_SETUP_01,dist_pdh_atr,level_distance,0.0329,-0.0018
BASE_SETUP_01,dist_pdl_atr,level_distance,0.0303,0.003
BASE_SETUP_01,dist_vwap_atr,level_distance,-0.037,-0.0435
BASE_SETUP_01,dist_sesshi_atr,level_distance,0.0195,0.0476
BASE_SETUP_01,dist_sesslo_atr,level_distance,-0.0337,-0.0299
BASE_SETUP_01,dist_pwh_atr,level_distance,0.0145,-0.0044
BASE_SETUP_01,dist_pwl_atr,level_distance,-0.0185,-0.0222
BASE_SETUP_01,approach_pdh_8,approach_dynamics,0.0351,0.0222
BASE_SETUP_01,ema20_rel_atr,trend_location,-0.0483,-0.041
BASE_SETUP_01,ema50_rel_atr,trend_location,-0.0204,-0.0128
BASE_SETUP_01,h1_trend_up,static_state,-0.0477,-0.0181
BASE_SETUP_01,h4_trend_up,static_state,0.0036,-0.0009
BASE_SETUP_01,d1_trend_up,static_state,0.0049,0.0075
BASE_SETUP_01,h1_rsi,static_state,-0.0162,0.0047
BASE_SETUP_01,h4_rsi,static_state,0.0077,0.01
BASE_SETUP_01,m_rsi,static_state,-0.0467,-0.0303
BASE_SETUP_01,m_volrank,static_state,-0.0189,0.0274
BASE_SETUP_01,m_trend_up,static_state,-0.0129,0.0056
BASE_SETUP_01,compress_flag,static_state,0.0277,-0.0197
BASE_SETUP_01,disp,static_state,0.0282,0.0418
BASE_SETUP_01,roc3_atr,static_state,-0.0205,-0.0424
BASE_SETUP_01,gap_atr,static_state,0.0566,0.0292
BASE_SETUP_01,hour_utc,static_state,0.071,0.047
BASE_SETUP_01,weekday,static_state,0.0183,0.0095
BASE_SETUP_01,bar_in_sess,static_state,-0.0237,-0.0202
BASE_SETUP_01,halfhour_utc,static_state,0.0723,0.0473
BASE_SETUP_02,ret_4_atr,movement_path,-0.0265,0.0023
BASE_SETUP_02,ret_8_atr,movement_path,-0.017,0.0059
BASE_SETUP_02,ret_16_atr,movement_path,-0.0182,-0.0062
BASE_SETUP_02,ret_32_atr,movement_path,-0.0133,-0.0007
BASE_SETUP_02,accel_4_8,acceleration,-0.0187,-0.0015
BASE_SETUP_02,accel_8_16,acceleration,-0.0059,0.0109
BASE_SETUP_02,efficiency_8,path_efficiency,-0.0158,0.0008
BASE_SETUP_02,efficiency_16,path_efficiency,-0.0167,-0.004
BASE_SETUP_02,efficiency_32,path_efficiency,-0.0131,0.0016
BASE_SETUP_02,pullback_from_hi_8,pullback_depth,0.007,0.0269
BASE_SETUP_02,pullback_from_lo_8,pullback_depth,-0.007,-0.0269
BASE_SETUP_02,pullback_from_hi_16,pullback_depth,0.0113,0.0309
BASE_SETUP_02,pullback_from_lo_16,pullback_depth,-0.0113,-0.0309
BASE_SETUP_02,clsloc_4,close_location,-0.0044,-0.0245
BASE_SETUP_02,clsloc_8,close_location,-0.007,-0.0269
BASE_SETUP_02,clsloc_16,close_location,-0.0113,-0.0309
BASE_SETUP_02,clsloc_trend_4_16,close_location,0.0066,-0.0065
BASE_SETUP_02,range_exp_4_16,range_expansion,0.0157,0.0235
BASE_SETUP_02,atr_vs_atrma,static_state,0.0341,0.041
BASE_SETUP_02,overlap_8,overlap_chop,0.0028,-0.012
BASE_SETUP_02,hh_count_8,structure,-0.0636,-0.0243
BASE_SETUP_02,ll_count_8,structure,0.0286,0.0102
BASE_SETUP_02,struct_net_8,structure,-0.053,-0.0198
BASE_SETUP_02,atr_path_16,volatility_path,0.0092,0.0173
BASE_SETUP_02,vol_rel_4,volume_path,0.0061,0.0295
BASE_SETUP_02,vol_rel_8,volume_path,0.0082,0.03
BASE_SETUP_02,vol_rel_16,volume_path,0.0205,0.0335
BASE_SETUP_02,vol_updn_8,volume_path,0.035,0.0198
BASE_SETUP_02,vol_accel_4_8,acceleration,-0.0145,0.0075
BASE_SETUP_02,dist_pdh_atr,level_distance,-0.0662,-0.0424
BASE_SETUP_02,dist_pdl_atr,level_distance,0.0403,0.0118
BASE_SETUP_02,dist_vwap_atr,level_distance,-0.0132,-0.0024
BASE_SETUP_02,dist_sesshi_atr,level_distance,-0.0324,-0.0282
BASE_SETUP_02,dist_sesslo_atr,level_distance,0.0033,0.0019
BASE_SETUP_02,dist_pwh_atr,level_distance,-0.0527,-0.0347
BASE_SETUP_02,dist_pwl_atr,level_distance,0.0446,0.012
BASE_SETUP_02,approach_pdh_8,approach_dynamics,0.0154,0.0039
BASE_SETUP_02,ema20_rel_atr,trend_location,-0.0113,0.0092
BASE_SETUP_02,ema50_rel_atr,trend_location,-0.0012,0.0095
BASE_SETUP_02,h1_trend_up,static_state,0.0203,0.0118
BASE_SETUP_02,h4_trend_up,static_state,0.0913,0.0458
BASE_SETUP_02,d1_trend_up,static_state,0.0009,0.0222
