blind_id,true_name,category,is_sequence
g009,ret_4_atr,movement_path,1
g034,ret_8_atr,movement_path,1
g041,ret_16_atr,movement_path,1
g054,ret_32_atr,movement_path,1
g020,accel_4_8,acceleration,1
g030,accel_8_16,acceleration,1
g002,efficiency_8,path_efficiency,1
g003,efficiency_16,path_efficiency,1
g050,efficiency_32,path_efficiency,1
g027,pullback_from_hi_8,pullback_depth,1
g018,pullback_from_lo_8,pullback_depth,1
g006,pullback_from_hi_16,pullback_depth,1
g040,pullback_from_lo_16,pullback_depth,1
g010,clsloc_4,close_location,1
g008,clsloc_8,close_location,1
g052,clsloc_16,close_location,1
g028,clsloc_trend_4_16,close_location,1
g032,range_exp_4_16,range_expansion,1
g042,atr_vs_atrma,static_state,0
g013,overlap_8,overlap_chop,1
g046,hh_count_8,structure,1
g047,ll_count_8,structure,1
g011,struct_net_8,structure,1
g014,atr_path_16,volatility_path,1
g025,vol_rel_4,volume_path,1
g012,vol_rel_8,volume_path,1
g053,vol_rel_16,volume_path,1
g049,vol_updn_8,volume_path,1
g035,vol_accel_4_8,acceleration,1
g044,dist_pdh_atr,level_distance,0
g033,dist_pdl_atr,level_distance,0
g016,dist_vwap_atr,level_distance,0
g045,dist_sesshi_atr,level_distance,0
g024,dist_sesslo_atr,level_distance,0
g038,dist_pwh_atr,level_distance,0
g007,dist_pwl_atr,level_distance,0
g021,approach_pdh_8,approach_dynamics,1
g043,ema20_rel_atr,trend_location,0
g055,ema50_rel_atr,trend_location,0
g031,h1_trend_up,static_state,0
g051,h4_trend_up,static_state,0
g039,d1_trend_up,static_state,0
g026,h1_rsi,static_state,0
g005,h4_rsi,static_state,0
g036,m_rsi,static_state,0
g004,m_volrank,static_state,0
g048,m_trend_up,static_state,0
g019,compress_flag,static_state,0
g001,disp,static_state,0
g015,roc3_atr,static_state,0
g017,gap_atr,static_state,0
g023,hour_utc,static_state,0
g022,weekday,static_state,0
g029,bar_in_sess,static_state,0
g037,halfhour_utc,static_state,0
