BLIND_ID,KIND,N_BINS
f001,categorical,5
f002,numeric,5
f003,numeric,5
f004,numeric,5
f005,numeric,5
f006,numeric,5
f007,numeric,5
f008,numeric,5
f009,numeric,5
f010,numeric,5
f011,categorical,48
f012,numeric,5
f013,numeric,5
f014,numeric,5
f015,bool,2
f016,numeric,5
f017,categorical,24
f018,numeric,5
f019,categorical,12
f020,numeric,5
f021,bool,2
f022,numeric,5
f023,numeric,5
f024,categorical,3
f025,categorical,2
f026,numeric,5
f027,numeric,5
f028,numeric,5
f029,numeric,5
f030,numeric,5
f031,categorical,3
f032,numeric,5
f033,numeric,5
f034,numeric,5
f035,numeric,5
f036,numeric,5
f037,bool,2
f038,numeric,5
f039,categorical,4
f040,numeric,5
f041,numeric,5
f042,numeric,5
f043,numeric,5
f044,categorical,5
f045,categorical,2
f046,categorical,3
