FEATURE,CLASS,KIND
f001,ELIGIBLE_PRE_ENTRY,numeric
f002,ELIGIBLE_PRE_ENTRY,numeric
f003,ELIGIBLE_PRE_ENTRY,numeric
f004,ELIGIBLE_PRE_ENTRY,numeric
f005,ELIGIBLE_PRE_ENTRY,numeric
f006,ELIGIBLE_PRE_ENTRY,numeric
f007,ELIGIBLE_PRE_ENTRY,bool
f008,ELIGIBLE_PRE_ENTRY,categorical
f009,ELIGIBLE_PRE_ENTRY,bool
f010,ELIGIBLE_PRE_ENTRY,numeric
f011,ELIGIBLE_PRE_ENTRY,numeric
f012,ELIGIBLE_PRE_ENTRY,numeric
f013,ELIGIBLE_PRE_ENTRY,numeric
f014,ELIGIBLE_PRE_ENTRY,numeric
f015,ELIGIBLE_PRE_ENTRY,numeric
f016,ELIGIBLE_PRE_ENTRY,numeric
f017,ELIGIBLE_PRE_ENTRY,numeric
f018,ELIGIBLE_PRE_ENTRY,numeric
f019,ELIGIBLE_PRE_ENTRY,numeric
f020,ELIGIBLE_PRE_ENTRY,numeric
f021,ELIGIBLE_PRE_ENTRY,categorical
f022,ELIGIBLE_PRE_ENTRY,categorical
f023,ELIGIBLE_PRE_ENTRY,bool
f024,ELIGIBLE_PRE_ENTRY,numeric
f025,ELIGIBLE_PRE_ENTRY,categorical
f026,ELIGIBLE_PRE_ENTRY,categorical
f027,ELIGIBLE_PRE_ENTRY,categorical
f028,ELIGIBLE_PRE_ENTRY,categorical
f029,ELIGIBLE_PRE_ENTRY,categorical
f030,ELIGIBLE_PRE_ENTRY,numeric
f031,ELIGIBLE_PRE_ENTRY,numeric
f032,ELIGIBLE_PRE_ENTRY,numeric
f033,ELIGIBLE_PRE_ENTRY,numeric
f034,ELIGIBLE_PRE_ENTRY,numeric
f035,ELIGIBLE_PRE_ENTRY,numeric
f036,ELIGIBLE_PRE_ENTRY,numeric
f037,ELIGIBLE_PRE_ENTRY,numeric
f038,ELIGIBLE_PRE_ENTRY,numeric
f039,ELIGIBLE_PRE_ENTRY,numeric
f040,ELIGIBLE_PRE_ENTRY,numeric
f041,ELIGIBLE_PRE_ENTRY,numeric
f042,ELIGIBLE_PRE_ENTRY,categorical
f043,ELIGIBLE_PRE_ENTRY,numeric
f044,ELIGIBLE_PRE_ENTRY,numeric
f045,ELIGIBLE_PRE_ENTRY,categorical
f046,ELIGIBLE_PRE_ENTRY,categorical
mfe_R,POST_ENTRY_ONLY,numeric
mae_R,POST_ENTRY_ONLY,numeric
time_to_mfe,POST_ENTRY_ONLY,numeric
time_to_mae,POST_ENTRY_ONLY,numeric
adverse_first,POST_ENTRY_ONLY,numeric
exit_kind,POST_ENTRY_ONLY,numeric
bars_held,POST_ENTRY_ONLY,numeric
final_R,POST_ENTRY_ONLY,numeric
swing_high_confirmed_later,INVALID_LOOKAHEAD,excluded
future_session_range,INVALID_LOOKAHEAD,excluded
eventual_exit_price,INVALID_LOOKAHEAD,excluded
zigzag_pivot_unconfirmed,INVALID_LOOKAHEAD,excluded
forward_atr,INVALID_LOOKAHEAD,excluded
session_range_completed,INVALID_LOOKAHEAD,excluded
next_bar_open,INVALID_LOOKAHEAD,excluded
