OBJECT_ID,FAMILY_ID,MECHANISM_ID,TIER
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,T1_LOG_EXISTS
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,T1_LOG_EXISTS
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,T1_LOG_EXISTS
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,T1_LOG_EXISTS
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,T1_LOG_EXISTS
OBEXEC_C,OBEXEC_C,M14_REFERENCE_LEVEL,T1_LOG_EXISTS
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,T1_LOG_EXISTS
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,T1_LOG_EXISTS
SESS_A,SESS_A,M06_SESSION_TIME,T1_LOG_EXISTS
SESS_B,SESS_B,M06_SESSION_TIME,T1_LOG_EXISTS
SESS_C,SESS_C,M06_SESSION_TIME,T1_LOG_EXISTS
SESS_D,SESS_D,M06_SESSION_TIME,T1_LOG_EXISTS
SESS_E,SESS_E,M06_SESSION_TIME,T1_LOG_EXISTS
SESS_Fc,SESS_Fc,M06_SESSION_TIME,T1_LOG_EXISTS
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,T1_REGENERATE_SLIB
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,T1_REGENERATE_SLIB
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,T1_REGENERATE_SLIB
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,T1_REGENERATE_SLIB
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,T1_REGENERATE_SLIB
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,T1_REGENERATE_SLIB
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,T1_REGENERATE_SLIB
S5::15be26301532,S5,M05_OPENING_RANGE,T1_REGENERATE_SLIB
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,T1_REGENERATE_SLIB
S6::a461ec93f607,S6,M06_SESSION_TIME,T1_REGENERATE_SLIB
S6::7199b701458a,S6,M06_SESSION_TIME,T1_REGENERATE_SLIB
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,T1_REGENERATE_SLIB
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,T1_REGENERATE_SLIB
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,T1_REGENERATE_SLIB
S9::731bd4dd4aa4,S9,M09_MTF_ALIGNMENT,T1_REGENERATE_SLIB
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,T1_REGENERATE_SLIB
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,T1_REGENERATE_SLIB
S11::576394ea476f,S11,M11_STRUCTURE_BREAK_REVERSAL,T1_REGENERATE_SLIB
S12::884efeda36f3,S12,M12_RANGE_ROTATION,T1_REGENERATE_SLIB
S12::061854e10b15,S12,M12_RANGE_ROTATION,T1_REGENERATE_SLIB
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,T1_REGENERATE_SLIB
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,T1_REGENERATE_SLIB
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,T1_REGENERATE_SLIB
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,T1_REGENERATE_SLIB
S16::393fe65826e6,S16,M14_REFERENCE_LEVEL,T1_REGENERATE_SLIB
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,T1_REGENERATE_SLIB
S18::18995ee3f508,S18,M06_SESSION_TIME,T1_REGENERATE_SLIB
S18::3933c532ec9c,S18,M06_SESSION_TIME,T1_REGENERATE_SLIB
S19::762b6018f2c5,S19,M15_GAP,T1_REGENERATE_SLIB
