F_ID,KIND,N_BINS,VALID_N,MISSING_N,BIN_COUNTS,SOURCE
f001,categorical,5,355696,0,"{""0"": 70544, ""1"": 71795, ""2"": 71663, ""3"": 71555, ""4"": 70139}",PANEL
f002,numeric,5,355182,514,"{""0"": 70913, ""1"": 71044, ""2"": 70944, ""3"": 71098, ""4"": 71183}",PANEL
f003,numeric,5,353197,2499,"{""0"": 74659, ""1"": 66010, ""2"": 69712, ""3"": 71094, ""4"": 71722}",PANEL
f004,numeric,5,355182,514,"{""0"": 71417, ""1"": 70569, ""2"": 70867, ""3"": 70501, ""4"": 71828}",PANEL
f005,numeric,5,355133,563,"{""0"": 71086, ""1"": 70731, ""2"": 71121, ""3"": 70873, ""4"": 71322}",PANEL
f006,numeric,5,353276,2420,"{""0"": 85369, ""1"": 58783, ""2"": 55999, ""3"": 63323, ""4"": 89802}",PANEL
f007,numeric,5,355100,596,"{""0"": 73228, ""1"": 69601, ""2"": 68975, ""3"": 69568, ""4"": 73728}",PANEL
f008,numeric,5,355182,514,"{""0"": 71332, ""1"": 70762, ""2"": 70910, ""3"": 70585, ""4"": 71593}",PANEL
f009,numeric,5,194556,161140,"{""0"": 40272, ""1"": 38428, ""2"": 37393, ""3"": 38191, ""4"": 40272}",PANEL
f010,numeric,5,355177,519,"{""0"": 70968, ""1"": 70509, ""2"": 70608, ""3"": 69811, ""4"": 73281}",PANEL
f011,categorical,48,355696,0,"{""0"": 7736, ""1"": 7737, ""2"": 7740, ""3"": 7741, ""4"": 7742, ""5"": 7741, ""6"": 7742, ""7"": 7741, ""8"": 7740, ""9"": 7738, ""10"": 7739, ""11"": 7742, ""12"": 7740, ""13"": 7739, ""14"": 7742, ""15"": 7740, ""16"": 7740, ""17"": 7739, ""18"": 7739, ""19"": 7739, ""20"": 7738, ""21"": 7739, ""22"": 7740, ""23"": 7740, ""24"": 7740, ""25"": 7740, ""26"": 7742, ""27"": 7742, ""28"": 7741, ""29"": 7739, ""30"": 7739, ""31"": 7741, ""32"": 7740, ""33"": 7740, ""34"": 7682, ""35"": 7679, ""36"": 7622, ""37"": 7565, ""38"": 7535, ""39"": 7511, ""40"": 7508, ""41"": 7506, ""42"": 3244, ""43"": 2713, ""44"": 5371, ""45"": 5134, ""46"": 7735, ""47"": 7733}",PANEL
f012,numeric,5,194000,161696,"{""0"": 44892, ""1"": 34598, ""2"": 34598, ""3"": 36655, ""4"": 43257}",PANEL
f013,numeric,5,355177,519,"{""0"": 70915, ""1"": 71013, ""2"": 70983, ""3"": 71074, ""4"": 71192}",PANEL
f014,numeric,5,355177,519,"{""0"": 71161, ""1"": 70626, ""2"": 70670, ""3"": 70673, ""4"": 72047}",PANEL
f015,bool,2,355696,0,"{""0"": 229812, ""1"": 125884}",PANEL
f016,numeric,5,355178,518,"{""0"": 136848, ""1"": 6554, ""2"": 70818, ""3"": 70457, ""4"": 70501}",PANEL
f017,categorical,24,355696,0,"{""0"": 15473, ""1"": 15481, ""2"": 15483, ""3"": 15483, ""4"": 15478, ""5"": 15481, ""6"": 15479, ""7"": 15482, ""8"": 15479, ""9"": 15478, ""10"": 15477, ""11"": 15480, ""12"": 15480, ""13"": 15484, ""14"": 15480, ""15"": 15480, ""16"": 15480, ""17"": 15361, ""18"": 15187, ""19"": 15046, ""20"": 15014, ""21"": 5957, ""22"": 10505, ""23"": 15468}",PANEL
f018,numeric,5,0,355696,{},PANEL
f019,categorical,12,355696,0,"{""0"": 29372, ""1"": 27759, ""2"": 30136, ""3"": 28775, ""4"": 30541, ""5"": 29488, ""6"": 30542, ""7"": 30762, ""8"": 29455, ""9"": 30765, ""10"": 29198, ""11"": 28903}",PANEL
f020,numeric,5,194556,161140,"{""0"": 47239, ""1"": 32128, ""2"": 26603, ""3"": 47462, ""4"": 41124}",PANEL
f021,bool,2,355696,0,"{""0"": 282888, ""1"": 72808}",PANEL
f022,numeric,5,355176,520,"{""0"": 71348, ""1"": 70947, ""2"": 70501, ""3"": 70993, ""4"": 71387}",PANEL
f023,numeric,5,194000,161696,"{""0"": 46166, ""1"": 35764, ""2"": 34778, ""3"": 34736, ""4"": 42556}",PANEL
f024,categorical,3,197074,158622,"{""0"": 92269, ""1"": 104805}",PANEL
f025,categorical,2,0,355696,{},TRADE_RECORD
f026,numeric,5,355146,550,"{""0"": 72003, ""1"": 70830, ""2"": 69842, ""3"": 70419, ""4"": 72052}",PANEL
f027,numeric,5,353182,2514,"{""0"": 75227, ""1"": 68000, ""2"": 67353, ""3"": 69609, ""4"": 72993}",PANEL
f028,numeric,5,355178,518,"{""0"": 71901, ""1"": 70768, ""2"": 70278, ""3"": 70238, ""4"": 71993}",PANEL
f029,numeric,5,0,355696,{},TRADE_RECORD
f030,numeric,5,355101,595,"{""0"": 72713, ""1"": 70060, ""2"": 69606, ""3"": 69463, ""4"": 73259}",PANEL
f031,categorical,3,196552,159144,"{""0"": 75743, ""1"": 120809}",PANEL
f032,numeric,5,355100,596,"{""0"": 71710, ""1"": 70588, ""2"": 70570, ""3"": 70630, ""4"": 71602}",PANEL
f033,numeric,5,355195,501,"{""0"": 71369, ""1"": 70830, ""2"": 70613, ""3"": 70755, ""4"": 71628}",PANEL
f034,numeric,5,355196,500,"{""1"": 185036, ""3"": 90183, ""4"": 79977}",PANEL
f035,numeric,5,194556,161140,"{""0"": 40057, ""1"": 38428, ""2"": 37970, ""3"": 38096, ""4"": 40005}",PANEL
f036,numeric,5,355178,518,"{""0"": 71675, ""1"": 70681, ""2"": 70360, ""3"": 70169, ""4"": 72293}",PANEL
f037,bool,2,355696,0,"{""0"": 146982, ""1"": 208714}",PANEL
f038,numeric,5,355182,514,"{""0"": 70937, ""1"": 71012, ""2"": 71025, ""3"": 71002, ""4"": 71206}",PANEL
f039,categorical,4,355696,0,"{""0"": 123840, ""1"": 31930, ""2"": 77394, ""3"": 122532}",PANEL
f040,numeric,5,355196,500,"{""0"": 76680, ""1"": 63099, ""2"": 75531, ""3"": 67556, ""4"": 72330}",PANEL
f041,numeric,5,355182,514,"{""0"": 71060, ""1"": 71045, ""2"": 70806, ""3"": 70887, ""4"": 71384}",PANEL
f042,numeric,5,194556,161140,"{""0"": 40425, ""1"": 38018, ""2"": 37982, ""3"": 37229, ""4"": 40902}",PANEL
f043,numeric,5,355182,514,"{""0"": 71618, ""1"": 70522, ""2"": 70600, ""3"": 70532, ""4"": 71910}",PANEL
f044,categorical,5,355696,0,"{""0"": 80962, ""1"": 82943, ""2"": 82295, ""3"": 81074, ""4"": 28422}",PANEL
f045,categorical,2,0,355696,{},TRADE_RECORD
f046,categorical,3,197002,158694,"{""0"": 87157, ""1"": 109845}",PANEL
