F_ID,STAGE1_ELIGIBLE,ELIGIBILITY_CLASS,KIND,N_BINS,SOURCE,NOTE
f001,1,STRICT_DECISION_TIME,categorical,5,PANEL,
f002,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f003,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f004,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f005,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f006,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f007,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f008,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f009,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f010,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f011,1,STRICT_DECISION_TIME,categorical,48,PANEL,
f012,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f013,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f014,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f015,1,STRICT_DECISION_TIME,bool,2,PANEL,
f016,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f017,1,STRICT_DECISION_TIME,categorical,24,PANEL,
f018,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f019,1,STRICT_DECISION_TIME,categorical,12,PANEL,
f020,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f021,1,STRICT_DECISION_TIME,bool,2,PANEL,
f022,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f023,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f024,1,STRICT_DECISION_TIME,categorical,3,PANEL,
f025,1,STRICT_DECISION_TIME,categorical,2,TRADE_RECORD,
f026,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f027,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f028,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f029,0,AT_FILL_POST_DECISION,numeric,5,TRADE_RECORD,"EXCLUDED from Stage 1, Stage 2 recurrence, Stage 3 interactions and all pre-entry meta-state discovery. Retained for a FUTURE execution/at-fill diagnostic only; not analysed in V2."
f030,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f031,1,STRICT_DECISION_TIME,categorical,3,PANEL,
f032,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f033,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f034,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f035,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f036,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f037,1,STRICT_DECISION_TIME,bool,2,PANEL,
f038,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f039,1,STRICT_DECISION_TIME,categorical,4,PANEL,
f040,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f041,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f042,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f043,1,STRICT_DECISION_TIME,numeric,5,PANEL,
f044,1,STRICT_DECISION_TIME,categorical,5,PANEL,
f045,1,STRICT_DECISION_TIME,categorical,2,TRADE_RECORD,
f046,1,STRICT_DECISION_TIME,categorical,3,PANEL,
