hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::4b7c6d5c6035,S1,4b7c6d5c6035,8357,-0.02288040272857528,0.01575458987306634,-1.4523007525375862,181,1.3344819193497985,0.9267910008310906,0.1464179983378191
S1::3ddb5e443d5d,S1,3ddb5e443d5d,9723,0.052774798828164785,0.012710132499080014,4.152183215398009,181,1.3009231003329014,1.646592193615959e-05,3.293184387231918e-05
S1::46605422af38,S1,46605422af38,8179,-0.007529286223315675,0.01851215794691993,-0.4067211529257941,181,1.583071735327445,0.657893598683494,0.6842128026330121
S1::b093ced01876,S1,b093ced01876,9549,0.0725725253875231,0.015972406542806676,4.543618721012759,181,1.5327550096485423,2.764831920520905e-06,5.52966384104181e-06
S1::65a3466d30cf,S1,65a3466d30cf,8514,-0.0060041451805265345,0.02162002637894457,-0.27771220419850573,181,2.06821933384559,0.6093833543052272,0.7812332913895457
S1::151cd7129f84,S1,151cd7129f84,9931,0.06406461446051519,0.02066057289880314,3.100815005194092,181,1.9967081097261086,0.000964944099575149,0.001929888199150298
S1::fedb8fd471e3,S1,fedb8fd471e3,8791,0.017873828564876307,0.027915368629051245,0.6402863169170259,181,2.4320256595238825,0.26099323739559877,0.5219864747911975
S1::0ad4b9577817,S1,0ad4b9577817,10250,0.09929957564578144,0.02541533917294017,3.9070726135146825,181,2.561512092534106,4.6710542555450374e-05,9.342108511090075e-05
S1::c918917f88af,S1,c918917f88af,8152,-0.026515632213285366,0.01596566204044954,-1.6607912748063387,181,1.3483918521697351,0.9516223129347223,0.09675537413055513
S1::2960f38767e8,S1,2960f38767e8,9313,-0.02815505800714337,0.01434147456137253,-1.9631912943580072,181,1.3402771167938254,0.9751880247269236,0.04962395054615287
S1::e67d58bb0aad,S1,e67d58bb0aad,7953,-0.007550336622899821,0.01860260592897681,-0.40587521187764625,181,1.6074286557880937,0.657582853879459,0.6848342922410819
