id,label,ok,trigger,res,dur,pre,deep,decline,reclaim,round_trip,vol_sustain,vol_isolation,fresh_extreme
Q4-P007-003,SUPPORT,True,2339.0,2486.0,148.0,1908.994,1872.898,36.096000000000004,1893.26,0.564106826241137,0.28378378378378377,9.610812168924436,1.0
Q4-P007-004,SUPPORT,True,2786.0,2877.0,92.0,1921.302,1882.434,38.86799999999994,1905.436,0.5917978800041163,0.2608695652173913,6.292445650375567,1.0
Q4-P007-005,REJECTED,True,3388.0,3401.0,14.0,1916.374,1910.918,5.456000000000131,1915.606,0.8592375366568895,0.07142857142857142,3.9976689976689976,1.0
Q4-P007-006,SUPPORT,True,3424.0,3505.0,82.0,1917.076,1894.775,22.30099999999993,1910.826,0.7197435092596736,0.2073170731707317,4.354526642524573,1.0
Q4-P007-007,SUPPORT,True,3526.0,3607.0,82.0,1908.42,1891.508,16.912000000000035,1904.76,0.7835856196783305,0.25609756097560976,3.6811324479034484,1.0
Q4-P007-008,REJECTED,True,3631.0,3632.0,2.0,1904.15,1903.074,1.0760000000000218,1904.928,1.7230483271375503,0.0,1.0402684563758389,0.0
Q4-P007-009,REJECTED,True,3627.0,3657.0,31.0,1903.318,1900.382,2.935999999999922,1904.414,1.3732970027248068,0.12903225806451613,2.7442382697080725,0.0
Q4-P007-010,SUPPORT,True,3693.0,3707.0,15.0,1899.916,1897.914,2.0019999999999527,1905.816,3.947052947053062,0.06666666666666667,1.6649879129734084,0.0
Q4-P007-011,REJECTED,True,3707.0,3710.0,4.0,1903.225,1902.13,1.0949999999998,1906.622,4.102283105023546,0.5,1.588277340957827,0.0
Q4-P007-012,REJECTED,True,3718.0,3747.0,30.0,1908.268,1904.372,3.895999999999958,1905.34,0.24845995893220163,0.06666666666666667,2.7272727272727275,0.0
Q4-P007-013,REJECTED,True,3748.0,3749.0,2.0,1905.34,1902.513,2.826999999999998,1905.328,0.9957552175451208,0.0,1.174484052532833,0.0
Q4-P007-014,REJECTED,True,3760.0,3761.0,2.0,1905.71,1904.577,1.1330000000000382,1906.48,1.679611650485398,0.0,1.2150170648464165,0.0
Q4-P007-015,SUPPORT,True,3895.0,3979.0,85.0,1866.782,1863.067,3.714999999999918,1879.34,4.380349932705322,0.17647058823529413,5.346743720826851,0.0
Q4-P007-016,REJECTED,True,3986.0,3995.0,10.0,1888.026,1874.804,13.22199999999998,1879.472,0.3530479503857132,1.0,1.3757011903133125,0.0
Q4-P007-017,REJECTED,True,4002.0,4003.0,2.0,1879.746,1877.6,2.1460000000001855,1879.678,0.9683131407269442,0.0,1.1991786447638604,0.0
Q4-P007-018,REJECTED,True,4024.0,4026.0,3.0,1875.28,1873.504,1.7760000000000673,1879.468,3.358108108108076,0.3333333333333333,1.4824248599083036,0.0
Q4-P007-019,SUPPORT,True,4213.0,4216.0,4.0,1903.888,1883.225,20.66300000000001,1896.603,0.647437448579594,1.0,1.3237833343991814,0.0
Q4-P007-021,REJECTED,True,4228.0,4251.0,24.0,1896.556,1887.103,9.452999999999975,1902.352,1.6131386861313937,0.5,2.379290056873897,0.0
Q4-P007-022,REJECTED,True,4276.0,4279.0,4.0,1894.628,1893.296,1.33199999999988,1898.414,3.842342342342642,0.0,1.161764705882353,0.0
Q4-P007-023,REJECTED,True,4281.0,4282.0,2.0,1896.886,1896.222,0.6639999999999873,1897.824,2.412650602409819,0.0,1.1219512195121952,0.0
Q4-P007-024,SUPPORT,True,4527.0,4811.0,285.0,1953.899,1850.53,103.36899999999991,1877.074,0.25678878580619063,0.24561403508771928,9.5624328914002,1.0
Q4-P007-025,REJECTED,True,4829.0,4830.0,2.0,1876.611,1874.331,2.2800000000002,1877.27,1.2890350877192194,0.5,1.2702702702702702,0.0
Q4-P007-026,REJECTED,True,4833.0,4834.0,2.0,1876.532,1875.749,0.7829999999999018,1876.595,1.0804597701150827,0.0,1.2185007974481659,0.0
Q4-P007-027,REJECTED,True,4839.0,4842.0,4.0,1875.182,1874.154,1.02800000000002,1876.416,2.2003891050582682,0.0,1.6585365853658536,0.0
Q4-P007-028,REJECTED,True,4845.0,4846.0,2.0,1876.556,1875.405,1.1510000000000673,1876.71,1.1337966985230126,0.0,1.1636363636363636,0.0
Q4-P007-029,REJECTED,True,4849.0,4850.0,2.0,1875.898,1874.198,1.699999999999818,1877.443,1.9088235294119047,0.0,1.0474777448071217,0.0
Q4-P007-031,REJECTED,True,4866.0,4867.0,2.0,1877.373,1876.579,0.7940000000000964,1877.422,1.061712846347572,0.0,1.179245283018868,0.0
Q4-P007-032,REJECTED,True,4885.0,4886.0,2.0,1876.28,1875.965,0.31500000000005457,1879.384,10.853968253966679,0.0,1.030612244897959,0.0
Q4-P007-033,SUPPORT,True,4987.0,4995.0,9.0,1892.904,1864.541,28.363000000000056,1886.113,0.7605683460846904,1.0,2.381978235866584,1.0
Q4-P007-034,REJECTED,True,5054.0,5055.0,2.0,1887.568,1884.891,2.6769999999999072,1886.95,0.7691445648113711,0.0,1.3284313725490196,0.0
Q4-P007-035,REJECTED,True,5056.0,5057.0,2.0,1886.95,1884.339,2.6110000000001037,1887.602,1.2497127537342083,0.0,1.0863060989643267,0.0
Q4-P007-037,REJECTED,True,5090.0,5095.0,6.0,1889.102,1884.739,4.363000000000056,1888.707,0.9094659637863909,1.0,1.2442260442260442,0.0
Q4-P007-038,SUPPORT,True,5095.0,5185.0,91.0,1887.42,1863.772,23.64800000000014,1883.53,0.8355040595399156,0.23076923076923078,5.576686822151839,1.0
Q4-P007-039,SUPPORT,True,5185.0,5364.0,180.0,1878.612,1852.792,25.820000000000164,1877.586,0.9602633617350868,0.21666666666666667,4.265524625267666,1.0
Q4-P007-040,SUPPORT,True,5554.0,5708.0,155.0,1802.694,1800.424,2.269999999999982,1816.928,7.270484581497914,0.04516129032258064,4.1463685203087115,1.0
Q4-P007-041,SUPPORT,True,5708.0,5946.0,239.0,1815.079,1764.57,50.509000000000015,1787.212,0.4482765447741996,0.3389121338912134,6.731821716729853,1.0
Q4-P007-042,REJECTED,True,5948.0,5951.0,4.0,1785.841,1784.778,1.0629999999998745,1787.784,2.82784571966175,0.0,1.428334714167357,0.0
Q4-P007-043,REJECTED,True,6253.0,6263.0,11.0,1841.1,1829.276,11.823999999999842,1833.948,0.3951285520974364,1.0,2.479371145661426,0.0
Q4-P007-044,REJECTED,True,6265.0,6268.0,4.0,1834.052,1831.698,2.3539999999998145,1834.647,1.2527612574341862,0.0,1.3821618428824571,0.0
Q4-P007-045,SUPPORT,True,6289.0,6344.0,56.0,1834.938,1822.253,12.685000000000173,1834.788,0.9881750098541514,0.17857142857142858,5.19332168222214,1.0
Q4-P007-046,REJECTED,True,6490.0,6496.0,7.0,1865.718,1855.698,10.019999999999982,1860.558,0.48502994011975137,0.42857142857142855,1.6219252960825994,1.0
Q4-P007-047,REJECTED,True,6499.0,6501.0,3.0,1860.602,1857.843,2.7590000000000146,1861.572,1.3515766582094217,0.3333333333333333,1.1912408759124087,0.0
Q4-P007-049,REJECTED,True,6512.0,6515.0,4.0,1863.391,1858.368,5.023000000000138,1862.91,0.9042404937288511,0.5,1.301503094606543,0.0
Q4-P007-050,REJECTED,True,6518.0,6521.0,4.0,1859.934,1856.192,3.741999999999962,1859.927,0.9981293425975248,0.25,1.5809839690436704,0.0
Q4-P007-051,REJECTED,True,5270.0,6529.0,1260.0,1859.702,1764.57,95.13200000000006,1860.734,1.010848084766429,0.22380952380952382,14.374421455555279,1.0
Q4-P007-052,SUPPORT,True,6552.0,6627.0,76.0,1834.004,1825.579,8.424999999999955,1848.65,2.738397626112791,0.18421052631578946,3.736522399392559,1.0
Q4-P007-053,SUPPORT,True,6627.0,6717.0,91.0,1843.001,1824.184,18.817000000000007,1840.514,0.8678322793218856,0.1978021978021978,3.3876021518623465,1.0
Q4-P007-054,REJECTED,True,6716.0,6720.0,5.0,1837.987,1834.956,3.0310000000001764,1841.426,2.134609039920703,1.0,1.2074643249176729,0.0
Q4-P007-055,REJECTED,True,6733.0,6736.0,4.0,1842.052,1838.772,3.2799999999999727,1840.746,0.6018292682927368,0.0,1.6152450090744102,0.0
Q4-P007-056,SUPPORT,True,6716.0,6811.0,96.0,1837.987,1819.418,18.569000000000187,1837.814,0.9906833970596155,0.20833333333333334,4.760926995854722,1.0
Q4-P007-057,SUPPORT,True,6811.0,6859.0,49.0,1832.736,1822.282,10.454000000000178,1833.524,1.0753778458006285,0.22448979591836735,5.059973166368516,0.0
Q4-P007-058,REJECTED,True,6871.0,7015.0,145.0,1839.062,1838.544,0.5179999999998017,1855.372,32.48648648649887,0.32413793103448274,6.405921636389109,0.0
Q4-P007-059,SUPPORT,True,7252.0,7267.0,16.0,1895.4,1855.148,40.25200000000018,1882.866,0.6886117460001975,1.0,2.2746852656051235,1.0
Q4-P007-060,REJECTED,True,7267.0,7274.0,8.0,1879.6,1877.174,2.425999999999931,1882.983,2.394476504534268,1.0,1.2810146650812524,0.0
Q4-P007-061,REJECTED,True,7277.0,7281.0,5.0,1877.631,1874.64,2.9909999999999854,1882.856,2.746907388833144,0.0,1.6249361267245785,0.0
Q4-P007-062,REJECTED,True,7294.0,7311.0,18.0,1875.971,1874.034,1.9369999999998981,1881.829,4.024264326277881,0.0,2.208727070594775,0.0
Q4-P007-063,REJECTED,True,7314.0,7321.0,8.0,1882.812,1880.019,2.7929999999998927,1882.772,0.9856784819190959,0.0,1.8237484484898634,0.0
Q4-P007-064,SUPPORT,True,7321.0,7360.0,40.0,1880.313,1866.794,13.519000000000005,1878.88,0.8940010355795552,0.025,2.385398010898144,0.0
Q4-P007-065,SUPPORT,True,7365.0,7455.0,91.0,1874.475,1857.132,17.342999999999847,1874.868,1.0226604393703531,0.16483516483516483,4.248264723413255,1.0
Q4-P007-066,REJECTED,True,7475.0,7476.0,2.0,1871.534,1870.88,0.6539999999999964,1871.724,1.2905198776755784,0.0,1.0714285714285714,0.0
Q4-P007-067,REJECTED,True,7476.0,7480.0,5.0,1871.29,1869.956,1.33400000000006,1872.636,2.008995502248833,0.0,1.25,0.0
Q4-P007-068,REJECTED,True,7504.0,7533.0,30.0,1875.444,1871.242,4.201999999999998,1875.446,1.000475963826738,0.03333333333333333,1.9395303956256031,0.0
Q4-P007-069,REJECTED,True,7546.0,7547.0,2.0,1873.304,1869.582,3.72199999999998,1873.952,1.1740999462654256,1.0,1.0531576556110858,0.0
Q4-P007-070,SUPPORT,True,7564.0,7620.0,57.0,1879.555,1869.309,10.246000000000095,1879.656,1.0098575053679373,0.631578947368421,5.817044434470376,1.0
Q4-P007-071,REJECTED,True,7627.0,7660.0,34.0,1892.562,1871.198,21.363999999999805,1879.579,0.39229545029020474,0.23529411764705882,3.597321428571429,0.0
Q4-P007-072,REJECTED,True,7660.0,7666.0,7.0,1876.886,1876.506,0.37999999999988177,1879.325,7.418421052633782,0.14285714285714285,2.508555133079848,0.0
Q4-P007-073,REJECTED,True,7666.0,7670.0,5.0,1878.83,1875.236,3.5939999999998236,1879.55,1.200333889816378,0.2,1.7762096774193548,0.0
Q4-P007-074,REJECTED,True,7670.0,7673.0,4.0,1876.905,1875.358,1.5470000000000255,1879.656,2.778280542986381,0.25,1.4407239819004525,0.0
Q4-P007-075,REJECTED,True,7683.0,7684.0,2.0,1876.59,1875.632,0.9579999999998563,1879.289,3.8173277661800356,0.0,1.0538373424971363,0.0
Q4-P007-076,REJECTED,True,7684.0,7691.0,8.0,1877.019,1875.644,1.375,1879.785,3.0116363636364194,0.125,2.031634446397188,0.0
Q4-P007-077,REJECTED,True,7695.0,7696.0,2.0,1881.722,1876.752,4.970000000000027,1879.122,0.47686116700203324,0.0,1.063063063063063,0.0
Q4-P007-078,REJECTED,True,7702.0,7704.0,3.0,1879.374,1874.342,5.031999999999925,1879.273,0.9799284578696116,0.3333333333333333,2.0367604824813323,0.0
Q4-P007-079,REJECTED,True,7704.0,7710.0,7.0,1877.744,1875.832,1.9119999999998072,1879.518,1.9278242677825803,0.0,1.5187725631768954,0.0
Q4-P007-080,REJECTED,True,7710.0,7713.0,4.0,1876.725,1874.44,2.2849999999998545,1879.206,2.085776805251708,0.5,1.4712362301101591,0.0
Q4-P007-081,REJECTED,True,7713.0,7715.0,3.0,1876.966,1876.456,0.5099999999999909,1879.854,6.662745098039606,1.0,1.1652208201892744,0.0
Q4-P007-082,REJECTED,True,7718.0,7723.0,6.0,1879.141,1871.868,7.273000000000138,1879.236,1.013062010174622,0.8333333333333334,1.6380549682875265,0.0
Q4-P007-083,REJECTED,True,7729.0,7730.0,2.0,1880.364,1877.632,2.731999999999971,1879.978,0.8587115666178728,0.0,1.0426008968609866,0.0
Q4-P007-084,REJECTED,True,7737.0,7741.0,5.0,1877.344,1876.725,0.6190000000001419,1879.182,3.969305331178585,0.0,1.2965186074429773,0.0
Q4-P007-085,REJECTED,True,7747.0,7755.0,9.0,1877.837,1877.045,0.7919999999999163,1879.823,3.5075757575761535,0.0,1.9640122511485452,0.0
Q4-P007-086,REJECTED,True,7773.0,7784.0,12.0,1885.18,1877.661,7.5190000000000055,1880.078,0.3214523207873274,0.08333333333333333,1.9086194122005433,0.0
Q4-P007-087,REJECTED,True,7784.0,7797.0,14.0,1878.794,1877.661,1.1330000000000382,1880.215,2.2541924095320156,0.07142857142857142,1.9758930528161296,0.0
Q4-P007-088,REJECTED,True,7799.0,7802.0,4.0,1879.826,1877.389,2.4370000000001255,1879.934,1.044316782929808,0.0,1.243353783231084,0.0
Q4-P007-089,REJECTED,True,7804.0,7805.0,2.0,1880.324,1876.199,4.125,1881.566,1.3010909090908997,1.0,1.0262085032032615,0.0
